start;measure
0.499591837;1
1.168253968;2
1.823129252;3
2.459863946;4
3.018594104;5
3.570068027;6
4.179591837;7
4.716553288;8
5.369614512;9
5.993650794;10
6.788208617;11
7.441269841;12
8.072562358;13
8.555102041;14
8.957823129;15
9.255328798;16
9.900408163;17
10.942403628;18
11.668027211;19
12.295691610;20
13.133786848;21
13.815873016;22
14.748299320;23
15.793197279;24
17.044897959;25
17.701587302;26
18.365532880;27
18.967800454;28
19.526530612;29
20.041723356;30
20.658503401;31
21.202721088;32
21.852154195;33
22.439909297;34
23.307029478;35
24.010385488;36
24.598639456;37
25.070294785;38
25.451247166;39
25.766893424;40
26.348843537;41
27.457596372;42
28.168707483;43
28.847165533;44
29.663492063;45
30.581405896;46
31.531972789;47
33.090612245;48
35.095873016;49
37.044535147;50
39.007346939;51
41.155918367;52
43.151020408;53
45.056507937;54
46.973242630;55
48.932244898;56
50.905396825;57
52.832653061;58
54.763174603;59
56.968163265;60
59.428571429;61
62.807074830;62
64.129705215;63
64.794557823;64
65.416780045;65
66.278458050;66
67.274013605;67
68.567800454;68
69.358730159;69
70.069841270;70
70.836825397;71
71.537777778;72
72.345396825;73
73.116734694;74
73.859773243;75
74.666666667;76
75.412607710;77
76.202086168;78
76.948027211;79
77.659138322;80
78.445714286;81
79.243900227;82
79.916077098;83
80.624036281;84
81.356530612;85
82.048435374;86
82.749387755;87
83.415510204;88
84.094693878;89
84.784761905;90
85.477006803;91
86.123537415;92
86.801632653;93
87.434013605;94
88.090702948;95
88.731428571;96
89.362721088;97
90.084716553;98
90.752290249;99
91.336417234;100
91.961904762;101
92.520634921;102
93.120000000;103
93.717551020;104
94.272653061;105
94.937687075;106
95.560272109;107
96.274285714;108
96.986666667;109
97.893877551;110
98.745034014;111
100.349387755;112
101.831836735;113
107.546122449;114
115.173877551;115
115.820408163;116
116.411428571;117
116.943673469;118
117.462857143;119
117.998367347;120
118.494693878;121
119.000839002;122
119.539591837;123
120.917551020;124
122.243265306;125
122.925714286;126
123.591111111;127
124.261587302;128
125.039455782;129
127.046530612;130
128.858049887;131
130.737052154;132
132.573061224;133
134.405804989;134
136.289523810;135
138.084353741;136
140.051156463;137
141.886984127;138
143.695238095;139
145.552653061;140
147.389387755;141
149.179138322;142
150.905034014;143
152.690793651;144
153.315555556;145
153.881904762;146
154.666666667;147
155.654603175;148
156.556190476;149
157.289795918;150
158.053877551;151
158.782040816;152
159.513469388;153
160.251428571;154
161.015510204;155
161.737142857;156
162.533877551;157
163.297959184;158
164.107755102;159
164.942947846;160
165.707755102;161
166.563265306;162
167.405532880;163
168.244897959;164
169.051428571;165
169.813333333;166
170.536054422;167
171.250068027;168
171.951020408;169
172.645442177;170
173.333877551;171
174.019047619;172
174.733061224;173
175.412244898;174
176.105215420;175
176.805442177;176
177.473015873;177
178.191383220;178
178.877097506;179
179.588208617;180
180.277551020;181
180.995918367;182
181.829659864;183
182.602448980;184
183.342585034;185
184.052244898;186
184.742312925;187
185.523809524;188
186.181224490;189
186.932244898;190
187.640317460;191
188.336326531;192
189.093877551;193
189.692517007;194
190.474013605;195
191.154648526;196
191.927732426;197
192.698435374;198
193.399841270;199
194.153287982;200
194.919659864;201
195.606349206;202
196.386394558;203
197.112018141;204
197.760000000;205
198.527346939;206
199.265306122;207
199.968253968;208
200.739410431;209
201.465034014;210
202.135510204;211
202.939501134;212
203.705759637;213
204.445895692;214
205.194739229;215
205.961043084;216
206.645986395;217
207.496417234;218
209.835827664;219
211.577324263;220
214.084353741;221
216.766984127;222
218.834285714;223
220.763718821;224
222.693877551;225
223.528344671;226
224.224943311;227
225.233560091;228
226.893061224;229
229.051428571;230
230.770793651;231
232.485442177;232
234.175510204;233
235.996190476;234
237.897142857;235
240.904126984;236
245.916734694;236.999
