start;measure
0.194829932;1
2.002721088;2
3.204353741;3
4.406349206;4
5.640634921;5
6.868752834;6
8.126621315;7
9.359160998;8
10.601609977;9
11.842766440;10
13.115918367;11
14.380952381;12
15.695238095;13
16.928253968;14
18.214603175;15
19.550476190;16
21.340408163;17
23.060317460;18
24.275918367;19
25.529795918;20
26.829931973;21
28.125170068;22
29.440362812;23
30.733786848;24
32.009795918;25
33.239183673;26
34.446802721;27
35.722448980;28
37.036190476;29
38.308571429;30
39.710476190;31
41.252063492;32
42.612244898;33
43.964081633;34
45.211428571;35
46.622040816;36
48.259591837;37
49.632653061;38
51.015691610;39
52.307301587;40
53.684535147;41
55.019682540;42
56.361383220;43
57.676190476;44
59.066122449;45
60.395102041;46
61.779591837;47
63.239183673;48
65.005714286;49
66.360816327;50
67.791383220;51
69.334784580;52
70.981224490;53
72.617142857;54
74.129705215;55
75.719183673;56
77.818775510;57
80.027936508;58
82.546938776;59
84.030476190;60
85.420408163;61
86.778775510;62
88.311292517;63
89.980952381;64
91.987301587;65
93.585306122;66
95.281632653;67
96.962176871;68
99.108571429;69
100.999183673;70
102.772244898;71
104.543219955;72
106.232358277;73
107.790612245;74
109.619954649;75
111.325170068;76
113.117460317;77
114.895238095;78
116.477460317;79
118.114104308;80
120.102312925;81
122.100680272;82
123.852630385;83
125.371043084;84
127.248979592;85
128.783673469;86
130.326349206;87
131.921269841;88
133.546666667;89
135.055238095;90
137.282176871;91
139.006258503;92
140.749206349;93
142.280272109;94
143.956462585;95
145.623945578;96
147.313197279;97
148.977777778;98
150.545306122;99
152.101587302;100
153.670748299;101
155.271836735;102
156.863492063;103
158.441360544;104
159.984761905;105
161.530340136;106
163.088979592;107
164.662857143;108
166.288979592;109
167.995646259;110
170.307482993;111
172.765170068;112
175.438367347;113
178.283537415;114
181.231746032;115
184.343219955;116
187.222494331;117
190.557460317;118
194.671020408;119
196.435011338;120
198.124263039;121
199.511655329;122
200.940408163;123
202.327074830;124
203.639183673;125
205.004625850;126
206.368253968;127
207.758730159;128
209.188571429;129
210.579591837;130
212.033015873;131
213.363809524;132
214.745396825;133
216.137142857;134
217.574603175;135
218.971428571;136
220.453151927;137
221.903673469;138
223.388299320;139
224.794557823;140
226.258503401;141
227.695238095;142
229.157369615;143
230.618775510;144
232.068571429;145
233.513469388;146
234.927891156;147
236.400907029;148
237.853605442;149
239.255510204;150
240.632743764;151
242.161632653;152
243.662947846;153
245.151927438;154
246.632199546;155
248.102312925;156
249.540498866;157
251.014965986;158
252.493786848;159
253.933424036;160
255.404988662;161
256.881632653;162
258.426122449;163
259.984761905;164
261.348571429;165
263.065759637;166
264.780045351;167
266.503401361;168
268.845351474;169
271.191655329;170
273.948299320;171
275.540317460;172
277.077551020;173
278.557823129;174
280.342857143;175
282.165986395;176
284.351927438;177
286.242176871;178
288.353741497;179
290.544761905;180
293.131972789;181
294.963809524;182
296.782222222;183
298.605714286;184
300.515555556;185
302.265759637;186
303.862857143;187
305.589115646;188
307.570793651;189
309.678730159;190
311.542857143;191
313.198730159;192
315.014603175;193
316.586666667;194
318.120634921;195
319.672380952;196
321.356190476;197
322.913015873;198
324.972698413;199
326.774421769;200
328.678095238;201
330.322721088;202
332.205714286;203
334.035374150;204
335.936145125;205
337.664580499;206
339.297777778;207
340.925714286;208
342.561632653;209
344.189387755;210
345.822040816;211
347.420408163;212
349.038367347;213
350.662857143;214
352.373877551;215
354.132244898;216
356.597551020;217
358.976326531;218
361.645714286;219
364.264489796;220
367.164081633;221
370.187755102;222
373.146122449;223
376.512653061;224
381.294693878;225
384.876553288;226
386.467120181;227
388.054784580;228
389.584399093;229
391.172063492;230
392.768435374;231
394.329977324;232
395.966984127;233
397.618503401;234
399.177142857;235
401.130158730;236
402.663038549;237
404.322539683;238
406.046984127;239
407.824761905;240
409.724444444;241
412.238730159;242
414.082539683;243
415.903492063;244
417.419682540;245
418.976507937;246
420.629841270;247
422.347755102;248
423.921269841;249
425.525986395;250
427.096235828;251
428.695873016;252
430.380408163;253
431.911111111;254
433.564444444;255
435.090793651;256
436.746666667;257
438.356825397;258
440.002539683;259
441.813333333;260
443.893333333;261
446.107936508;262
448.026349206;262.999
