,measure1,measure2,measure3,measure4,measure5,measure6,measure7,measure8,measure9,measure10,measure11,measure12,measure13,measure14,measure15,measure16,measure17,measure18,measure19,measure20,measure21,measure22,measure23,measure24,measure25,measure26,measure27,measure28,measure29,measure30,measure31,measure32,measure33,measure34,measure35,measure36,measure37,measure38,measure39,measure40,measure41,measure42,measure43,measure44,measure45,measure46,measure47,measure48,measure49,measure50,measure51,measure52,measure53,measure54,measure55,measure56,measure57,measure58,measure59,measure60,measure61,measure62,measure63,measure64,measure65,measure66,measure67,measure68,measure69,measure70,measure71,measure72,measure73,measure74,measure75,measure76,measure77,measure78,measure79,measure80,measure81,measure82,measure83,measure84,measure85,measure86,measure87,measure88,measure89,measure90,measure91,measure92,measure93,measure94,measure95,measure96,measure97
002_Duke_2,4.269796,4.3761909999999995,4.298095,4.274558000000001,4.259319999999999,4.312154,4.463356000000001,4.164898000000001,4.228889000000002,4.572334999999995,4.443266000000001,4.408979000000002,4.468979999999995,4.646349000000001,4.850340000000003,4.387619000000001,4.494195000000005,4.689205999999999,4.298730999999989,4.369569000000013,4.258593999999988,4.241043000000005,4.485078999999999,4.235872999999998,4.262856999999997,4.050885000000008,4.4014959999999945,4.278776000000008,4.499093000000002,4.795601000000005,4.429613999999987,4.43882099999999,4.386984000000012,4.207618999999994,4.454330999999996,4.266622000000012,4.310520999999994,4.501995999999991,4.512471000000005,4.491429000000011,4.577551,4.493060999999983,4.1959190000000035,4.507029000000017,4.204172,4.369206999999989,4.334284999999994,4.31682600000002,4.216280999999981,4.463220000000007,3.9566440000000114,4.161270000000002,4.167119999999983,4.162721000000005,4.33324300000001,4.042766,4.146484999999984,4.229750999999993,4.1830380000000105,4.365942000000018,4.839454999999987,4.293016000000023,4.3353290000000015,4.286212999999975,4.267982000000018,4.195056999999963,4.310294999999996,4.476689000000022,4.466984000000025,4.092244999999991,4.181042999999988,4.163855000000012,4.275147000000004,4.207029999999975,4.09931899999998,4.042495000000031,4.222765999999979,4.018549000000007,4.200816000000032,4.345305999999994,5.700680999999975,4.438911000000019,4.874557999999979,4.579048,4.861223999999993,4.713016000000039,4.969704999999976,4.64920699999999,4.860725000000002,4.392924999999991,4.222858000000031,4.508570999999961,4.415238000000045,4.625169999999969,4.134286000000031,4.388570999999956,7.757551000000035
003_Skampa_2,4.129796000000001,4.356191,4.2410879999999995,4.5315650000000005,4.459319999999998,4.846122000000001,4.329388000000002,4.484897999999998,4.5088890000000035,4.5923349999999985,4.323265999999997,4.348979,4.3489800000000045,4.466349000000001,4.7903400000000005,4.448661999999999,4.793151999999992,4.569206000000008,4.098731000000001,4.209569000000002,4.098593999999991,4.101043000000004,4.385079000000005,3.935873000000001,4.122857999999994,4.2908840000000055,4.141495999999989,3.9587760000000003,4.412653000000006,4.402040999999997,4.189614000000006,4.018821000000003,4.066983999999991,4.167619000000002,4.374331000000012,4.006621999999993,4.030520999999993,4.2634470000000135,4.4310199999999895,4.188979999999987,4.380000000000024,4.573060999999996,3.875918999999982,4.3870290000000125,3.944172000000009,4.189206999999982,4.194285000000008,4.316825999999992,4.7762810000000115,4.383219999999994,4.016644000000014,3.84126999999998,3.7071200000000033,3.6027210000000025,4.093243000000001,3.802765999999991,3.7962360000000217,3.6399999999999864,3.463039000000009,4.125940999999983,4.619455000000016,4.0730159999999955,4.215328999999997,4.106213000000025,3.8679819999999836,4.1350570000000175,4.29029399999996,4.576690000000042,4.276507999999978,3.842720999999983,3.801042999999993,3.346712000000025,4.032289999999989,3.8670299999999997,3.6193190000000186,3.802494999999965,3.8027660000000196,3.8985490000000027,4.100816000000009,4.125305999999966,5.4406810000000405,4.338910999999996,5.014557999999965,4.899047999999993,5.521224000000018,5.293016000000023,5.909704999999974,4.809207000000015,5.240724999999998,4.492925000000014,4.402857999999981,4.414557000000002,4.449252000000001,4.585170000000005,4.374285999999984,6.428571000000034,6.517550999999969
004_Prague_2,4.245714,4.436191,4.401088,4.551564999999998,4.748707000000003,5.002766999999999,4.763356000000002,4.5648979999999995,4.908889000000002,5.372335,4.603265999999998,5.068978999999999,4.808979999999998,5.3463489999999965,5.130340000000004,5.007619000000005,5.4341950000000026,5.44920599999999,4.058731000000009,4.489568999999989,4.238594000000006,4.6810430000000025,4.705078999999998,4.015872999999999,4.482856999999996,4.630885000000006,4.581495999999987,4.4787760000000105,4.539093000000008,5.315600999999987,4.749614000000008,4.578821000000005,4.406983999999994,4.5876189999999895,5.0143309999999985,4.70662200000001,4.79328799999999,4.799229000000025,5.192470999999983,4.831429000000014,5.153151999999977,6.097460000000012,4.115918999999991,4.247028999999998,4.203991000000002,4.389387999999997,4.394285000000025,4.676825999999977,4.999501000000009,4.948208999999991,4.248435000000001,4.221270000000004,4.127119999999991,4.542721,4.313243000000028,4.222765999999979,4.2064849999999865,4.095601000000045,4.237189000000001,4.305940999999962,5.539455000000032,4.273015999999984,4.31532900000002,4.606212999999968,4.647982000000013,4.435056999999972,4.770295000000033,5.096688999999969,4.976508000000024,4.1427209999999945,4.201043000000027,4.06385499999999,4.635146999999961,4.18703000000005,4.259318999999948,4.302495000000022,4.4027659999999855,4.11854900000003,4.500815999999986,4.5253060000000005,6.160681000000011,5.098910999999987,5.9145579999999995,5.4790479999999775,5.7391830000000255,5.835057000000006,6.229705000000024,4.909206999999981,6.333650999999975,5.919999000000018,5.7428580000000125,5.57455699999997,5.809252000000015,6.144762000000014,5.674693999999988,7.708571000000006,7.1375509999999736
005_AlbanBerg_2,3.949796,4.016191,4.141088,3.8315649999999994,3.8393200000000007,4.492153999999999,4.463356000000001,3.844897999999997,4.408889000000002,4.192335,4.223266000000002,4.108978999999998,4.208979999999997,4.223265000000005,4.433423999999995,4.167619000000002,4.314194999999998,4.3692060000000055,3.8387309999999957,3.9095690000000047,3.7785939999999982,3.841042999999999,4.225078999999994,3.915873000000005,3.7028570000000087,3.8908849999999973,3.9414960000000008,3.7114289999999954,4.026439999999994,4.035601,3.929614000000001,3.8788210000000163,3.706983999999977,4.14761900000002,4.254330999999979,3.6805900000000236,3.9765529999999956,4.041995999999983,4.072471000000007,3.968980000000016,4.119999999999976,4.193061,3.995919000000015,3.887028999999984,3.8441720000000146,3.909207000000009,4.254284999999982,4.2168259999999975,4.116281000000015,4.071428999999995,3.868435000000005,3.84126999999998,3.607120000000009,3.5627210000000105,3.9732429999999965,4.02276599999999,3.9264850000000138,3.6756010000000003,3.6771889999999985,3.765940999999998,4.199455,3.8530159999999967,3.9153289999999856,4.106212999999997,3.647982000000013,3.9550570000000107,4.033968000000016,4.193016,4.056507999999951,3.7227210000000355,3.881042999999977,3.5038549999999873,3.855147000000045,3.687029999999993,3.7793189999999868,3.8024950000000217,4.102765999999974,3.6585489999999936,4.060815999999988,4.225306000000046,4.980681000000004,4.238910999999973,4.214558000000011,4.379048000000012,4.61823099999998,4.236009000000024,4.309704999999951,4.649207000000047,5.060724999999991,4.184353999999985,4.2314289999999914,4.114556999999991,4.529252000000042,4.585169999999948,4.154286000000013,6.748571000000027,8.657551000000012
006_Panocha_2,4.709796,5.116191000000001,4.861087999999999,4.951565000000002,4.859319999999997,5.412154000000001,5.063356000000002,5.359183000000002,5.414603999999997,5.652335000000001,5.083266000000002,5.288978999999998,5.04898,5.786349000000001,5.590339999999998,5.447619000000003,5.574195000000003,5.549205999999998,4.758730999999997,5.135055999999992,4.8531070000000085,4.921042999999997,5.525079000000005,4.975872999999993,5.042857000000012,4.9508849999999995,5.161496,5.158775999999989,5.252653000000009,4.982040999999981,4.789614,4.818821000000014,4.606984000000011,4.867618999999991,4.914331000000004,4.646621999999979,4.9622670000000255,5.1302499999999895,4.9724709999999845,4.8914290000000165,5.313152000000002,5.357460000000003,5.075918999999999,5.28702899999999,4.804171999999994,4.898595,5.04489700000002,5.456825999999978,5.316281000000004,5.25142900000003,4.708434999999952,4.901270000000011,4.6471200000000294,4.922720999999967,4.793243000000018,4.642765999999995,4.886484999999993,4.575601000000006,4.857189000000005,5.005941000000007,5.419454999999971,4.9930160000000114,5.015329000000008,5.026212999999984,5.04798199999999,4.935057000000029,5.490295000000003,5.516688999999985,5.256507999999997,4.502721000000008,4.721043000000009,4.4838550000000055,4.935146999999972,4.627029999999991,4.659319000000039,4.96249499999999,4.642765999999995,4.61854900000003,4.880815999999982,5.145306000000005,5.180680999999993,4.878911000000016,5.4145579999999995,5.239047999999968,5.661224000000004,5.353016000000025,5.54970499999996,4.369207000000017,5.700724999999977,5.052925000000016,5.122858000000008,4.854557,5.069252000000006,5.365169999999978,5.219592000000034,6.043264999999963,7.197551000000033
007_PavelHass_2,4.249796,4.436191,4.241088000000001,4.311564999999998,4.153197000000002,4.7182770000000005,4.583355999999998,4.084898000000003,4.2888889999999975,4.3323350000000005,4.303266000000001,4.348979,4.3689800000000005,4.706348999999996,4.630340000000004,4.3076190000000025,4.394194999999996,4.629205999999996,4.158731000000003,4.289569,4.198594,4.301042999999993,4.565079000000011,4.015872999999999,4.302857000000003,4.250884999999997,4.541495999999995,4.4714290000000005,4.326440000000005,4.235600999999988,4.229613999999998,4.438821000000019,4.246983999999998,4.367618999999991,4.534331000000009,4.0866220000000055,4.070520999999985,4.621995999999996,5.072471000000007,4.4714290000000005,3.9775510000000054,4.17306099999999,4.055919000000017,4.247028999999998,4.164171999999979,4.169207,4.27428500000002,4.176825999999977,4.516281000000021,4.183220000000006,3.996643999999975,4.281270000000006,4.127120000000019,4.042720999999972,4.393243000000012,4.222766000000007,4.386484999999993,3.9356009999999912,4.017188000000004,4.4259420000000205,4.459454999999991,4.15301599999998,3.9953290000000266,4.266212999999993,4.187981999999977,4.275057000000004,4.090295000000026,5.13668899999999,4.356508000000019,4.114965999999981,4.40879799999999,4.183854999999994,4.435147000000029,4.267029999999977,4.2193189999999845,4.182495000000017,4.342765999999983,3.9785490000000436,4.380815999999982,4.345305999999994,5.220681000000013,4.4589110000000005,5.014557999999965,4.779048000000046,5.22122399999995,5.033016000000032,5.5297049999999786,4.829206999999997,4.560725000000048,4.732924999999966,4.8228579999999965,4.828571000000011,5.195238000000018,5.625169999999969,4.2795920000000365,6.4632649999999785,7.117550999999992
008_Emerson_2,4.989796,5.036190999999999,4.681088000000003,4.6715649999999975,4.745850000000001,5.305624000000002,4.923355999999995,4.824898000000005,4.947935999999999,5.173287999999999,4.623266000000001,5.016734,4.761225000000003,5.1263489999999905,5.070340000000002,4.8276189999999986,5.214195000000004,5.089206000000004,4.638730999999993,4.689569000000006,4.598594000000006,4.641042999999996,4.845078999999998,4.795873,4.422856999999993,4.330885000000009,4.741495999999984,4.598776000000015,4.959092999999996,4.875600999999989,4.569614000000001,4.518821000000003,4.646984000000003,4.687619000000012,4.954330999999996,4.5866220000000055,4.790520999999984,5.0219960000000015,4.832470999999998,4.571428999999995,5.253152,5.357460000000003,4.673878000000002,4.7490700000000174,4.443990999999983,4.469388000000009,4.4342849999999885,4.616826000000003,4.516281000000021,4.623219999999975,4.2766440000000046,4.541269999999997,4.247120000000024,4.302720999999963,4.13324300000005,4.082765999999992,4.086484999999982,4.055601000000024,4.237189000000001,4.205940999999996,4.371019999999987,4.481450999999993,4.375329000000022,4.486212999999964,4.227981999999997,4.115057000000036,4.373967999999991,4.333015999999986,4.476508000000024,4.122720999999956,4.361042999999995,4.183855000000051,4.355146999999988,4.247029999999995,4.059319000000016,4.18249499999996,4.202765999999997,4.298549000000037,4.400815999999963,4.365306000000032,5.340680999999961,4.718911000000048,4.974558000000002,5.079048,5.4012239999999565,5.193016,6.009704999999997,4.529207000000042,6.140724999999975,4.952924999999993,5.122858000000008,4.974557000000004,5.209251999999992,5.605169999999987,4.554286000000047,7.908570999999995,6.757550999999978
009_Escher_2,4.489796,4.516191000000001,4.581087999999999,4.431565000000001,4.299319999999998,4.852154000000002,4.743356000000002,4.424897999999999,4.628889000000001,4.812334999999997,4.523266,4.528979,4.528979999999997,4.723265000000005,4.7734239999999915,4.427619000000007,4.534194999999997,4.529206000000002,4.478730999999996,4.549569000000005,4.3585939999999965,4.421042999999997,4.64507900000001,4.27587299999999,4.202858000000006,4.3308839999999975,4.421496000000005,4.658775999999989,4.539093000000008,4.635601000000008,4.449613999999997,4.43882099999999,4.4269840000000045,4.467619000000013,4.3543309999999735,4.126622000000026,4.150520999999998,4.461995999999999,4.4324709999999925,4.411428999999998,4.813152000000002,4.337459999999993,4.1959190000000035,4.4270290000000045,4.344171999999986,4.089207000000016,4.354285000000004,4.436825999999996,4.716280999999981,4.423220000000015,4.116644000000008,4.161270000000002,4.167119999999983,4.202720999999997,4.253242999999998,3.922766000000024,4.086484999999982,3.95560100000003,4.137188999999978,4.28594099999998,4.379455000000007,4.053016000000014,4.375329000000022,4.246212999999955,4.107981999999993,4.075057000000015,4.330295000000035,4.556688999999949,4.316507999999999,4.022721000000047,4.141042999999968,3.943855000000042,4.1551469999999995,3.947029999999984,3.919318999999973,4.042495000000031,4.0627660000000105,4.138548999999955,4.180815999999993,4.30530600000003,5.21142900000001,4.588163000000009,4.954557999999963,4.85904800000003,5.241223999999988,4.893015999999989,5.269704999999988,4.849207000000035,5.3407249999999635,4.612925000000018,4.302858000000015,4.1345569999999725,4.589251999999988,5.005170000000021,4.859592000000021,6.0,5.820815999999979
010_Talich_2,4.509796,4.736191,4.681088000000001,4.751564999999999,4.85932,4.992153999999999,4.703356000000003,4.724897999999996,4.908889000000002,4.792335000000001,4.783265999999998,4.848979,4.848979999999997,5.086349000000006,5.130340000000004,4.927618999999993,5.074195000000003,5.029206000000002,4.578730999999991,4.589569000000012,4.558593999999999,4.801042999999993,5.0850790000000075,4.475872999999993,4.602857,4.690884999999994,4.661496000000014,4.738776000000001,4.699093000000005,4.755600999999984,4.8096140000000105,4.718820999999991,4.766984000000008,4.5876189999999895,5.194331000000005,4.686622,4.853287999999992,5.1192290000000185,5.092470999999989,4.671428999999989,5.253152,4.857460000000003,4.415919000000002,4.547029000000009,4.4441719999999805,4.68920700000001,4.734285,4.6768260000000055,4.736280999999991,4.8232200000000205,4.456643999999983,4.581269999999989,4.447120000000012,4.6427209999999945,4.573242999999991,4.402766000000042,4.306484999999952,4.355601000000036,4.337187999999969,4.4259420000000205,4.739455000000021,4.713015999999982,4.53532899999999,4.446213,4.807981999999981,4.69505700000002,4.770294999999976,4.95668900000004,4.956507999999985,4.382721000000004,4.5010429999999815,4.443855000000042,4.675146999999981,4.487030000000004,4.399318999999991,4.402494999999988,4.642765999999995,4.658548999999994,4.520816000000025,4.545305999999982,5.260681000000034,4.178910999999971,4.934557999999981,4.839048000000048,5.378230999999971,4.676009000000022,5.2897049999999695,4.5092070000000035,5.240724999999998,4.41292500000003,4.86285799999996,4.468571000000054,4.955237999999952,5.585170000000005,4.734285999999997,6.78857099999999,7.09755100000001
011_Prazak_2,4.229796,4.596191,4.3610880000000005,4.351564999999999,4.619320000000002,4.752153999999997,4.583355999999998,4.404898000000003,4.728889000000002,4.812334999999997,4.623266000000001,4.5089789999999965,4.568980000000003,4.886349000000003,4.730339999999998,4.647618999999992,4.774195000000006,5.089206000000004,4.398730999999998,4.589568999999997,4.298593999999994,4.621043,4.905079000000001,4.3158730000000105,4.342856999999995,4.490885000000006,4.461495999999997,4.698775999999995,4.799092999999999,5.375601000000017,4.489613999999989,4.2788209999999935,4.28698399999999,4.327619000000027,4.574331000000001,4.446621999999991,4.3305210000000045,4.5619959999999935,4.612470999999999,4.611428999999987,4.713152000000008,5.337459999999993,4.295918999999998,4.647029000000003,4.3041720000000225,4.469206999999983,4.414286000000004,4.656824999999998,4.99628100000001,4.651428999999979,4.308435000000003,4.12127000000001,4.0671199999999885,4.382721000000004,4.393243000000012,4.342765999999983,4.166484999999994,4.275600999999995,4.277189000000021,4.325941,5.479454999999973,4.353016000000025,4.31532900000002,4.246212999999955,4.347982000000002,4.395057000000008,4.550294000000008,4.856690000000015,4.736508000000015,4.082720999999992,4.141042999999968,3.943855000000042,4.4951469999999745,4.40703000000002,4.359318999999971,4.362495000000024,4.4027659999999855,4.278548999999998,4.440815999999984,4.545306000000039,6.260680999999977,4.9589110000000005,4.95455800000002,5.059047999999962,5.3812240000000315,5.013015999999993,5.309705000000008,4.749207000000013,5.7607249999999794,5.0329249999999774,5.302858000000015,4.9545570000000225,5.529251999999985,6.685169999999971,5.7142860000000155,8.228570999999988,7.157551000000012
012_Modigliani_2,4.709796,5.116191,4.721088,4.511565000000001,4.839320000000001,5.192153999999999,4.803356000000001,4.644897999999998,4.928888999999998,5.0523350000000065,5.069795999999997,4.762449000000004,4.788980000000002,4.826348999999993,4.710340000000002,4.667619000000002,4.714195000000004,4.889205999999987,4.658731000000003,4.5768249999999995,4.571337999999997,4.421043000000012,4.685078999999988,4.535873000000009,4.622856999999996,4.550885000000008,4.738639000000006,4.641632999999985,4.739092999999997,4.975601000000012,4.76961399999999,4.618820999999997,4.526983999999999,4.64761900000002,5.054330999999991,4.506621999999993,4.750520999999992,4.481996000000009,4.532471000000015,4.4714290000000005,4.677550999999994,5.473061000000001,4.5359189999999785,4.787029000000018,4.484172000000001,4.769206999999994,4.394284999999996,4.476826000000017,4.6162809999999865,4.543219999999991,4.416644000000019,4.541269999999997,4.747119999999995,4.742721000000017,4.513242999999989,4.322766000000001,4.5464849999999615,4.295601000000033,4.47718900000001,4.585940999999991,5.079454999999996,4.5730159999999955,4.555329000000029,4.526212999999984,4.487981999999988,4.355056999999988,4.650295000000028,4.616689000000008,4.696507999999994,4.4827209999999695,4.481043,4.583855000000028,4.735146999999984,4.347030000000018,4.159318999999982,4.422495000000026,4.462765999999988,4.338549,4.560815999999988,4.705306000000007,5.411428999999998,4.88816300000002,5.214557999999954,5.2990480000000275,5.321223999999972,5.193016,5.749705000000006,4.949207000000001,5.540725000000009,5.132925,5.4828580000000215,5.07455699999997,5.14925199999999,5.925170000000037,5.574285999999972,8.248571000000027,7.217550999999958
013_Janacek_2,4.809796,5.016190999999999,5.041088,4.571565000000001,4.919319999999999,5.332153999999999,4.903356000000002,4.924897999999999,4.948889000000001,5.472335000000001,4.959592000000001,4.912652999999999,5.088979999999992,5.183265000000006,5.113423999999995,5.007619000000005,5.1941949999999935,5.129206000000011,5.101905000000002,5.086394999999996,4.8785939999999925,5.081043000000008,4.905079000000001,4.695872999999992,4.722857000000005,4.690885000000009,4.801495999999986,5.158776000000017,5.05909299999999,5.615600999999998,4.889613999999995,5.038821000000013,4.986983999999978,4.827619000000027,5.214330999999987,4.726621999999992,4.710521,4.7619960000000106,4.992470999999995,5.031429000000003,5.313152000000002,5.897459999999995,4.7359189999999955,5.047029000000009,4.664172000000008,4.8492069999999785,4.77428500000002,4.796825999999982,5.056281000000013,4.943219999999997,4.596643999999998,4.821269999999998,4.587120000000027,4.4027209999999855,4.473242999999968,4.282766000000038,4.506484999999998,4.475600999999983,4.6371879999999805,4.845942000000036,5.2794549999999845,4.813016000000005,4.745669000000021,4.77587299999999,4.747981999999979,4.595056999999997,4.910295000000019,5.4966890000000035,5.056508000000008,4.362720999999965,4.981043,4.523855000000026,4.595146999999997,4.127029999999991,4.279318999999987,4.28249500000004,4.542765999999972,4.318549000000019,4.880815999999982,4.665305999999987,5.700681000000031,4.7989109999999755,5.434557999999981,5.6390480000000025,5.921224000000052,5.65301599999998,5.909704999999974,5.129207000000008,6.380724999999984,5.3529250000000275,5.2428580000000125,4.994556999999986,5.049252000000024,5.8051699999999755,4.594286000000011,6.74857099999997,6.657551000000012
014_Guarneri_2,4.569796,4.756190999999999,4.641088,4.611565000000002,4.461359999999999,4.850113999999998,4.783356000000005,4.544897999999996,4.748888999999998,4.952335000000005,4.803265999999994,4.7089790000000065,4.608979999999995,4.743265000000001,4.953423999999998,4.607619,4.918957000000006,4.824444,4.578730999999991,4.589569000000012,4.518593999999993,4.401043000000001,4.765079,4.635873000000004,4.522857999999999,4.290883999999991,4.401496000000009,4.538775999999984,4.859093000000001,4.775601000000023,4.569614000000001,4.458821,4.626983999999993,4.207618999999994,4.454330999999996,4.486622000000011,4.470520999999991,4.283446999999995,4.511020000000002,4.191428999999999,4.913151999999997,4.51746,4.275919000000016,4.387028999999984,4.264172000000002,4.149207000000018,4.394284999999996,4.596825999999993,4.796280999999993,4.603219999999993,4.2366440000000125,4.501270000000005,4.307119999999998,4.062720999999982,4.013243000000017,4.02276599999999,4.166484999999994,4.275600999999995,4.377189000000044,4.585940999999991,4.851020000000005,4.241450999999984,4.475328999999988,4.5062130000000025,4.007982000000027,4.135056999999961,4.530295000000024,4.4966890000000035,4.456507999999985,4.102721000000031,4.3410429999999565,4.10385500000001,4.335147000000006,4.047030000000007,4.0806799999999726,4.101134000000002,4.522766000000047,4.378548999999964,4.480816000000004,4.625306000000023,5.900680999999963,4.718910999999991,4.9145579999999995,5.119048000000021,5.361223999999993,5.193016,5.169705000000022,5.573967999999979,5.555964000000017,4.944353999999976,4.9714290000000005,4.874557000000038,4.989251999999965,5.665169999999989,5.434286000000043,8.048570999999981,7.257550999999978
015_Tokyo_2,4.589796000000001,4.4161909999999995,4.1610879999999995,4.151565,4.319320000000001,4.372153999999998,4.383356000000003,4.0848979999999955,4.208889000000006,4.432334999999995,4.363266000000003,4.568978999999999,4.248980000000003,4.626348999999998,4.750340000000001,4.547618999999997,4.514195000000001,4.664761999999996,4.263175000000004,4.409569000000005,4.238593999999992,4.281042999999997,4.345079000000013,4.175872999999996,3.962857999999997,3.930884000000006,4.261495999999994,4.438776000000004,4.479092999999992,4.673559999999995,4.331655000000012,4.058820999999995,4.226984000000016,4.147618999999992,4.1749209999999835,4.486032000000023,4.110520999999977,4.283447000000024,4.351019999999977,4.411428999999998,4.713152000000008,4.717460000000017,4.095918999999981,4.527028999999999,4.044172000000003,4.429207000000019,4.274285999999989,4.396825000000007,4.316281000000004,4.503219999999999,4.316643999999997,4.021269999999987,3.907119999999992,3.642721000000023,3.6932429999999954,3.762765999999999,3.7064849999999865,3.755601000000013,3.8571890000000053,4.2259409999999775,4.579454999999996,4.133015999999998,4.235329000000036,3.986212999999964,4.067982000000029,4.015057000000013,4.29029399999996,4.296690000000012,4.496508000000006,3.682721000000015,3.9210429999999974,3.683854999999994,3.7228569999999763,3.7393200000000206,3.8193190000000072,3.6624949999999785,4.02276599999999,4.038549000000046,4.280815999999959,4.485306000000037,5.920681000000002,4.498910999999964,4.874558000000036,4.559047999999962,5.458231000000012,4.916008999999974,5.569705000000056,4.809206999999958,5.345078999999998,4.648571000000004,4.782858000000033,4.494556999999986,4.709251999999992,5.685170000000028,4.8942859999999655,6.488570999999979,6.657551000000012
