,measure1,measure2,measure3,measure4,measure5,measure6,measure7,measure8,measure9,measure10,measure11,measure12,measure13,measure14,measure15,measure16,measure17,measure18,measure19,measure20,measure21,measure22,measure23,measure24,measure25,measure26,measure27,measure28,measure29,measure30,measure31,measure32,measure33,measure34,measure35,measure36,measure37,measure38,measure39,measure40,measure41,measure42,measure43,measure44,measure45,measure46,measure47,measure48,measure49,measure50,measure51,measure52,measure53,measure54,measure55,measure56,measure57,measure58,measure59,measure60,measure61,measure62,measure63,measure64,measure65,measure66,measure67,measure68,measure69,measure70,measure71,measure72,measure73,measure74,measure75,measure76,measure77,measure78,measure79,measure80,measure81,measure82,measure83,measure84,measure85,measure86,measure87,measure88,measure89,measure90,measure91,measure92,measure93,measure94,measure95,measure96,measure97,measure98,measure99,measure100,measure101,measure102,measure103
001_Belcea_3,2.9683450000000002,3.369841,3.8900230000000002,2.700225999999999,1.4822230000000012,2.4475729999999984,5.659184,2.9885710000000003,3.367121000000001,3.516824999999997,2.759955000000005,1.550112999999996,2.188163000000003,5.989705999999998,2.5305210000000002,3.1741949999999974,1.6975510000000043,2.4527889999999957,2.880726000000003,1.7160999999999973,1.9019499999999994,1.3618140000000025,1.9321989999999971,1.8858510000000024,3.105170000000001,2.274557999999999,3.387209999999996,3.4213610000000045,2.5094330000000014,2.229750999999993,1.5365980000000121,2.6008619999999922,1.6677099999999996,2.096508,1.3708840000000038,1.669751000000005,0.8074829999999906,1.522040000000004,1.645668999999998,1.6345129999999983,0.7239000000000004,1.6232200000000034,1.6391380000000026,1.5452609999999964,0.7708389999999952,1.5861230000000006,0.7440360000000084,1.5951019999999971,1.5489340000000027,1.5749209999999891,1.6078000000000117,1.5416329999999903,0.9208160000000021,0.9026759999999996,0.9697050000000047,0.7552379999999914,1.2291160000000048,1.4254420000000039,4.266847999999996,3.8575969999999984,3.498412000000002,1.8749660000000006,3.387483000000003,2.4531969999999887,3.462313000000023,4.932652999999988,5.266939000000008,3.3608169999999973,3.3359179999999924,3.635101999999989,2.1751470000000097,1.8995470000000125,1.9224490000000003,2.2429019999999866,1.8312930000000165,2.153332999999975,2.0324720000000127,2.0775509999999997,2.2613599999999963,2.0476189999999974,2.053198000000009,2.825214999999986,2.7125620000000197,3.3242639999999994,2.4137409999999875,2.653061000000008,2.5642179999999826,4.4552380000000085,2.0121540000000095,2.663899999999984,4.095511000000016,5.455691000000002,2.987166000000002,3.8933779999999842,4.098640000000017,2.266348999999991,5.388253999999989,3.7378690000000176,3.912653000000006,3.868978999999996,3.0937419999999634,7.417279000000008,7.036462000000029
002_Tokyo_3,2.8343760000000002,2.84381,3.0100230000000003,2.2202260000000003,1.542223,2.867573,4.319184,2.708570999999999,2.8271210000000018,2.7768249999999988,2.1799549999999996,1.5501129999999996,3.168163,5.009706000000001,2.710521,2.6741949999999974,1.5975510000000028,2.3940139999999985,2.053832,1.6217690000000005,1.801949999999998,1.4218140000000048,1.5521989999999946,1.6258510000000044,2.0051699999999997,1.774557999999999,1.8437179999999955,1.7448530000000062,1.8294329999999945,1.6297509999999988,1.4965980000000059,1.5408620000000042,1.7077099999999916,1.9365080000000034,1.6108839999999987,1.5030840000000012,0.7341499999999996,1.5020399999999938,1.6456690000000123,1.3745129999999932,0.7438999999999965,1.4432200000000108,1.4791379999999918,1.4652609999999981,0.7308390000000031,1.4861230000000063,0.7040359999999879,1.4951020000000028,1.36893400000001,1.5949209999999994,1.4277999999999906,1.5616330000000005,0.9608160000000083,0.8826759999999894,0.7497050000000058,0.8552379999999999,1.2291160000000048,1.4891159999999957,3.2831740000000025,2.1575969999999955,3.1384120000000024,1.7949660000000023,3.0074829999999935,2.123900000000006,2.972426999999996,4.230203999999986,4.04857100000001,2.6808169999999905,2.655918000000014,2.8926529999999957,2.4575959999999952,2.3995470000000125,2.3024489999999957,2.4029020000000116,1.9712930000000028,1.9533329999999864,1.7124719999999911,1.59755100000001,1.5013600000000054,1.247618999999986,1.3531980000000203,2.0252149999999745,2.052562000000023,2.764263999999997,2.273741000000001,2.413060999999999,2.424217999999996,3.895238000000006,2.0321539999999914,2.643900000000002,2.5555109999999956,5.275690999999995,3.2871660000000134,3.4533779999999865,3.838639999999998,1.7063490000000172,6.388253999999989,3.557869000000011,3.632653000000005,3.908978999999988,2.0337419999999895,6.077279000000004,8.496462000000008
003_Takacs_3,2.948345,3.0698410000000003,3.2700229999999992,2.4202259999999995,1.742223000000001,2.407573000000001,4.359183999999999,2.6485710000000005,2.847120999999998,2.876825,2.2599550000000015,1.8101130000000012,2.0681629999999984,4.009706000000001,2.450521000000002,2.474466999999997,1.8172789999999992,1.992789000000002,2.135056999999996,1.8017690000000002,1.801950000000005,1.5442169999999962,1.7697959999999995,2.045850999999999,2.4651700000000005,1.9545579999999987,2.0437180000000055,1.984853000000001,1.9894329999999911,1.889751000000004,1.8965979999999973,1.8008620000000093,1.9277099999999905,1.8765080000000012,1.3908839999999998,1.3030839999999984,0.6341500000000053,1.4020399999999995,1.4656690000000054,1.3545129999999972,0.5238999999999976,1.4432199999999966,1.499138000000002,1.4452610000000021,0.6908389999999969,1.466122999999996,0.6440359999999998,1.4351020000000005,1.3289340000000038,1.494921000000005,1.3678000000000026,1.421633,0.9408159999999981,0.9026759999999996,0.6468479999999914,0.38000000000000966,0.9672109999999918,1.4891160000000099,3.70317399999999,2.257597000000004,3.6784119999999945,2.0549660000000074,3.4674830000000014,2.985759999999999,3.315464999999989,3.3669380000000046,3.7269390000000158,3.2208169999999825,3.155918000000014,3.3326529999999934,2.897595999999993,2.6595470000000034,2.822449000000006,2.8429020000000094,2.7162359999999808,2.8449430000000007,2.535919000000007,2.6175509999999917,2.421359999999993,2.087619000000018,2.4931980000000067,2.42521499999998,2.272562000000022,2.244263999999987,2.313740999999993,2.2330610000000206,2.4842179999999985,4.055237999999974,2.3321540000000027,2.8839000000000112,2.9555110000000013,4.815690999999987,2.8271660000000054,3.3933780000000127,3.298640000000006,1.8463489999999751,5.188254000000001,3.2578689999999995,3.692653000000007,3.8089789999999937,2.293742000000009,4.757279000000011,6.416461999999996
004_Schoenberg_3,2.268345,2.589841,2.6300230000000004,2.0802259999999997,1.622223,2.367573,3.319183999999998,2.3085710000000006,2.867121000000001,2.7368249999999996,2.199954999999999,1.730113000000003,2.348162999999996,5.0497060000000005,1.190521000000004,2.9341949999999954,1.7775510000000025,2.1527889999999985,2.355057000000002,1.7217690000000019,1.841949999999997,1.6842170000000038,1.689795999999994,2.1458510000000004,2.065170000000002,2.6145580000000024,2.003717999999999,2.004852999999997,2.1094329999999957,2.2497510000000034,2.1965980000000087,2.04086199999999,2.18771000000001,2.2565079999999966,1.670884000000001,1.5030840000000012,0.7541499999999957,1.54204,1.5056689999999975,1.574512999999996,0.6839000000000084,1.503219999999999,1.5991379999999964,1.5052610000000044,0.7308390000000031,1.5261229999999983,0.7040360000000021,1.5551019999999909,1.5689339999999987,1.5949209999999994,1.6278000000000077,1.5416330000000045,1.0408159999999924,0.9426760000000058,0.9697049999999905,0.8371429999999975,0.94721100000001,1.1091160000000002,3.3431739999999905,2.1575970000000098,3.618411999999992,2.1149660000000097,3.2274829999999923,2.4039000000000073,2.7573250000000087,3.6269379999999956,2.846938999999992,3.580816999999996,3.0959180000000117,3.0926529999999843,2.5175959999999975,2.3995470000000125,2.542449000000005,2.7829019999999787,2.5712930000000256,3.1307479999999828,2.375056999999998,2.59755100000001,2.701359999999994,2.2276190000000042,2.4331980000000044,3.065214999999995,2.7725619999999935,2.903311000000002,3.2497960000000035,3.0179589999999905,3.324218000000002,4.075238000000013,2.25215399999999,3.8038999999999987,3.6955110000000104,4.255690999999985,2.46716600000002,3.353377999999992,3.9386399999999924,2.226348999999999,4.348253999999997,3.017869000000019,3.212652999999989,3.3089789999999937,2.393742000000003,8.417279000000008,7.776462000000009
005_Doric_3,2.508345,3.169841,3.410023,2.924716,2.1977329999999995,2.8875730000000015,6.379183999999999,2.7285710000000023,3.0687079999999973,3.2752380000000016,2.299954999999997,1.4701130000000049,3.8681629999999956,6.249706000000003,2.3105210000000014,2.4541949999999986,1.5175509999999974,2.2352380000000025,2.1126080000000016,1.4617689999999968,1.821950000000001,1.481814,1.7121989999999983,2.065850999999995,2.1851699999999994,1.8945580000000035,2.445306000000002,1.8832649999999944,2.3094330000000127,1.4897509999999983,1.536597999999998,1.6408619999999985,1.5877100000000013,1.8765080000000012,1.5108839999999901,1.5630840000000035,0.6941500000000076,1.4020399999999995,1.4456689999999952,1.4745130000000017,0.6638999999999982,1.4232200000000006,1.4391379999999998,1.4852609999999942,0.7108390000000071,1.3261229999999955,0.5840359999999976,1.4151020000000045,1.4489340000000084,1.3949209999999965,1.3877999999999986,1.3616329999999977,0.9208160000000021,0.8226760000000013,0.7268480000000039,0.7380949999999871,0.8891160000000013,1.0891160000000042,2.943173999999999,2.977597000000003,2.618411999999992,1.5349660000000114,2.427482999999995,2.407618999999997,2.3936060000000055,3.9469379999999887,3.6869389999999953,3.040817000000004,3.0759180000000015,3.0126530000000002,2.2175960000000146,2.2195470000000057,2.2424489999999935,2.4429020000000037,2.267528999999996,2.417096999999984,2.0724720000000048,1.9975510000000156,2.061359999999979,1.9276190000000213,2.3220409999999845,3.076371999999992,2.2125620000000197,2.3642639999999915,2.273741000000001,2.453060999999991,2.3642180000000224,4.0352379999999926,4.452154000000007,3.623899999999992,3.835510999999997,4.635691000000008,2.767166000000003,4.013377999999989,3.838639999999998,2.6063489999999945,4.6482540000000085,2.7178690000000074,3.752652999999981,3.868978999999996,2.833742000000001,6.0972790000000145,6.396461999999985
006_Emerson_3,2.196916,2.9612700000000003,2.8500229999999993,2.2002260000000007,1.6422229999999995,2.5275730000000003,3.479184,2.355917999999999,2.5397740000000013,2.756824999999999,2.1399550000000005,1.7301129999999993,2.528163000000003,4.609705999999996,1.0905210000000025,2.4341950000000026,1.7175510000000003,2.252789,2.2550569999999936,1.7017690000000059,2.0019499999999937,1.461814000000004,1.872199000000002,1.6058509999999941,2.1851700000000065,1.9745579999999947,2.163718000000003,1.9048529999999957,1.7294330000000002,1.8097510000000057,1.6965979999999945,1.7008620000000008,1.767710000000008,1.9565079999999995,1.690883999999997,1.5630840000000035,0.8141499999999979,1.6420399999999944,1.645668999999998,1.5745130000000103,0.7438999999999965,1.6432199999999995,1.6591379999999987,1.685260999999997,0.8108390000000014,1.7061230000000052,0.8240359999999924,1.6551019999999994,1.6436280000000068,1.5402270000000016,1.5878000000000014,1.5416329999999903,1.100816000000009,0.8026759999999911,1.009705000000011,0.8371429999999975,0.8872109999999935,1.349115999999995,3.223673000000005,1.437098000000006,2.3984119999999933,1.4044899999999956,2.597959000000003,1.60390000000001,2.0573249999999916,2.686937999999998,2.8338779999999986,2.5738780000000077,2.515917999999999,2.6526529999999866,2.3975960000000214,2.3795470000000023,2.442448999999982,2.522902000000016,2.2112929999999835,2.4733329999999967,1.9724720000000104,1.9975509999999872,1.8413600000000088,1.8076190000000167,1.7731979999999794,2.1652150000000177,2.112561999999997,2.4042639999999835,2.213740999999999,2.4330610000000092,2.324218000000002,3.2552379999999914,1.812154000000021,2.5238999999999976,2.975510999999983,4.115690999999998,2.407166000000018,3.1933779999999956,3.5037189999999896,2.1012699999999995,4.348253999999997,2.7778690000000097,3.232652999999999,3.328979000000004,1.8937420000000031,4.675646,6.918094999999994
007_Hagen_3,2.5207260000000002,3.41746,3.530022999999999,2.3402260000000012,1.4822229999999994,2.927572999999999,4.5791840000000015,2.6522450000000006,3.0234469999999973,3.3568250000000006,2.2199550000000023,1.4701129999999978,3.8681630000000027,5.529705999999997,2.5505210000000034,3.054195,1.4775509999999983,2.072789,2.595056999999997,1.481769,1.4419499999999985,0.9218140000000048,1.2521989999999974,2.005851,2.025170000000003,2.1545579999999944,2.0237180000000023,2.1248530000000017,2.0894329999999997,2.109751000000003,1.6165979999999962,1.6608620000000087,1.7077099999999916,1.6965079999999944,1.5108840000000043,1.4630840000000092,0.6741499999999974,1.4420399999999916,1.4256689999999992,1.534513000000004,0.7438999999999965,1.4232200000000006,1.479138000000006,1.4052609999999959,0.7508389999999991,1.4661230000000103,0.6640359999999959,1.4351020000000005,1.4489339999999942,1.3746940000000052,1.4480269999999962,1.401633000000004,0.8808159999999958,0.7695240000000041,0.7828569999999928,0.4752380000000045,0.861904999999993,0.7563270000000131,2.723174,4.9175969999999865,5.138412000000002,2.0549660000000074,3.887482999999989,3.6239000000000203,3.3818139999999914,3.6624490000000094,3.106938999999983,2.500817000000012,2.4759179999999787,2.3126530000000116,2.0175959999999975,2.059547000000009,2.0024489999999844,2.022902000000016,2.011292999999995,1.9733329999999967,1.9724720000000104,2.157550999999984,2.221360000000004,2.12761900000001,2.2531979999999976,2.7452150000000017,2.2325620000000015,4.304263999999989,2.3688429999999983,2.4979590000000087,2.7042179999999973,4.515238000000011,2.512153999999981,3.2039000000000044,2.8755110000000172,5.335690999999997,3.267166000000003,3.555509999999998,3.5565079999999796,1.5663490000000024,6.248254000000003,3.5378690000000006,3.49265299999999,4.348979000000014,3.0137420000000077,7.177278999999999,11.036462
008_Prazak_3,2.188345,2.7698410000000004,2.9700229999999994,2.1602259999999998,1.542223,1.7675730000000005,3.6791839999999993,2.068571000000002,2.087121,2.8368249999999975,2.1399550000000005,1.650113000000001,1.5281629999999993,3.5297059999999973,1.8705210000000037,1.794195000000002,1.677550999999994,1.532789000000001,1.4350570000000005,1.5417690000000022,1.281950000000002,1.001813999999996,1.132199,1.642858000000004,2.0881630000000015,1.8345579999999941,1.7837180000000004,1.7848530000000054,1.709432999999997,1.8297510000000017,1.296597999999996,1.7008620000000008,1.747710000000005,2.4565079999999995,1.5908840000000026,1.503083999999987,0.6941500000000076,1.5820400000000063,1.5656689999999998,1.614512999999988,0.7439000000000107,1.543219999999991,1.5591380000000044,1.5052610000000044,0.7308389999999889,1.5861230000000006,0.7040360000000021,1.535102000000009,1.5289339999999925,1.6149209999999954,1.5278000000000134,1.5616329999999863,0.9408160000000123,0.8226760000000013,0.7897049999999979,0.7952379999999977,1.069115999999994,1.2291160000000048,3.723174,2.517596999999995,3.498412000000002,1.734966,2.907482999999999,2.323900000000009,2.8173249999999967,3.266937999999996,3.3338779999999986,2.693877999999998,2.5959179999999975,3.432653000000016,2.357596000000001,2.2195469999999773,2.1824490000000196,2.502902000000006,2.111292999999989,2.353332999999992,1.9124720000000082,2.09755100000001,2.0413599999999974,1.9876189999999951,2.133197999999993,3.1652149999999892,2.5125620000000026,3.0242640000000165,2.253740999999991,2.2930609999999945,2.364217999999994,4.195238000000018,1.7721540000000005,2.143900000000002,2.175511,4.115690999999998,2.747165999999993,3.253377999999998,3.618639999999999,1.6234919999999988,4.991111000000018,3.217868999999979,3.652653000000015,4.0289789999999925,2.0937419999999918,5.757279000000011,7.5964620000000025
009_Belcea_3,2.5467570000000004,3.5114289999999997,3.410023,2.3802260000000004,1.422222999999999,3.1675730000000026,6.034285999999998,2.953469000000002,3.401088999999999,3.4628569999999996,2.312381000000002,1.8176869999999994,2.908163000000002,5.029705999999997,2.6505209999999977,3.054195,1.4775509999999983,2.4127890000000036,2.6950569999999985,1.481769,1.9619500000000016,1.2818139999999971,2.193016000000007,1.6050339999999892,2.108435,2.551293000000001,2.2434010000000058,2.625169999999997,2.5494330000000076,1.8297509999999875,1.7365980000000008,1.980862000000002,1.8077100000000002,1.9965080000000057,1.5508839999999964,1.5430840000000074,0.6741499999999974,1.4420399999999916,1.5056690000000117,1.5345129999999898,0.7039000000000044,1.4832200000000029,1.499138000000002,1.4052609999999959,0.6708390000000009,1.3861229999999978,0.6440359999999998,1.4151020000000045,1.388933999999992,1.4146939999999972,1.3880270000000081,1.401633000000004,0.9208159999999879,0.8226760000000013,0.8497050000000002,0.8352380000000039,1.0691160000000082,1.1291159999999962,3.0631740000000036,4.1375969999999995,3.7184120000000007,1.9749659999999807,3.387483000000003,2.4439000000000135,2.8173249999999825,3.946938000000017,4.466938999999996,3.500817000000012,3.5959179999999833,3.5126530000000002,1.897595999999993,1.779547000000008,1.9424490000000105,2.1429019999999923,1.947529000000003,2.2170969999999954,2.014512999999994,1.9155100000000118,2.1413599999999917,1.947619000000003,2.2131980000000055,2.7452150000000017,2.572562000000005,3.264263999999997,2.6337409999999863,2.413060999999999,2.4842179999999985,4.515238000000011,2.5521540000000016,2.9239000000000033,3.6355109999999797,5.755691000000013,3.1271659999999883,3.473378000000025,4.35863999999998,1.6663489999999967,6.42825400000001,3.337869000000012,4.152652999999987,3.568979000000013,2.633741999999984,8.377279000000016,7.456461999999988
010_AlbanBerg_3,2.600408,2.897778,3.0100229999999994,2.3402260000000012,1.4822229999999994,2.3275729999999992,4.339184000000001,2.3722449999999995,2.5834469999999996,2.756824999999999,2.1999550000000028,1.4501129999999982,2.488163,3.989705999999998,2.316597999999999,2.4081180000000018,1.4775509999999983,1.8327890000000053,2.1750569999999954,1.501769000000003,1.6219499999999982,1.0618139999999983,1.5521990000000017,1.545850999999999,2.1251700000000042,1.9545579999999987,2.423718000000001,1.9248529999999988,1.929433000000003,1.6097510000000028,1.57659799999999,1.5808620000000104,1.4677099999999967,1.9965079999999915,1.6308840000000089,1.5830839999999995,0.6941499999999934,1.54204,1.6856690000000043,1.4145129999999995,0.6838999999999942,1.5432200000000051,1.5591380000000044,1.6052609999999987,0.6908389999999969,1.6061229999999966,0.7040360000000021,1.5751020000000011,1.4689340000000044,1.514921000000001,1.4677999999999969,1.4816330000000022,1.0608159999999884,0.8826760000000036,0.8297050000000041,0.697142999999997,0.7872109999999992,1.3491160000000093,3.1031739999999957,3.3775969999999944,2.9184120000000036,1.754965999999996,2.827483000000001,1.7839000000000027,2.334875999999994,3.1093870000000123,2.4869389999999925,1.9608170000000058,2.2559180000000083,2.5526529999999923,1.9975959999999873,1.9995470000000068,1.9224490000000003,1.802901999999989,1.9112930000000006,2.033332999999999,1.8924720000000264,1.8575509999999724,1.7413600000000145,1.5076190000000054,1.3731980000000021,1.605214999999987,2.0525619999999947,2.36426400000002,2.073740999999984,2.2530610000000024,2.1842180000000155,3.9352379999999982,1.8921539999999766,2.1839000000000226,2.2755109999999945,3.775690999999995,2.3671659999999974,2.8755099999999914,3.1165080000000103,2.0663490000000024,4.628253999999998,2.457868999999988,3.5726530000000025,3.1302040000000204,1.8125169999999855,5.957279,7.256461999999999
