,measure1,measure2,measure3,measure4,measure5,measure6,measure7,measure8,measure9,measure10,measure11,measure12,measure13,measure14,measure15,measure16,measure17,measure18,measure19,measure20,measure21,measure22,measure23,measure24,measure25,measure26,measure27,measure28,measure29,measure30,measure31,measure32,measure33,measure34,measure35,measure36,measure37,measure38,measure39,measure40,measure41,measure42,measure43,measure44,measure45,measure46,measure47,measure48,measure49,measure50,measure51,measure52,measure53,measure54,measure55,measure56,measure57,measure58,measure59,measure60,measure61,measure62,measure63,measure64,measure65,measure66,measure67,measure68,measure69,measure70,measure71,measure72,measure73,measure74,measure75,measure76,measure77,measure78,measure79,measure80,measure81,measure82,measure83,measure84,measure85,measure86,measure87,measure88,measure89,measure90,measure91,measure92,measure93,measure94,measure95,measure96,measure97
001_Janacek_3,7.045941,7.225352000000001,7.109025000000001,6.406620999999998,5.246213000000001,10.355012000000002,6.121223999999998,5.983265000000003,6.415918999999995,6.474284999999995,5.889388000000011,5.790204000000003,5.86680299999999,6.748299000000003,6.293514999999999,5.653514999999999,7.012153999999995,6.145896000000008,5.372426000000004,5.375373999999994,6.076054999999997,7.563808999999992,6.605397000000011,6.603400999999991,6.040272000000016,6.495012000000003,6.335147000000006,6.022040999999973,5.913333000000023,6.249387999999982,5.549388000000022,3.839591999999982,3.8501129999999932,3.9141950000000065,3.944852999999995,3.8546929999999975,3.944808000000023,4.0326069999999845,3.9655329999999935,3.812699000000009,5.086076999999989,4.391156000000024,4.634058999999979,5.002721000000008,7.095828000000012,6.465305999999998,6.064670999999976,6.160454000000016,5.589976999999976,5.328390000000013,5.248118000000034,4.784671000000003,4.273695999999973,3.976282000000026,4.767255999999975,4.65138300000001,5.131473999999969,3.8907480000000305,5.641633000000013,5.212788999999987,5.6482540000000085,5.565124999999966,5.636507999999992,7.317687000000035,7.327255999999977,6.314467000000036,8.321496999999965,6.920771000000002,6.577143000000035,6.359182999999973,6.432653000000016,6.1697959999999625,6.21782300000001,6.4487080000000105,6.776325999999983,6.213878000000022,6.154694000000006,5.906938999999966,5.7175510000000145,5.666938000000016,5.177143000000001,5.426123000000018,7.812244999999962,6.4791830000000346,6.569795999999997,6.503264999999999,6.867755999999986,6.625441999999964,6.972743000000037,7.368888999999967,6.713833000000022,7.084171999999967,6.900726000000077,6.477277999999956,7.718912000000046,5.824126999999976,3.4318819999999732
002_Takacs_3,5.271655,6.787347,5.147030000000001,5.846620999999999,6.546213000000002,8.095011999999997,5.461224000000001,5.443265000000004,5.441632999999996,5.748570999999998,5.129387999999999,5.2302040000000005,4.9068029999999965,5.608299000000002,5.233515000000011,5.033514999999994,5.432153999999997,5.605896000000001,5.592426000000003,4.715373999999997,5.816055000000006,6.743808999999999,6.026802999999987,6.041995000000014,5.900272000000001,6.0751929999999845,5.61496600000001,4.942040999999989,4.786394000000001,5.236327000000017,4.8693879999999865,3.1595920000000035,3.8701130000000035,3.614194999999995,3.644853000000012,3.274692999999985,4.10480800000002,3.7126069999999913,3.6455330000000004,3.372698999999983,5.026077000000015,4.6911560000000065,4.754058999999984,4.222721000000007,5.695828000000006,4.325305999999983,4.264671000000021,4.280453999999992,3.8899769999999876,4.1683900000000165,4.508117999999968,3.9046710000000076,4.633696000000043,3.576281999999992,3.9472559999999817,4.531383000000005,5.111473999999987,3.8907480000000305,4.04163299999999,5.138049999999964,5.562993000000006,5.045125000000041,6.456507999999985,4.7776870000000145,6.047256000000004,6.194466999999975,5.8014969999999835,5.220771000000013,4.897143000000028,4.939182999999957,4.872653000000014,4.809796000000006,5.277823000000012,5.1287079999999605,5.636325999999997,4.313878000000045,4.394693999999959,4.34693900000002,4.037551000000008,4.2685710000000086,4.295509999999979,4.246123000000011,6.192245000000014,5.459182999999996,5.809796000000006,5.643264999999985,6.287756000000002,5.82544200000001,6.352742999999975,6.24888900000002,5.593832999999961,5.744172000000049,6.19673499999999,6.141268999999966,6.718912000000046,5.567618999999979,2.6883900000000267
003_Koeckert_3,6.151655,5.227347,5.627030000000001,4.886620999999998,6.867347000000002,10.393878,5.941223999999998,6.203265000000002,6.255918999999999,6.619999999999997,6.145306000000005,5.828570999999997,5.786803000000006,6.388298999999989,6.553515000000004,7.033514999999994,7.352153999999999,6.8858960000000025,5.452426000000003,4.615374000000003,6.376054999999994,7.663809000000015,6.3653970000000015,6.843401,6.160271999999992,6.6750120000000095,5.975146999999993,5.782040999999992,5.79333299999999,6.069388000000004,5.0293880000000115,3.29959199999999,3.810113000000001,3.6941950000000077,3.6248530000000017,3.154693000000009,3.82480799999999,3.6326070000000072,3.4855330000000038,3.092698999999982,4.826076999999998,4.045442000000008,4.199772999999993,4.082720999999992,6.215828000000016,6.005306000000019,5.64467099999996,5.360454000000004,5.229977000000019,5.2083900000000085,5.328117999999961,4.96467100000001,4.8536960000000136,5.776281999999981,5.587256000000025,4.991382999999985,5.831474000000014,3.690747999999985,4.901633000000004,5.318050000000028,6.082992999999988,5.485124999999982,6.196507999999994,5.717687000000012,5.96725600000002,6.234466999999995,7.561496999999974,6.100771000000009,5.7971430000000055,5.859182999999973,5.552653000000021,5.42979600000001,5.597823000000005,6.388708000000008,6.45632599999999,5.913878000000011,5.854693999999995,5.6669390000000135,5.337550999999962,5.426938000000007,5.1371429999999805,4.906123000000036,8.452245000000005,7.019182999999998,7.369796000000008,6.583264999999983,9.747755999999981,8.045442000000037,8.992743000000019,7.508888999999954,6.753832999999986,8.204171999999971,7.216735000000085,6.621268999999984,7.783039000000031,6.463491999999974,4.40838999999994
004_PavelHass_3,5.840226,8.007347,6.847029999999998,8.066621000000001,8.326213,12.795012,5.501224000000001,5.4032649999999975,5.635919000000008,5.754284999999996,5.269387999999992,5.430204000000003,5.1268030000000095,5.865033999999994,5.956779999999995,4.893515000000008,5.732153999999994,5.8858960000000025,4.612425999999999,4.295373999999995,7.436054999999996,9.56380900000002,5.605396999999982,6.143401000000011,5.900272000000001,6.235011999999983,5.8551470000000165,5.462040999999999,5.1933329999999955,5.5293880000000115,5.569387999999975,3.539591999999999,3.8501130000000217,3.7341949999999997,3.7048529999999857,3.5546930000000145,3.9048080000000027,3.832606999999996,3.665532999999982,3.672699000000023,6.480634999999978,4.936598000000004,4.774058999999994,4.422721000000024,6.3958279999999945,5.025305999999972,4.764671000000021,5.360454000000004,4.509976999999992,4.408389999999997,4.128118000000029,3.8446710000000053,3.913695999999959,3.5661680000000047,4.497369999999989,4.131383000000028,5.26743799999997,5.054784000000041,4.54163299999999,4.878049999999973,5.562993000000006,4.825125000000014,6.57650799999999,4.577687000000026,6.458775000000003,6.64294799999999,9.02149700000001,5.620770999999991,5.6371429999999805,5.639183000000003,5.332652999999993,5.529796000000033,5.697822999999971,6.508708000000013,6.256326000000001,4.953877999999975,4.834694000000013,4.966939000000025,4.537551000000008,4.428570999999977,4.1555099999999925,3.9261230000000182,6.412244999999984,5.3191830000000095,6.349795999999969,5.683265000000006,6.26775600000002,5.845441999999991,6.0927429999999845,6.2688890000000015,6.173833000000002,7.084172000000024,6.976735000000019,6.681268999999929,8.298912000000087,5.547618999999941,3.7883900000000494
005_Travnicek_3,4.351655,4.587347,4.907029999999999,3.7266209999999997,4.846213000000002,8.895011999999998,5.181224000000004,5.443264999999997,5.775919000000002,5.814284999999998,5.369388000000001,5.470203999999995,5.331837000000007,5.603264999999993,5.233514999999997,5.393515000000008,5.892154000000005,5.665895999999989,5.312426000000002,4.915374,5.676055000000005,6.483808999999994,4.945397,5.303401000000008,5.060271999999998,5.255011999999994,5.095146999999997,4.662041000000016,5.053332999999981,5.369388000000015,4.609387999999996,2.859591999999992,3.0901130000000023,3.1541950000000156,3.044852999999989,3.014692999999994,3.3648080000000107,3.2126069999999913,2.9655329999999935,3.012698999999998,5.586077000000017,4.611155999999994,4.854059000000007,5.222721000000007,7.27582799999999,4.905305999999996,4.564671000000004,4.7204539999999895,4.069977000000023,4.188389999999998,4.208117999999985,3.784671000000003,4.053696000000002,2.8762820000000033,4.367255999999998,4.491382999999985,5.8074379999999906,4.1547840000000065,3.901633000000004,4.238049999999987,4.789569000000029,4.738548999999978,6.916508000000022,5.1976869999999735,6.127256000000045,5.174466999999993,6.341497000000004,4.860771,4.737143000000003,4.899182999999994,4.452652999999998,4.709795999999983,4.737822999999992,4.8866669999999885,5.518367000000012,4.833878000000027,4.794693999999993,4.766938999999979,4.297550999999999,4.328571000000011,4.3155100000000175,4.186123000000009,5.51224499999995,5.619183000000021,5.569795999999997,5.743265000000008,6.207756000000018,5.985441999999978,6.072743000000003,5.488889000000029,5.79383299999995,7.6041720000000055,6.756734999999992,6.281269000000009,7.20303899999999,5.523492000000033,4.0483899999999835
006_Prazak_3,6.497369,6.507347,6.42703,6.613968,6.638866,10.195011999999998,5.2412240000000025,5.983264999999996,5.6959190000000035,6.114285000000002,5.529387999999997,5.470203999999995,5.966802999999999,6.148299000000009,5.993515000000002,6.05351499999999,6.65215400000001,6.745895999999988,4.612425999999999,4.135374000000013,6.836054999999988,6.823809000000011,5.645397000000003,6.143400999999983,5.320272000000017,6.135011999999989,5.435147000000001,4.302041000000003,4.353332999999992,5.289388000000002,5.069388000000004,2.779592000000008,3.2701129999999807,3.294195000000002,3.404853000000003,3.1346929999999986,3.3248080000000186,3.152606999999989,3.3855330000000095,3.292698999999999,5.566077000000007,4.111155999999994,4.174059,4.342720999999983,6.535828000000009,5.145306000000005,4.864670999999987,5.200454000000008,4.609977000000015,4.628389999999968,4.228117999999995,3.684671000000037,4.473695999999961,3.136282000000051,4.287255999999957,4.5113830000000235,6.3074379999999906,4.607029000000011,3.6693879999999695,4.758050000000026,5.6029929999999695,4.865125000000035,6.316507999999999,5.257686999999976,6.567256000000043,6.03446699999995,8.421497000000045,5.520770999999968,5.077143000000035,5.03918299999998,5.372653000000014,4.92979600000001,5.2578229999999735,6.3687080000000265,6.6763259999999605,4.933877999999993,4.774694000000011,5.206939000000034,4.697550999999976,4.5469380000000115,4.077142999999978,3.686123000000009,5.672244999999975,5.3191830000000095,5.4097960000000285,5.6232650000000035,6.227755999999999,6.1654419999999845,7.072743000000003,6.828889000000004,6.7938330000000065,8.544172000000003,7.476734999999962,6.681269000000043,8.518911999999943,5.467619000000013,4.128389999999968
007_Jerusalem_3,6.425941,5.967347000000001,6.00703,5.906620999999998,6.046213000000002,7.575012000000001,5.401223999999999,5.743265000000001,5.815919000000001,6.014285000000001,5.70938799999999,5.97020400000001,5.946803000000003,5.768298999999999,5.693514999999991,5.573515,5.65215400000001,5.485895999999997,5.452426000000003,5.295373999999995,5.476055000000002,7.023808999999986,5.725397000000015,6.243401000000006,5.640271999999982,5.815011999999996,5.555147000000005,5.242041,5.1533330000000035,5.289388000000002,5.009388000000001,3.1395919999999933,3.6101130000000126,3.1341950000000054,3.404853000000003,2.994692999999984,3.4448079999999948,3.532607000000013,3.4655329999999935,3.2326989999999967,5.266076999999996,4.311156000000011,4.274058999999994,4.422720999999996,5.515827999999999,5.78530600000002,5.564670999999976,5.720454000000018,5.309976999999975,5.428390000000036,5.548117999999988,5.104670999999996,5.133695999999986,4.756281999999999,4.747255999999993,4.531383000000005,5.111474000000044,3.8107479999999896,4.261632999999961,4.578050000000019,4.9229930000000195,5.025125000000003,5.456507999999985,4.337687000000017,7.1272559999999885,5.634466999999972,6.661496999999997,5.640771000000029,5.37714299999999,5.339182999999991,5.124081999999987,5.298367000000042,5.337822999999958,5.568708000000015,5.636325999999997,5.553877999999997,5.574694000000022,5.786939000000018,4.997550999999987,5.486938000000009,5.357142999999951,5.066123000000005,6.332245,5.339183000000048,5.449795999999992,5.583264999999983,5.667755999999997,5.0854420000000005,5.172743000000025,4.96888899999999,5.073832999999979,5.72417200000001,5.456734999999981,4.841269000000011,6.623039000000006,3.240000000000009,2.4118819999999914
008_Dante_3,5.200226,5.607347,5.02703,6.766621000000001,5.427347000000001,8.733878,5.441223999999998,5.9032649999999975,5.7159189999999995,5.914285,5.489387999999998,5.450203999999999,5.466802999999999,5.908299000000014,5.236734999999996,5.490295000000003,5.692153999999988,5.425896000000009,4.894739000000001,4.473061000000001,4.516054999999994,6.183808999999997,5.525397000000012,5.7234009999999955,5.620272,5.835012000000006,5.455146999999982,5.062040999999994,5.1133330000000115,5.449387999999999,5.20938799999999,3.739592000000016,3.990113000000008,3.594194999999985,3.5848530000000096,3.054692999999986,3.6048080000000198,3.372606999999988,3.4455330000000117,3.152698999999984,4.166077000000001,3.7111560000000168,3.754058999999984,3.962721000000016,5.555827999999991,5.5253060000000005,5.344671000000005,5.700453999999979,4.98997700000001,5.328390000000013,5.328117999999989,4.96467100000001,4.5336959999999635,3.416282000000024,4.2872560000000135,4.391382999999962,4.351474000000053,3.421496999999988,4.270883999999967,4.758050000000026,5.18299300000001,4.725124999999991,5.476507999999967,3.737687000000051,5.987255999999945,5.614467000000047,8.561496999999974,6.160771000000011,6.217143000000021,6.4991829999999595,5.832652999999993,6.269796000000042,6.43782299999998,6.528707999999995,6.916326000000026,5.6338779999999815,5.4746939999999995,5.5069389999999885,5.037551000000008,5.506937999999991,5.2971430000000055,5.046123000000023,6.972244999999987,5.699183000000005,5.8297959999999875,5.943264999999997,6.2648980000000165,6.308299999999974,6.972743000000037,6.708888999999999,6.353832999999952,7.50417200000004,6.856734999999958,6.161269000000004,7.018912,5.447618999999975,2.6883900000000267
009_AlbanBerg_3,5.020226,5.527347,5.527030000000002,6.326620999999999,6.386212999999998,8.835012000000003,5.901223999999999,5.8048980000000014,5.894286000000001,6.194284999999994,5.789388000000002,5.470203999999995,5.726803000000004,6.328299000000001,6.0935149999999965,6.193515000000005,6.612154000000004,6.465896000000001,5.472425999999999,5.275373999999999,6.416055,7.343808999999993,6.465396999999996,6.803401000000008,6.400272000000001,6.795011999999986,5.995147000000003,5.122040999999996,4.773333000000008,4.909388000000007,4.309388000000013,3.039591999999999,3.51011299999999,3.4341949999999883,3.244853000000006,3.0346930000000043,3.544807999999989,3.4526070000000004,3.3455330000000174,3.2326989999999967,4.166077000000001,4.271155999999991,4.6540589999999895,4.80272100000002,6.075828000000001,5.165305999999987,4.924671000000018,5.160453999999987,4.629976999999997,4.688390000000027,4.3481179999999995,3.9846709999999916,3.573695999999984,2.5162819999999897,3.567255999999986,2.7713830000000144,4.551473999999985,4.270748000000026,3.82163300000002,4.55804999999998,4.869569000000013,4.5,6.37505699999997,4.997687000000042,7.338774999999998,5.582947999999988,7.405169999999998,6.13709799999998,5.777143000000024,5.5791830000000004,5.432653000000016,5.649795999999981,6.097823000000005,6.428707999999972,7.036326000000031,5.4738779999999565,5.274694000000011,5.1669390000000135,4.957551000000024,4.968570999999997,4.575510000000008,4.146122999999989,5.872244999999964,5.2391830000000255,5.689796000000001,5.563265000000001,6.327755999999965,6.165442000000041,6.5927429999999845,6.228888999999981,6.113833,6.404172000000017,6.176735000000008,6.2443079999999895,7.435873000000015,5.847618999999952,3.248390000000086
010_Skampa_3,6.137369,7.647347,6.92703,7.8666209999999985,8.586213,12.995012000000003,5.721223999999999,5.6432649999999995,5.115918999999998,5.794285000000002,5.249387999999996,5.370204000000001,4.786803000000006,5.688299000000001,5.1135149999999925,5.333515000000006,5.572153999999998,5.910929999999993,4.8873920000000055,4.0353740000000045,7.416054999999986,7.703809000000007,5.425397000000004,5.483400999999986,5.220272000000023,5.535011999999995,5.235146999999984,4.382041000000015,4.253332999999998,4.729388,4.8693879999999865,3.2595920000000262,3.7301129999999887,3.7741949999999918,3.724852999999996,3.474693000000002,3.704808000000014,3.5326069999999845,3.6055330000000083,3.512698999999998,6.226077000000004,4.6911560000000065,4.714058999999992,4.722721000000007,6.575828000000001,4.98530599999998,4.764671000000021,5.140453999999977,4.369977000000006,4.308390000000031,3.968118000000004,3.5647619999999733,3.9736050000000205,4.056281999999953,4.46725600000002,4.131383000000028,5.411473999999998,4.202992999999992,4.73415,5.313288,6.062993000000006,5.165124999999989,6.836507999999981,5.737686999999994,7.558775000000026,6.99528399999997,10.049161000000026,6.280771000000016,5.677143000000001,5.739182999999969,5.712652999999989,5.589796000000035,5.89782299999996,6.648707999999999,6.556326000000013,5.053877999999997,4.914693999999997,5.086939000000029,4.577550999999971,4.208571000000006,3.8155100000000175,3.866123000000016,6.79224499999998,6.0791830000000004,6.149795999999981,5.923265000000015,6.6048979999999915,6.4483000000000175,6.912742999999978,6.848889000000042,6.613833,8.204171999999971,8.55918399999996,7.438820000000078,10.378912000000014,5.887618999999972,4.348389999999995
