,measure1,measure2,measure3,measure4,measure5,measure6,measure7,measure8,measure9,measure10,measure11,measure12,measure13,measure14,measure15,measure16,measure17,measure18,measure19,measure20,measure21,measure22,measure23,measure24,measure25,measure26,measure27,measure28,measure29,measure30,measure31,measure32,measure33,measure34,measure35,measure36,measure37,measure38,measure39,measure40,measure41,measure42,measure43,measure44,measure45,measure46,measure47,measure48,measure49,measure50,measure51,measure52,measure53,measure54,measure55,measure56,measure57,measure58,measure59,measure60,measure61,measure62,measure63,measure64,measure65,measure66,measure67,measure68,measure69,measure70,measure71,measure72,measure73,measure74,measure75,measure76,measure77,measure78,measure79,measure80,measure81,measure82,measure83,measure84,measure85,measure86,measure87,measure88,measure89,measure90,measure91,measure92,measure93,measure94,measure95,measure96,measure97,measure98,measure99,measure100,measure101,measure102,measure103,measure104,measure105,measure106,measure107,measure108,measure109,measure110,measure111,measure112,measure113,measure114,measure115,measure116,measure117,measure118,measure119,measure120,measure121,measure122,measure123,measure124,measure125,measure126,measure127,measure128,measure129,measure130,measure131,measure132,measure133,measure134,measure135,measure136,measure137,measure138,measure139,measure140
001_PavelHass_1,0.4424490000000001,1.043764,0.9779589999999998,1.2668480000000004,3.2790929999999996,3.0218599999999993,3.5488430000000015,3.575374,4.296870999999999,2.416326999999999,3.5587750000000007,6.355510000000002,2.5794110000000003,2.3012699999999953,3.7158270000000044,6.494330999999995,2.006713000000005,1.3688429999999983,1.5621769999999984,1.4104760000000027,1.4013610000000014,1.3859859999999955,1.5599090000000047,2.407981999999997,4.105941000000001,3.411247000000003,3.7029939999999897,7.807483000000005,1.1866660000000024,1.0425400000000025,1.052380999999997,1.0730609999999956,1.0780950000000047,1.0843990000000048,1.026621999999989,1.0521090000000015,1.0609520000000003,0.9808160000000044,1.1640819999999934,1.1817690000000027,1.0677550000000053,1.2309750000000008,1.1898410000000013,1.0546939999999978,1.1538779999999917,1.1538770000000085,1.1545579999999944,1.2323810000000037,1.5391839999999917,2.2257820000000095,2.6769390000000044,2.206801999999996,2.4119730000000033,2.7879369999999994,2.54022599999999,2.990975000000006,3.3914740000000023,4.086076999999989,3.5830840000000137,2.962176999999997,2.054376999999988,1.8995910000000151,1.721225000000004,1.8578679999999963,2.6098869999999863,2.025351999999998,1.9744210000000066,2.180182000000002,1.901270000000011,2.6609519999999804,2.5481630000000166,3.1967799999999897,2.6545130000000086,3.6068019999999876,2.4753290000000163,3.2096599999999853,2.673107000000016,2.2432649999999796,2.365713999999997,1.100953000000004,1.045170000000013,1.0681629999999984,1.1942860000000053,1.0403169999999875,1.0939679999999896,1.1152390000000025,1.200000000000017,1.096190000000007,1.0878459999999848,1.2398180000000139,1.368707999999998,1.0738769999999818,1.2422679999999957,1.1874830000000145,0.9624489999999923,1.251700999999997,1.1574150000000145,1.1993650000000002,1.0127430000000004,1.4253070000000037,1.182266999999996,1.5287079999999946,1.1919269999999926,1.1635380000000168,1.1480719999999849,1.1958280000000059,1.3749660000000006,1.199183000000005,1.242086999999998,1.0379130000000032,1.2070750000000032,1.821043000000003,4.311110999999983,3.0648529999999994,3.4048070000000052,2.871927999999997,3.016098999999997,3.0319729999999936,2.8286620000000084,5.175465000000003,4.27310700000001,4.80489799999998,4.903129000000035,7.511156999999969,3.5245800000000145,3.5827659999999923,3.1964629999999943,3.3501130000000217,3.473650999999961,3.2620860000000107,3.5765539999999874,3.4185940000000414,3.962947999999983,3.5778680000000236,3.6702949999999532,3.2922450000000367,3.910112999999967,3.2946939999999927,3.463061000000039,3.131813999999963
002_Travnicek_1,0.585624,1.440589,1.077959,1.406848,3.4390929999999997,3.161860000000001,3.6888430000000003,3.3753740000000008,4.0568709999999975,2.3963269999999994,2.758775,5.275510000000004,2.199410999999998,2.001269999999998,2.615827000000003,5.2743309999999965,1.5279370000000014,1.6276190000000028,1.702176999999999,1.6104759999999985,1.5813610000000011,1.245986000000002,1.5999089999999967,2.5679820000000007,2.985940999999997,3.1112469999999988,3.222994,6.4874829999999974,1.2066660000000127,1.0825399999999945,1.0923810000000032,1.0730609999999956,1.0780950000000047,1.0643989999999945,1.0866220000000055,1.0721089999999975,1.0435370000000006,1.1374150000000043,1.1848979999999898,1.0617689999999982,1.0877550000000014,1.250975000000011,1.2098409999999973,1.0346940000000018,1.193877999999998,1.0338769999999897,1.1145580000000024,1.27238100000001,1.6391840000000002,2.5857819999999947,3.1769390000000044,2.560136,2.7786389999999983,3.1079369999999926,2.760226000000003,3.4287530000000004,3.013695999999996,3.3860770000000002,3.300545000000014,2.304715999999985,1.8927439999999933,2.0012240000000077,1.681225000000012,2.017867999999993,2.3698870000000056,1.2653520000000071,1.3344209999999919,1.7001819999999839,1.441270000000003,2.0609520000000146,2.048162999999988,2.0567800000000034,2.014512999999994,3.406801999999999,2.2753289999999993,2.229660000000024,2.053106999999983,2.0270749999999964,2.88190400000002,1.3409529999999847,1.2251699999999914,1.1218140000000005,1.1606350000000134,1.2403170000000046,1.2139679999999942,1.235239000000007,1.2199999999999989,1.1796819999999855,1.2243540000000053,1.3798180000000002,1.128707999999989,1.1338770000000125,1.1222679999999912,1.160726000000011,1.0892059999999901,1.251700999999997,1.1774150000000247,1.0593649999999855,1.132743000000005,1.3453069999999911,1.2422669999999982,1.4887080000000026,1.3119269999999972,1.1835379999999986,1.088072000000011,1.0958279999999831,1.174966000000012,1.2191830000000152,1.1620869999999854,1.1579130000000077,1.2670750000000055,2.0010429999999815,3.2311109999999985,3.1248530000000017,3.104806999999994,3.111928000000006,3.4560989999999947,3.4519730000000095,3.6086620000000096,4.735465000000005,4.333106999999984,4.5648979999999995,4.783129000000002,6.671157000000022,3.2845800000000054,3.382765999999947,2.9364630000000034,3.250112999999999,3.373651000000052,3.1820859999999698,3.17655400000001,3.118593999999973,3.46294800000004,3.3578679999999963,3.450294999999983,3.3922450000000026,3.3701130000000035,3.1346939999999677,3.203061000000048,2.6251929999999675
003_Prazak_1,0.905624,1.7205890000000001,1.117959,1.286848,2.599093,2.901859999999999,3.3888430000000014,3.455373999999999,5.116871,2.5563269999999996,3.1787750000000017,6.95551,2.279410999999996,2.001270000000005,3.395826999999997,6.274331000000004,2.1467129999999983,1.828842999999999,1.6221770000000006,1.5304760000000002,1.5013609999999957,1.4259860000000018,1.4999090000000024,3.5879819999999967,4.705940999999996,3.411247000000003,3.9229940000000028,9.147482999999994,1.2266660000000087,1.0825399999999945,1.052380999999997,1.0330610000000036,1.0580950000000087,1.0843989999999906,1.0066220000000072,1.1321089999999998,1.0635369999999966,1.0382309999999961,1.064081999999999,1.241769000000005,1.1077549999999974,1.1255780000000044,1.115238000000005,1.1546939999999921,1.153878000000006,1.1338769999999982,1.1545579999999944,1.1923809999999975,1.4591840000000076,2.425781999999998,2.7969389999999947,2.866802000000007,2.4719729999999913,3.0679370000000006,3.1802260000000047,3.1909750000000088,3.611473999999987,4.4860769999999945,2.6805450000000235,2.557459999999992,1.799999999999983,1.7812240000000088,1.6412249999999915,1.7378680000000202,2.529887000000002,1.6653519999999844,1.3744210000000123,1.4601820000000032,1.3612699999999904,2.44095200000001,2.188163000000003,2.2341049999999996,1.9571879999999737,3.4668020000000013,2.0353290000000186,2.2296599999999955,1.9331070000000068,2.047074999999978,2.3419039999999995,1.3409530000000132,1.2851699999999937,1.1018140000000187,0.9206349999999759,1.580317000000008,1.1939680000000124,1.1952389999999866,1.2800000000000011,1.2396820000000162,1.2243539999999768,1.5287980000000232,1.5597279999999785,1.1538770000000227,1.0222679999999968,1.1007259999999803,1.1292060000000106,1.1717009999999846,1.1374150000000043,1.1593650000000082,1.092743000000013,1.3653070000000014,1.0622669999999914,1.2887079999999855,1.231927000000013,1.1435380000000066,1.1080719999999928,1.1158279999999934,1.174966000000012,1.239182999999997,1.28208699999999,1.0379130000000032,1.2470749999999953,2.241043000000019,2.911110999999977,2.7248530000000244,2.5448069999999916,2.3976419999999905,2.430385000000001,3.091972999999996,2.4286620000000028,4.675465000000003,3.6331069999999954,4.364898000000011,5.143129000000016,9.331156999999962,2.984579999999994,3.0027660000000083,2.816462999999999,2.890113000000042,2.867301999999995,3.339999999999975,3.284988999999996,3.138594000000012,3.622948000000008,3.2578679999999736,3.2102950000000305,3.3322450000000003,3.6901129999999966,3.1346939999999677,3.2430610000000115,2.951814000000013
004_Dante_1,0.7856239999999999,1.3405890000000003,1.137959,1.2868479999999995,2.4790930000000007,2.54186,3.028843,2.835374,3.3368709999999986,2.8363270000000007,3.258775,5.015509999999999,2.2794109999999996,1.961269999999999,2.335827000000002,4.814331000000003,1.9267129999999995,1.9288430000000005,2.1421769999999967,1.8904759999999996,2.1613609999999994,1.6659860000000037,1.8799089999999978,2.5679820000000007,3.1659410000000037,3.171247000000001,3.3429939999999903,5.887483000000003,1.2466660000000047,1.1425399999999968,1.1923809999999975,1.2530610000000024,1.178094999999999,1.2443990000000014,1.2066219999999959,1.2321090000000083,1.2235369999999932,1.2582310000000092,1.2640819999999877,1.3217690000000033,1.1677549999999997,1.1655779999999965,1.2552380000000056,1.1746940000000023,1.213877999999994,1.2538770000000028,1.2145579999999967,1.207755000000006,1.2838100000000026,2.2457819999999913,2.9769390000000016,1.886802000000003,2.4719730000000055,2.8279369999999915,2.4002260000000035,2.5709750000000042,2.531474000000003,2.8860770000000002,1.7205449999999871,2.204716000000005,1.8343770000000035,2.0595909999999975,1.6612250000000017,2.037868000000003,2.5898870000000045,2.005351999999988,1.7144210000000157,1.9601819999999748,1.7012700000000223,2.060951999999986,2.3081630000000075,2.496780000000001,2.2745129999999847,3.586802000000006,2.5153290000000084,2.629660000000001,2.3731070000000045,2.2870749999999873,2.6019039999999904,1.4009530000000154,1.3251699999999857,1.161814000000021,1.3006349999999998,1.200316999999984,1.1739680000000021,1.235239000000007,1.2800000000000011,1.219682000000006,1.2243539999999768,1.279818000000006,1.3523360000000082,1.1702490000000125,1.1822679999999934,1.107483000000002,1.0424490000000048,1.2717009999999789,1.1174150000000225,1.1993649999999718,1.1127430000000231,1.325306999999981,1.2222670000000164,1.168707999999981,1.1319270000000188,1.2235379999999907,1.1480720000000133,1.0765079999999898,1.3799999999999955,1.1734690000000114,1.2220869999999877,1.1179130000000157,1.147075000000001,1.6410429999999963,3.291111000000001,2.2273019999999804,2.5423580000000072,2.7719280000000026,3.256099000000006,3.151972999999998,2.308661999999998,3.315464999999989,2.933515,3.3444900000000075,3.20312899999999,5.051157000000018,3.141223999999994,2.6261220000000094,2.3738779999999906,2.832698000000022,2.6736510000000067,2.7020859999999516,2.856554000000017,2.9385940000000232,2.8429479999999785,3.4178679999999986,3.8702949999999987,3.2522450000000163,3.650112999999976,2.694694000000027,2.8230609999999956,3.051813999999979
005_Skampa_1,0.763175,1.2405889999999997,0.9779590000000002,1.3468479999999996,3.8590930000000006,2.8018599999999996,3.788843,3.0953740000000014,4.236870999999997,2.816327000000001,3.550204000000001,6.604080999999997,2.9394109999999998,2.2193650000000034,3.0977320000000006,6.174331000000002,1.9267129999999995,1.5888429999999971,1.5621769999999984,1.490476000000001,1.541361000000002,1.4583669999999955,1.7475280000000026,2.7879820000000066,4.845940999999996,3.631247000000002,3.542993999999993,8.627482999999998,1.066665999999998,1.0625400000000127,1.052380999999997,1.0730609999999956,1.0180950000000024,1.0243990000000025,0.966622000000001,1.0521090000000015,1.020951999999994,1.0208159999999964,1.2240820000000099,1.1617689999999925,0.8877549999999985,1.1709749999999985,1.129840999999999,1.0146940000000058,1.0938780000000037,1.0138769999999937,1.1745580000000047,1.2323810000000037,1.4791839999999894,2.7457820000000055,3.1769390000000044,2.4668020000000013,2.8319729999999907,3.2879369999999994,2.8202260000000052,3.250975000000011,3.371473999999978,3.0060770000000048,3.280545000000018,2.404715999999979,2.194377000000003,2.2595910000000003,2.0612250000000074,2.617867999999987,2.7898870000000215,1.7653519999999787,1.7344209999999975,1.9601820000000032,1.681270000000012,2.700952000000001,2.3481629999999996,2.516779999999983,2.3345130000000154,3.4668020000000013,2.255328999999989,2.6896600000000035,2.173107000000016,2.1670749999999828,2.3819039999999916,1.2409530000000188,1.1451700000000073,1.041813999999988,1.160634999999985,0.9203170000000114,1.2139679999999942,0.8752390000000219,1.3161899999999775,1.0034920000000227,1.0843539999999905,1.1798179999999832,1.248708000000022,1.0338769999999897,1.1022680000000094,1.1207259999999906,0.9092060000000117,1.1717009999999846,1.077415000000002,1.0193649999999934,1.092743000000013,1.2453069999999968,1.142267000000004,1.1687530000000095,1.11188199999998,1.063537999999994,1.048072000000019,1.0358279999999809,1.1606800000000135,1.1934689999999932,1.0620870000000195,1.017912999999993,1.0270749999999964,1.9210429999999974,3.4511109999999974,3.0648529999999994,2.9448069999999973,2.4719279999999912,2.6160990000000197,2.7296149999999955,2.47102000000001,4.7354649999999765,4.313107000000002,4.624898000000002,4.74312900000001,7.231156999999996,3.384580000000028,3.5027659999999514,2.7564629999999966,3.490113000000008,3.2673020000000292,3.2284349999999904,3.756553999999994,3.478593999999987,3.64294799999999,3.277868000000012,3.510295000000042,3.3922449999999458,3.390113000000042,2.6829480000000103,2.414806999999996,2.791813999999988
007_Panocha_1,0.8856240000000001,1.9405890000000001,1.1579589999999995,1.5068480000000006,3.179092999999999,2.901860000000001,3.528843,3.155374,4.6768709999999984,2.776327000000002,3.3987750000000005,5.2555099999999975,2.539411000000001,2.161270000000002,3.0158269999999945,6.274331000000004,1.6667130000000014,1.788843,1.6021769999999975,1.5504760000000033,1.7013609999999986,1.4059859999999986,1.639909000000003,2.8279819999999987,3.0859409999999983,3.611247000000006,3.8629940000000005,6.684307999999987,1.2098410000000115,1.1425399999999968,1.1323809999999952,1.1330609999999979,1.0980950000000007,1.1043990000000008,1.1066220000000015,1.1321089999999998,1.1035370000000029,1.0782310000000024,1.1240820000000014,1.2417689999999908,1.1477550000000036,1.1109749999999963,1.2298410000000075,1.1546939999999921,1.173878000000002,1.2338770000000068,1.2145579999999967,1.2523809999999997,1.4391839999999974,2.7257820000000095,3.376938999999993,2.5268020000000035,3.571973,3.3079369999999955,2.9002260000000035,3.310974999999999,3.271474000000012,2.8060769999999877,2.3405449999999917,2.3047160000000133,2.474377000000004,2.179590999999988,2.0212250000000154,2.317867999999976,2.689886999999999,1.445352000000014,1.4344209999999862,1.7001820000000123,1.6012699999999995,2.0609520000000146,1.9281629999999836,2.1167800000000057,2.254513000000003,3.16680199999999,2.0153290000000084,2.529660000000007,2.293106999999992,2.5670749999999884,2.9419040000000223,1.5009529999999813,1.305170000000004,1.2218139999999948,1.32063500000001,1.2403170000000046,1.2339680000000044,1.295238999999981,1.2800000000000011,1.1996819999999957,1.2843540000000075,1.3398180000000082,1.2887079999999855,1.1938770000000147,1.2422679999999957,1.200726000000003,1.229206000000005,1.2117009999999766,1.277415000000019,1.2593650000000025,1.1927429999999788,1.3253070000000093,1.2622670000000085,1.2887079999999855,1.3119269999999972,1.2635380000000112,1.2480720000000076,1.0958279999999831,1.2749660000000063,1.2991829999999993,1.242086999999998,1.0979130000000055,1.2670750000000055,1.6610430000000065,3.331110999999993,3.224852999999996,3.104806999999994,3.291928000000013,3.4960989999999867,4.251973000000021,3.008661999999987,4.115465,4.553107000000011,4.4048979999999744,4.7231290000000286,7.331156999999962,3.7445800000000418,3.5627659999999537,2.8938780000000293,3.192698000000007,3.2536509999999907,3.342085999999995,3.1565540000000283,3.2385939999999778,3.542948000000024,3.137867999999969,3.2302950000000124,3.872245000000021,3.430112999999949,2.494694000000038,1.963060999999982,2.611813999999981
008_EnergieNove_1,0.602449,1.743764,1.277959,1.1668479999999999,3.6590929999999995,2.481860000000001,2.8488429999999987,2.815374000000002,2.976870999999999,2.7163269999999997,3.298774999999999,4.758776000000001,2.836145000000002,2.1212699999999955,2.655827000000002,4.674331000000002,1.8867130000000003,1.9488429999999966,1.702176999999999,1.750475999999999,1.9613610000000037,1.525985999999996,1.6999090000000052,2.2879819999999995,4.445940999999998,3.8312469999999976,3.6029940000000096,6.407482999999999,1.2066659999999985,1.1025399999999905,1.1323810000000094,1.1330609999999979,1.158095000000003,1.1643989999999889,1.1266220000000118,1.1921089999999879,1.1035370000000029,1.1782309999999967,1.4240820000000127,1.281768999999997,1.2077549999999917,1.1509750000000025,1.2098409999999973,1.1746940000000023,1.173878000000002,1.1338769999999982,1.234558000000007,1.332380999999998,1.1591839999999962,1.7857819999999975,2.7769389999999987,3.386802000000003,3.031973000000008,3.467936999999992,2.7002260000000007,3.4376419999999968,3.7448070000000087,3.8260769999999837,3.1805450000000235,2.7047159999999906,2.6743769999999927,2.9995910000000094,2.401225000000011,2.6378679999999974,2.969887,1.7053519999999764,1.2244440000000054,1.570159000000018,0.9498409999999922,1.9523810000000026,2.008162999999996,1.796779999999984,1.95451300000002,3.0668019999999956,1.975328999999988,1.9460320000000024,1.7767350000000022,1.8670749999999998,2.7419040000000052,1.5409530000000018,1.305170000000004,1.1618139999999926,1.3406349999999918,1.2803169999999966,1.2739680000000249,1.03523899999999,1.5800000000000125,1.2796819999999798,1.3043540000000178,1.4398180000000025,1.3287079999999776,1.4538770000000056,1.2422679999999957,1.240725999999995,1.3092060000000174,1.2717010000000073,1.2574149999999804,1.2993649999999946,1.2127430000000174,1.492244999999997,1.3753289999999936,1.288708000000014,1.291926999999987,1.4035379999999975,1.2680720000000179,1.2558279999999797,1.474965999999995,1.3191830000000095,1.2820870000000184,1.2179129999999816,1.3270750000000078,1.6610430000000065,3.351111000000003,3.724852999999996,3.704806999999988,3.7119280000000003,4.276099000000016,3.5119729999999834,3.988662000000005,5.1954649999999845,4.053107000000011,4.344898000000001,4.4831290000000195,5.251156999999978,3.2045800000000213,3.542765999999972,2.716463000000033,3.090112999999974,3.133650999999986,3.2220859999999902,3.2165540000000306,3.2585940000000164,3.4229479999999626,3.5778680000000236,3.270294999999976,3.2522450000000163,4.130112999999994,3.1346940000000245,3.363060999999959,5.129093000000012
009_Lindsay_1,0.38317499999999993,1.260589,1.0579589999999999,1.1668479999999999,2.639093,2.20186,2.9688429999999997,2.8953740000000003,3.5368709999999997,2.7163269999999997,2.9587749999999993,6.195510000000002,1.8994110000000006,1.5793649999999957,1.8777320000000017,4.294331,1.6867130000000046,1.4088429999999974,1.5621769999999984,1.3104760000000013,1.5213609999999989,1.4459859999999978,1.5599090000000047,2.147981999999999,2.6459410000000005,2.931246999999999,3.1429940000000016,7.387483000000003,1.1266660000000002,1.0825399999999945,1.0723810000000071,1.0730609999999956,1.0580949999999945,1.1043990000000008,1.0666220000000095,1.1121089999999896,1.0835370000000069,1.0782310000000024,1.064081999999999,1.261769000000001,1.0677549999999911,1.030974999999998,1.1898410000000013,0.9746939999999995,0.9138780000000111,1.2138769999999965,1.1745579999999904,1.1523810000000054,1.2991839999999968,1.86578200000001,2.7969389999999947,2.2668019999999984,2.351973000000001,2.8879369999999938,2.720226000000011,3.1509749999999883,3.011474000000007,3.7260770000000036,1.5605449999999905,2.284716000000003,2.0343770000000063,2.0195909999999913,1.9012250000000108,2.117551000000006,2.3302039999999806,1.905352000000022,1.4344209999999862,1.8401819999999987,1.4212699999999927,1.7409520000000214,2.048162999999988,2.076779999999985,2.0826760000000206,2.958639000000005,2.1153289999999743,2.269660000000016,2.0531070000000113,2.267074999999977,2.5819040000000086,1.2609530000000007,1.2251699999999914,1.0418140000000164,0.8406349999999918,1.4403169999999932,1.1253970000000209,1.1238099999999918,1.1999999999999886,1.0996820000000014,0.9243539999999939,1.3598180000000184,1.412335999999982,0.8102489999999989,0.8697510000000079,1.093243000000001,0.9092060000000117,1.1717009999999846,0.9574149999999975,0.9393650000000093,1.1127429999999947,1.1053070000000105,1.0422669999999812,1.1487079999999992,1.1719270000000108,1.023538000000002,1.1480720000000133,0.9558279999999968,1.214966000000004,1.1991829999999766,1.1020870000000116,1.057912999999985,1.087075000000027,1.3610429999999951,2.2984129999999823,2.4375510000000133,2.5448069999999916,2.4519280000000094,2.7057140000000004,3.062357999999989,2.7886620000000164,4.035464999999988,3.973514999999992,3.5244900000000143,4.283129000000002,6.971157000000005,2.8445799999999792,2.8827660000000037,2.4564630000000136,3.030113,2.7336509999999805,3.00208600000002,2.9165539999999908,3.0785940000000096,3.6629479999999717,3.7378679999999918,4.0502950000000055,3.7522450000000163,3.730113000000017,3.0746939999999654,3.1630610000000274,3.051813999999979
010_Talich_1,0.9856240000000001,1.980589,1.197959,1.6268479999999998,2.5790930000000003,2.54186,3.248843000000001,3.035373999999999,3.9968709999999987,2.656327000000001,3.193061,5.281224000000002,2.279410999999996,2.1012699999999995,2.9558270000000064,5.714330999999994,1.8467130000000012,1.8488430000000022,1.462176999999997,1.7904760000000053,1.6813609999999954,1.4459859999999978,1.5599090000000047,2.2879819999999995,2.9259410000000017,3.631247000000002,3.3429939999999903,5.747483000000003,1.1266660000000002,1.0425400000000025,1.052380999999997,1.0730610000000098,1.0780949999999905,1.164399000000003,1.0266220000000033,1.1121090000000038,1.0435369999999864,1.0974150000000122,0.9799999999999898,1.2866670000000084,1.1077549999999974,1.1309749999999923,1.1298410000000132,1.134693999999996,1.1138779999999997,0.9938769999999977,1.1145580000000024,1.2523809999999997,1.1991840000000025,2.685781999999989,2.7569390000000027,2.2468020000000024,2.4519729999999953,2.5479370000000046,2.7202259999999967,3.1109750000000105,2.6514739999999932,2.7660769999999957,2.380545000000012,2.2774599999999907,1.9799999999999898,1.8812240000000031,1.7387760000000014,2.1603170000000205,2.3898869999999874,1.7253519999999867,1.5544210000000191,1.7801819999999964,1.4612699999999847,2.260952000000003,2.2281630000000234,2.256779999999992,2.262675999999999,3.458639000000005,2.215328999999997,2.4696600000000046,2.113106999999985,2.2470749999999953,2.421904000000012,1.2009529999999984,1.265170000000012,1.1218139999999721,1.3006349999999998,1.1603170000000205,1.2339680000000044,1.2352389999999787,1.240000000000009,1.1796820000000139,0.964353999999986,1.3998180000000104,1.3087079999999958,0.9938769999999977,1.1822679999999934,1.0807259999999985,0.9292059999999935,1.3717010000000016,1.1174150000000225,1.1193649999999877,1.1527429999999868,1.265307000000007,1.2622670000000085,1.2887079999999855,1.231927000000013,1.2035380000000089,1.0080719999999985,1.1358280000000036,1.160679999999985,1.133468999999991,1.0620870000000195,0.9779130000000009,1.2070750000000032,1.8258050000000026,4.726348999999999,2.9248529999999846,2.9048070000000052,2.9519280000000094,3.1760989999999936,3.1719730000000084,2.3886619999999823,4.635465000000011,3.753107,3.8648979999999824,4.043129000000022,6.6111569999999915,3.124580000000009,2.822765999999973,2.876463000000001,2.8501130000000217,3.0136509999999817,2.9220860000000357,2.956553999999983,2.7385939999999778,2.9229480000000194,3.0978680000000054,3.030294999999967,3.11224500000003,3.3701130000000035,2.854693999999995,3.0882540000000063,3.046621000000016
011_Talich_1,0.8456239999999999,1.3568250000000002,0.9617229999999997,1.0468479999999998,2.8190930000000005,2.5018599999999998,2.6088430000000002,2.8753740000000008,3.856870999999998,2.5963270000000023,3.1987749999999977,5.055510000000002,1.9594109999999993,1.9012699999999967,2.4958270000000056,4.934331,1.846712999999994,1.808843000000003,1.6621769999999998,1.510475999999997,1.4813610000000068,1.4659859999999938,1.2999089999999995,1.8079820000000026,3.0659410000000022,3.3312469999999976,3.222994,5.9874829999999974,1.0266660000000059,1.0225399999999922,0.9723809999999986,1.0330610000000036,0.9780949999999962,1.0443990000000127,0.9466219999999907,1.0721089999999975,1.0235370000000046,1.018231,0.9240819999999985,1.2017689999999988,0.987755000000007,1.010975000000002,1.129840999999999,1.0346940000000018,1.090067999999988,0.9976870000000133,1.1545579999999944,1.0923810000000032,1.359183999999999,2.3257819999999896,2.7569390000000027,2.126801999999998,2.4519730000000095,2.7679370000000034,2.560226,3.270974999999993,3.1914739999999995,3.8860770000000002,2.2005450000000053,2.344715999999991,2.0943770000000086,1.9795909999999992,1.9012249999999966,2.0578680000000134,2.6298869999999965,1.7653519999999787,1.4144210000000044,1.8201820000000168,1.3812700000000007,2.040951999999976,1.968163000000004,2.3567800000000148,2.2345129999999926,3.366802000000007,2.3153289999999913,2.589660000000009,2.2331069999999897,2.107075000000009,1.9019040000000018,1.1809529999999882,1.085170000000005,0.9881630000000143,1.174285999999995,0.905713999999989,1.188570999999996,1.0752390000000105,1.1399999999999864,1.039681999999999,1.084354000000019,0.9798179999999945,1.0487080000000049,0.9538770000000056,1.0422679999999787,1.0074830000000077,0.9224490000000003,1.177550999999994,0.9000000000000057,1.0200000000000102,0.9236729999999795,1.2453069999999968,1.122267000000022,1.0487080000000049,1.0919269999999983,1.1835379999999986,0.888071999999994,1.1558279999999854,1.254965999999996,1.0991830000000107,1.1420870000000036,0.9979130000000112,1.1670749999999828,1.6410429999999963,3.2311109999999985,2.60485300000002,2.704806999999988,2.431927999999999,2.6560990000000118,2.911972999999989,2.228662000000014,4.09546499999999,3.5531070000000113,4.004897999999997,3.9231289999999888,5.291156999999998,3.124580000000009,2.802765999999991,2.713877999999994,3.1599999999999966,2.966349000000008,3.0620859999999936,3.376554000000027,3.1821769999999674,3.399364999999989,3.3178680000000327,3.5502950000000055,3.4322449999999662,3.390113000000042,3.1346939999999677,3.283061000000032,3.371813999999972
