,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10,motif11,motif12,motif13,motif14,motif15,motif16,motif17,motif18,motif19
001_Brodsky_1,36.576734,20.961633,22.611701000000004,21.406621,28.80190499999999,182.04641700000002,19.00256200000001,19.222222999999985,22.84979599999997,12.96582699999999,13.236622000000011,22.529864000000032,20.293491999999958,18.182267000000024,20.960181999999975,18.026984000000027,27.115894999999966,37.268935000000056,31.308026999999925
002_Duke_1,33.288571,20.121633000000003,21.811700999999992,20.066621000000012,27.701904999999996,170.66641699999997,17.22256200000004,17.462222999999994,21.60979599999996,12.74582700000002,12.876621999999998,23.509862999999996,19.493493,18.402266999999995,20.040182000000016,17.366984000000002,25.295894999999973,32.908934999999985,26.928027000000043
003_Skampa_1,34.456734,19.701633,22.531700999999998,23.386621000000005,35.64190500000001,192.626417,18.602561999999978,20.60222299999998,22.309796000000006,13.485827000000029,13.436622,24.32986299999999,20.113493000000005,19.277278000000024,20.405170999999996,18.106983999999954,27.77589499999999,40.008935000000065,34.00802699999997
004_Prague_1,32.416734,19.041633000000004,22.191701000000002,21.486621,30.081904999999992,168.08641699999998,17.602562000000034,17.962222999999994,21.049795999999958,12.485827000000029,12.436622,21.989863000000014,18.613493000000005,16.602266999999983,18.960180999999977,17.186984999999993,25.935895000000016,36.06893500000001,29.00850300000002
005_AlbanBerg_1,43.611836000000004,20.621633000000003,23.371700999999987,19.42662100000001,29.761905,174.54641700000002,17.522561999999994,19.202223000000004,22.189796,12.68582699999996,12.916622000000018,21.42986400000001,18.853492000000017,17.022267,19.80018199999995,18.166984000000014,25.77589499999999,32.58893499999999,27.868026999999984
006_Panocha_1,30.768570999999998,17.941633000000003,20.211700999999998,20.278094999999993,28.930431000000013,162.666417,16.44256200000001,17.222222999999985,19.849796000000026,11.46582699999999,11.65662199999997,21.449862999999993,18.153493000000026,16.002267000000018,18.180182000000002,16.386983999999984,25.05589500000002,31.888934999999947,30.48850299999998
007_PavelHass_1,33.948571,19.801632999999995,22.591701,20.546621000000002,30.761905,173.286417,17.762562000000003,18.142223,22.209795999999983,13.223083000000031,13.439366000000007,22.34986299999997,19.393493000000035,16.862266999999974,19.440180999999995,17.82698499999998,24.455894999999998,34.34893499999998,30.08802700000001
008_Emerson_1,33.436734,18.621632999999996,19.811701000000006,18.766621,32.22190499999999,169.826417,16.262562000000003,16.822223000000008,19.969795999999974,11.905827000000045,11.916621999999961,21.089864000000034,17.773491999999976,15.902266999999995,18.080182000000036,15.926984000000004,23.395894999999996,33.74893499999996,26.80802700000004
009_Escher_1,32.396734,18.621632999999996,20.55170100000001,19.38662099999999,31.381905000000003,168.806417,16.12256199999996,16.962222999999994,20.149796000000038,11.845826999999986,12.096622000000025,21.269863999999984,18.15349199999997,17.020770000000027,19.441678999999965,16.186984000000052,23.535894999999982,34.24893500000002,28.288026999999943
010_Talich_1,34.148571000000004,20.381632999999994,22.051701,21.246621000000005,28.921904999999995,172.54641699999996,17.662562000000037,18.242222999999967,21.609796000000017,12.685827000000018,12.596621999999968,22.809863000000007,19.353493000000014,18.202267000000006,19.800182000000007,17.76698399999998,25.77589499999999,34.24893500000002,29.628026999999975
011_Prazak_1,31.356734000000003,18.001632999999998,20.131700999999993,19.326621000000003,28.821905,158.966417,16.542561999999975,16.942223000000013,20.16979600000002,11.945827000000008,12.096621999999968,21.82986299999999,17.97349300000002,16.602266999999983,18.64018200000004,16.28698399999996,23.75589500000001,34.06893500000001,28.028026999999952
012_Modigliani_1,33.196734,20.041632999999997,22.291701000000003,20.606621000000004,33.00190500000001,178.16641699999997,17.202562,18.36222300000003,22.329795999999988,12.865827000000024,13.15662199999997,23.189863000000003,18.933493,17.742267000000027,20.340180999999973,17.726985000000013,25.138457999999957,33.02637200000004,28.608026999999993
