,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9
002_Duke_2,43.219592,36.388934000000006,52.177597000000006,53.071019999999976,34.60693900000001,46.588435000000004,34.63156500000002,51.54925199999997,76.39156400000002
003_Skampa_2,44.479592000000004,36.088934,50.157596999999996,50.69102000000001,34.06693899999999,42.70843500000001,33.541089,47.67972800000001,80.69156399999997
004_Prague_2,46.99551,40.84893399999999,54.217597,58.91102000000001,35.97514799999999,48.06022600000003,37.121088999999984,53.499728000000005,95.25156399999997
005_AlbanBerg_2,41.179592,34.048934,46.81759699999999,47.971019999999996,32.29514800000001,42.120226,31.76108899999997,47.25972800000005,76.911564
006_Panocha_2,51.399592,43.368934,60.717596999999984,59.27102000000002,41.135148000000015,53.360225999999955,41.28108900000001,57.35972800000002,86.091564
007_PavelHass_2,43.399592,35.688933999999996,51.657596999999996,52.29102,33.78693900000002,46.28843499999999,34.461089000000015,52.07972799999999,82.49156399999998
008_Emerson_2,49.299592,39.728934,56.137596999999985,57.79102,36.526939,46.54000000000002,34.86952400000001,52.11972799999995,87.13156400000003
009_Escher_2,45.779592,36.568934,53.51759700000001,52.87101999999999,34.98693900000001,45.66843499999999,34.06108899999998,50.07047600000004,79.32081599999998
010_Talich_2,47.659592,39.728934,56.237596999999994,58.611019999999996,37.06693900000002,49.26843500000001,37.881088999999974,54.91972800000002,81.95156399999996
011_Prazak_2,45.439592,37.828934000000004,55.29759700000001,54.571019999999976,36.435148,48.140225999999984,35.80108900000005,53.719727999999975,89.791564
012_Modigliani_2,48.519592,38.42893399999999,55.71759700000001,56.51102,36.60693899999998,50.26843500000001,36.461089000000015,54.69047599999999,89.96081599999997
013_Janacek_2,49.939592000000005,40.588934,59.797596999999996,60.39102,38.866939,50.908435,39.14108900000002,55.259727999999996,89.31156399999998
014_Guarneri_2,46.919592,38.168934,54.87759700000001,53.69101999999998,35.466938999999996,47.400000000000034,34.849523999999974,53.019727999999986,87.791564
015_Tokyo_2,43.119592,36.28449,51.459999999999994,52.01306100000002,34.586939,43.46843499999997,33.52108900000002,48.97972800000002,82.39156399999996
016_Panocha_2,46.855509999999995,39.748934,57.817597000000006,55.45102,37.835148000000004,49.531791,37.70952399999999,54.21972800000003,83.291564
017_Endellion_2,42.719592,34.16893400000001,48.55759699999999,49.97102000000001,32.29514799999998,42.26022600000002,31.181088999999986,46.539728000000025,83.21156400000001
019_Sevcik-Lhotsky_2,49.879592,41.788934,61.33759699999999,60.871020000000016,34.586939,44.76843500000001,34.94108899999998,49.59972800000003,86.51156399999996
020_Amadeus_2,45.099592,36.16893400000001,54.95759700000001,55.617958999999985,36.848209,51.84022600000003,37.041089,57.259727999999996,92.73156399999999
021_Concord_2,60.019591999999996,48.488934,69.59759700000001,70.03101999999998,41.75514799999999,57.30022600000001,42.221089000000006,64.07972799999999,107.55156400000004
022_Griller_2,45.739592,38.028934,51.717597,54.17102,32.84693899999999,44.54843500000004,33.23156499999999,51.249251999999956,84.091564
023_Moyzes_2,48.464082,41.764444,56.377596999999994,55.63102000000001,36.155148,46.440225999999996,34.661089000000004,49.499728000000005,83.73156399999999
024_Vlach_2,49.259592,41.768933999999994,57.617597,60.31102000000001,36.75514799999999,49.88022599999999,36.64108900000002,55.499728000000005,85.01156399999996
025_Stamic_2,47.859592,41.808934,60.837597,63.99101999999999,42.81514800000002,55.620226,45.101089,63.23972799999996,87.11156400000004
026_Amadeus_2,40.439592,33.308934,49.917597,51.53102,33.19514799999999,48.07179100000002,34.02952399999998,53.89972800000004,93.03156399999995
027_Albion_2,45.399592,37.62449000000001,54.602041,55.87101999999999,35.615148000000005,47.19179100000002,34.24952399999995,51.47972800000002,84.87156399999998
028_Alexander_2,39.159591999999996,31.468934000000004,45.67759699999999,45.571020000000004,29.73514800000001,40.220226,29.99156499999998,44.569252000000006,75.531564
029_Varese_2,44.279592,36.588933999999995,50.637597000000014,53.87101999999999,33.646939,43.99999999999997,33.069524,47.39972800000004,75.75156399999997
030_CzechPhil_2,52.039592,41.068934000000006,61.937597,59.99101999999999,41.895148000000006,54.440225999999996,43.181088999999986,61.85972800000002,86.01156400000002
031_Sacconi_2,50.119592,38.82449,56.42204100000001,56.37101999999999,37.32693900000001,48.26843499999998,36.14108900000002,52.739728000000014,79.57156399999997
032_Lipkind_2,53.379592,44.42893399999999,63.03759700000002,63.93101999999999,41.67514799999998,54.86022600000001,40.94870800000001,60.112108999999975,95.55156399999998
033_Cypress_2,38.779592,31.768934,44.697597,45.091019999999986,29.10693900000001,38.69999999999999,29.409524000000033,43.77972799999998,71.37156399999998
034_Excelsior_2,49.499592,38.988934,56.09759700000001,56.65101999999999,37.086939,49.808435,37.461089000000015,55.79972799999996,83.471564
035_Jupiter_2,48.059592,37.588933999999995,54.257597000000004,52.01102,34.406938999999994,47.44843500000002,34.911564999999996,52.92925199999996,86.25156400000003
037_Orlando_2,45.219592,38.668934,51.717597,52.21101999999999,34.45514800000001,43.07179099999999,31.749524000000008,47.72897899999998,87.522313
038_Takacs_2,49.799592,41.248934,57.47759699999999,56.17102000000003,36.97514799999999,45.560226,35.70108899999997,49.55972800000001,80.83156400000001
039_Jerusalem_2,46.179592,37.528934,53.637597000000014,54.27101999999999,35.95514800000001,46.420225999999985,35.26108900000003,51.55972799999995,86.29156400000005
040_Keller_2,41.219592,33.848934,45.697597,46.11102000000001,30.715148,39.920225999999985,29.601088999999973,43.239728000000014,67.27156400000001
041_Matangi_2,43.999592,35.428934000000005,51.05759699999999,50.49102000000002,34.446938999999986,43.408435000000026,34.02108899999996,49.299728000000016,68.75156399999997
042_Melos_2,46.479592,37.748934000000006,54.81759699999999,55.157959000000005,36.46000000000001,47.39999999999998,35.20952399999999,52.35972800000002,83.01156400000002
043_Tang_2,45.679592,38.348934,56.477597,56.551019999999994,37.186938999999995,48.428435000000036,35.86108899999999,52.65972799999997,88.95156400000002
044_Jade_2,38.259592000000005,31.78893399999999,44.595556,46.13306100000001,28.466938999999996,40.00843499999999,28.58108900000002,44.61972800000001,69.39156399999996
046_Guarneri_2,49.319592,40.98893400000001,58.23759700000001,58.17102,37.526939,49.20843500000001,36.681088999999986,54.479727999999966,86.71156400000001
047_Miro_2,46.979592,37.12449000000001,55.182040999999984,53.49102000000002,35.79514799999998,49.67179100000001,36.76952399999999,54.89972799999998,87.93156400000004
048_Wihan_2,48.63959199999999,41.008934,56.717597,58.571020000000004,38.53514799999999,48.29179099999999,37.389523999999994,53.45972800000004,99.351564
049_Serafin_2,42.299592,35.968934000000004,51.357596999999984,50.851020000000005,32.706939000000006,45.24000000000001,33.109523999999965,49.439728,75.73156400000005
050_Bartok_2,37.359592,31.648933999999997,42.837597,45.79102,26.926939000000004,36.599999999999994,26.599999999999994,41.329252000000025,71.61156399999999
051_Hungarian_2,56.919592,46.368933999999996,66.13759700000001,67.25101999999998,41.415148000000016,55.400225999999975,40.12108900000004,60.179727999999955,91.37156399999998
052_Masin_2,41.999592,36.968934,51.97759700000002,54.21101999999999,33.855147999999986,45.000226,33.32108900000003,50.51047599999998,85.540816
053_Hagen_2,43.299592,37.048934,52.497597,53.25102000000001,33.355147999999986,42.951791000000014,32.28952399999997,47.65972800000003,81.57156399999997
054_Cavani_2,43.399592,32.804489999999994,50.54204100000001,50.29101999999999,32.866939,43.98843500000001,33.141088999999994,48.519727999999986,76.69156400000003
055_KumhoAsiana_2,49.559592,42.368933999999996,60.197597,59.851020000000005,39.895148000000006,52.33179099999998,39.60952400000002,57.61972800000001,79.21156399999995
056_Skampa_2,41.364082,34.804444,48.335556,49.45306100000002,32.875147999999996,42.160225999999994,32.44108899999998,46.71972800000003,83.25156399999997
057_Stamic_2,50.859592,41.268933999999994,61.917597,65.23102,40.855148000000014,53.32022599999999,41.26108900000003,58.01047599999998,80.540816
058_Schidlof_2,48.904081999999995,38.684444,56.337597,57.871020000000016,37.835147999999975,47.160225999999994,36.421088999999995,52.95972800000004,82.13156399999997
059_Cleveland_2,42.199592,33.72449,48.522041,49.51102,33.01514799999998,42.220226,32.79156500000002,48.389252,87.99156399999998
060_NewYork_2,49.559592,38.888934,58.637597,58.87101999999999,39.495148,51.440225999999996,38.461089000000015,55.879728,86.37156399999998
061_Smetana_2,49.779592,41.868934,55.317597000000006,56.19101999999998,36.646939,48.568434999999994,36.441089000000034,53.59972799999997,92.57156400000002
062_Kallaci_2,45.739592,36.66893399999999,53.717597,53.331019999999995,35.28693900000002,45.608435000000014,33.74108899999999,50.459727999999984,79.37156400000003
063_Novus_2,45.459592,37.34449,54.222041000000004,53.851020000000005,35.366939,45.46843499999997,33.701089000000024,49.319728,79.39156400000002
064_Crondes_2,46.999592,37.248934,55.49759700000001,55.01102,35.075147999999984,46.76022599999999,34.441089000000034,51.29972799999996,72.67156400000005
065_Lindsay_2,52.319592,42.308934,61.657596999999996,59.75102000000001,41.75514799999999,54.46022599999998,40.481089,59.239728000000014,96.791564
066_Kontras_2,39.899592,32.70449000000001,47.462040999999985,49.81102000000001,31.486939000000007,43.06,30.409523999999976,47.319728,75.17156399999999
068_Smetana_2,52.35551,40.34893399999999,57.09759699999999,58.65102000000002,38.54693900000001,51.148435000000006,38.471565,55.569252000000006,87.83156399999996
069_NewRussian_2,43.619592,33.568934,50.31759699999999,51.75102000000001,33.206939000000006,44.808434999999974,32.52108900000002,50.07972799999999,75.81156400000003
070_Australian_2,43.039592,35.00449,49.442041,50.091019999999986,32.555148,43.280226,32.38108900000003,48.759727999999996,72.51156399999996
071_Koeckert_2,37.219592,30.908933999999995,44.817597000000006,45.87101999999999,29.726939000000016,40.26843500000001,29.081088999999963,44.279728000000034,74.01156399999996
072_Orion_2,46.559591999999995,37.98893400000001,54.45759700000001,54.051019999999994,36.01514799999998,47.591791,35.54952400000002,54.13972799999999,85.55156399999998
073_Montclaire_2,44.999592,37.428934000000005,53.71759700000001,57.591019999999986,35.595147999999995,48.28022600000003,35.06108899999998,52.71047599999997,78.72081600000001
074_Vogler_2,39.439592,33.208934,45.357597,44.41102000000001,30.706939000000006,41.188435,30.141088999999965,45.439728,74.79156400000005
075_FineArts_2,45.159591999999996,36.228934,53.217597,54.67102,36.146939,46.688435,35.32108900000003,51.979727999999966,79.87156400000003
076_Panocha_2,48.139592,40.348934,56.01759700000001,57.111019999999996,37.086939,48.568434999999994,36.961089000000015,52.83972799999998,84.19156400000003
077_Carmina_2,41.039592,33.028934,47.095556,45.113061,29.915147999999988,40.500226,30.561089000000038,45.25047599999999,74.78244899999999
078_Borromeo_2,41.559592,35.528934,49.197597,51.15102,32.946938999999986,42.888435000000015,32.50108900000001,47.65972799999997,88.51156400000002
