,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10,motif11,motif12,motif13,motif14,motif15,motif16
001_Brodsky_4,17.143538,15.194013000000002,12.515645999999997,25.345715000000006,8.806484999999995,9.357051999999996,16.704082,28.730611999999994,24.73356000000001,22.341406000000006,11.323808999999983,36.147347000000025,20.542448999999976,20.269795999999985,14.025715000000048,33.873469
002_Duke_4,17.323538,15.934013000000004,13.055645999999996,25.785714999999996,9.106485000000006,9.237052000000006,17.18408199999999,27.07061200000001,20.753559999999993,19.321405999999996,11.303809000000001,36.74734699999999,18.522449000000023,19.64979599999998,13.085714999999993,32.293469000000016
003_Skampa_4,17.983538,16.194012999999998,13.495646,26.745714999999997,9.266485000000003,9.057051999999999,17.104082000000005,29.470612000000003,24.233559999999983,22.261406000000022,11.543808999999982,38.06734700000001,19.96244900000002,20.84979599999997,13.985715000000027,35.05346900000001
004_Prague_4,18.383538,16.434013,13.795645999999998,28.365715,9.586484999999996,9.677052000000003,17.704082,29.910612,28.43356,25.341406000000006,12.383808999999985,37.00734700000001,20.60244899999998,21.009795999999994,13.725715000000037,33.59591799999998
005_AlbanBerg_4,17.323538000000003,15.674012999999999,13.155645999999997,25.665715000000006,9.086484999999996,9.477052,17.144081999999997,26.810612000000006,17.43356,16.521405999999985,11.083809000000002,35.327347,17.502449000000013,20.209795999999983,13.685715000000016,32.85346900000002
006_Panocha_4,16.623538,14.894012999999998,12.475646000000001,24.405714999999994,8.286485000000013,8.257051999999987,15.684082000000004,28.690612,23.19355999999999,22.041406000000023,10.383808999999985,34.147346999999996,20.38244900000001,18.929795999999982,12.985715000000027,31.293469000000016
007_PavelHass_4,17.943538,16.314013,13.535646,26.785715000000003,9.246484999999993,9.237052000000006,17.694694,28.147346999999996,24.726213,21.46140600000001,11.323808999999983,37.387347000000005,23.88244899999998,20.129796,13.765715,34.67346900000001
008_Emerson_4,16.943538,15.134013000000003,12.375645999999996,25.885715000000005,8.746484999999993,8.711746000000005,16.289388000000002,26.170612000000006,21.65356,20.761405999999994,11.643810000000002,34.24734599999999,24.925306000000006,24.646938999999975,12.80571500000002,28.973469000000023
009_Escher_4,16.083538,14.334013000000002,11.995646,23.823946,8.348253999999997,8.217051999999995,15.264082000000002,25.090612000000007,21.999999999999986,19.954966000000013,10.28380899999999,33.407347000000016,20.582448999999997,19.469796000000002,12.70571499999997,32.033469000000025
010_Talich_4,17.286395000000002,15.854013000000002,13.235645999999996,25.745715000000004,8.866484999999997,8.717051999999995,16.86408200000001,27.270612,25.527119999999996,22.24784600000001,11.123809999999992,36.62734599999999,19.66244900000001,19.64979599999998,13.345715000000041,32.493469000000005
