,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10,motif11,motif12,motif13,motif14
001_AlbanBerg_1,39.138957000000005,31.123764,48.808842999999996,46.279774,22.504444000000007,60.329206,30.028253999999976,33.03941100000003,39.066394,38.36185999999998,54.21405900000002,50.19487499999997,44.29483000000005,39.851110999999946
002_Ragazze_1,34.058957,29.123764,46.308842999999996,40.65977400000001,20.184851999999978,54.988798,29.708253999999982,31.599411000000032,38.02639399999998,39.16185999999999,53.81405900000004,45.174874999999986,41.214830000000006,40.20077100000003
003_Prague_1,34.198957,27.943764,45.888842999999994,42.17977400000001,20.784852,57.528797999999995,29.088254000000006,32.41941099999997,38.426394000000016,37.62186000000003,52.91405900000001,49.88081599999998,43.74888899999996,38.35111100000006
004_Chilingirian_1,35.878957,29.883763999999992,48.60884300000001,42.75977400000001,21.52485199999998,59.22879800000001,31.288253999999995,33.639410999999996,40.066394,39.42185999999998,53.874059000000045,50.334874999999954,43.07483000000002,41.060771000000045
005_Panocha_1,35.518957,29.043764000000003,44.96884299999999,40.579774000000015,20.20485199999999,57.00879800000001,30.228253999999993,32.45941099999999,36.906394000000034,38.66185999999999,55.13405899999998,49.77487500000001,44.71482999999995,38.08077100000003
006_PavelHass_1,35.278957,29.083764000000002,43.68884299999999,39.55977400000002,19.364851999999985,60.588798,29.94825399999999,31.74254000000002,38.28326499999997,38.061860000000024,53.174059,46.05487499999998,44.90594100000004,39.70965999999993
007_Bennewitz_1,37.698957,29.523763999999993,48.50884300000001,43.45977399999998,21.424444000000022,60.989205999999996,30.308253999999977,33.05941100000001,40.34639400000003,40.041859999999986,54.95405899999997,50.35487499999999,45.81482999999997,40.44077100000004
008_Signum_1,37.158957,31.663764000000008,50.228843,44.739774,21.76485199999999,60.708798,32.288253999999995,34.159411000000034,41.20639399999999,39.501859999999965,56.31405900000004,49.95487499999996,45.93482999999998,41.96077100000002
009_Stamic_1,40.474740000000004,34.16376399999999,50.288843,43.42421800000001,22.66040799999999,61.00879800000001,33.508253999999994,36.679411000000016,43.78639399999997,43.021860000000004,58.15405900000002,50.57487499999996,45.454830000000015,43.300771000000054
010_Martinu_1,38.678957,32.563764000000006,52.05619,43.112427,22.304851999999983,64.048798,32.96825400000003,36.95941099999999,41.76639399999999,42.26186000000001,57.69405899999998,50.454875000000015,46.99482999999998,45.10077100000001
011_Emerson_1,37.118957,31.803763999999994,48.348843,40.459773999999996,21.644852000000014,58.248797999999994,31.41079399999998,34.51687100000004,40.70639399999999,40.68185999999997,56.794059000000004,50.61487500000004,43.03482999999994,40.54077100000006
012_Cypress_1,34.538957,30.24376399999999,46.96884300000001,42.499774,21.58444399999999,58.06920600000001,32.328254000000015,34.07941099999999,40.566394,39.62185999999997,53.75487500000003,46.539999999999964,43.708889,41.000770999999986
