,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10
001_AlbanBerg_2,85.580023,56.465509999999995,38.426984000000004,68.748164,79.34863899999999,51.258662000000015,49.00508000000002,90.90392299999996,52.595578000000046,110.139319
002_Ragazze_2,80.980023,52.249864,32.78263000000001,66.72816399999999,68.96863899999997,44.97866200000004,47.98507999999998,96.06392299999999,43.73557800000003,95.019319
003_Prague_2,80.030136,51.64986400000001,32.94263000000001,78.81736999999998,78.51943300000002,46.53866199999999,50.56508000000002,96.46392300000002,44.17557799999997,95.53931899999998
004_Chilingirian_2,73.47013600000001,50.185509999999994,31.96698400000001,66.75736999999998,67.23943299999999,43.498662000000024,46.50508000000002,81.14392299999997,42.13557800000001,94.31931900000001
005_Panocha_2,81.730136,54.005510000000015,34.84698399999999,70.568164,77.54863900000001,48.438661999999965,44.50508000000002,89.84392300000002,47.515578000000005,96.03931899999998
006_PavelHass_2,68.610136,51.569863999999995,34.68263,68.468164,68.94863900000001,42.63866200000001,48.065079999999966,81.22392300000001,46.29557799999998,100.37931900000007
007_Bennewitz_2,78.810136,48.04551000000001,31.246984000000012,70.848164,73.08863899999997,43.65866199999999,49.605080000000044,91.32392299999998,45.87557799999996,95.17931900000008
008_Signum_2,73.66002300000001,49.965509999999995,33.926984000000004,64.968164,68.26863900000001,41.958662000000004,49.90508,79.303923,44.11557799999997,91.47931899999998
009_Stamic_2,75.970136,55.24551000000001,32.446983999999986,72.14816400000001,71.86863899999997,48.91866200000004,51.74507999999997,82.60392300000001,46.13825300000002,92.61664399999995
010_Martinu_2,80.420023,52.04550999999999,32.806984,72.808164,69.52863900000003,44.138661999999954,50.04508000000004,83.58392299999997,42.65557800000005,90.05931899999996
011_Emerson_2,76.190136,54.629864,33.14263,68.20816400000001,67.76863899999998,42.05866200000003,47.785079999999994,80.59682500000002,43.642675999999994,89.49931900000001
012_Cypress_2,81.800023,51.38551000000001,32.526984,63.88816399999999,64.84863899999999,44.81866200000002,45.20508000000001,90.23682500000001,41.28267599999998,90.57931900000005
013_Wihan_2,83.200023,53.56550999999999,35.00698400000002,73.848164,72.64863899999997,47.538662000000045,49.565079999999966,94.50392299999999,42.41557799999998,91.37931900000001
014_Artemis_2,90.24002300000001,56.24550999999998,32.12698400000002,73.408164,73.088639,46.53866199999999,51.00508000000002,98.56392299999999,45.53557799999999,95.35931900000003
015_Guarneri_2,89.000023,57.62550999999999,33.82698400000001,73.04816400000001,78.02863899999997,43.018662000000006,46.345079999999996,102.20392300000003,48.99557800000002,103.37931900000001
016_Weithaas_2,85.60002300000001,56.58551,35.706984000000006,69.64816399999998,76.32863900000001,49.31866200000002,52.72507999999999,92.86392299999994,51.81557800000007,100.79931899999997
017_Vlach_2,86.920023,51.225510000000014,38.146983999999975,74.04816400000001,70.34863899999999,49.518662000000006,50.385080000000016,91.363923,53.935577999999964,106.43931900000007
018_Pacifica_2,86.210136,53.365509999999986,38.306984,74.36816400000001,77.46863900000002,46.35866199999998,49.46508,104.38392300000004,56.35557799999992,110.61931900000002
019_Vlach_2,81.52002300000001,49.14550999999999,35.466984,70.408164,65.86863900000003,45.178661999999974,45.24508000000003,87.26392299999998,51.61557800000003,95.79931899999997
020_Wister_2,89.810136,62.145510000000016,38.34698399999999,71.67737,76.45943299999999,53.57866200000001,53.92507999999998,108.52392299999997,56.015578000000005,112.8993190000001
021_Audubon_2,85.770136,57.18551000000001,36.946983999999986,68.908164,74.088639,49.87866200000002,51.26190500000001,95.38709799999998,51.015578000000005,100.55931899999996
022_Vlach_2,90.770136,56.68551000000001,38.62698399999999,77.74816399999997,83.94863900000001,51.798662000000036,53.72507999999999,98.76392299999998,59.598253,102.41664400000002
023_Lindsay_2,98.070136,68.40551,41.78698399999999,72.748164,80.84863899999999,54.19866200000001,52.52508,103.06392300000005,60.91557799999998,118.93931899999995
024_Cecilia_2,80.66002300000001,44.94551,29.806983999999986,64.908164,67.04863900000001,38.85866199999998,45.92508000000004,92.483923,42.11557799999997,92.77931899999999
025_Vogler_2,90.60002300000001,53.52551,36.686983999999995,70.088164,70.708639,45.61866199999997,50.26508000000001,87.14392300000003,44.215577999999994,100.519319
