,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10,motif11,motif12,motif13
001_AlbanBerg_3,21.280408,30.093515,37.685804999999995,27.42517000000001,19.01523800000001,24.085532999999998,34.16503399999999,84.04576,58.83931899999999,22.106576000000018,23.248253999999974,19.414286000000004,22.208707000000004
002_Ragazze_3,19.540408,26.30449,34.69483,25.10517,16.97523799999999,22.74553300000001,26.465034000000003,70.56575999999998,46.319319000000036,17.506575999999995,21.36825399999998,17.102176999999983,20.20081600000003
003_Prague_3,21.760407999999998,30.74449,35.99483,26.271701000000007,19.588706999999985,24.725533000000013,26.66503399999999,71.26576,44.23931900000002,17.406575999999973,24.028254000000004,19.54217699999998,23.480816000000004
004_Chilingirian_3,20.520408,28.833515000000002,34.94580499999999,26.885170000000002,18.42,24.340000000000003,25.52580499999999,68.84576000000001,49.11931900000002,18.406575999999973,22.408254,17.76217700000001,21.920816000000002
005_Panocha_3,21.460408,31.264490000000002,38.294830000000005,28.885169999999988,19.15523800000001,25.34553299999999,32.82503400000002,85.48575999999997,54.85931900000003,19.38657599999999,24.028254000000004,19.774286000000018,23.76870699999995
006_PavelHass_3,20.63551,28.653515,38.365804999999995,26.791701000000003,19.02870700000001,23.805532999999997,26.465034000000003,70.06575999999998,44.91931900000003,17.946575999999993,22.86825399999998,18.54217699999998,21.68081600000005
007_Bennewitz_3,21.600407999999998,29.453515000000003,36.745805000000004,26.52516999999999,18.099999999999994,26.12077100000002,29.38503399999999,76.88575999999998,49.199319,18.42657600000001,23.44825400000002,19.062176999999963,22.580816000000027
008_Signum_3,19.840408,28.764489999999995,34.714830000000006,25.025170000000003,18.215238,23.88553299999998,28.205034000000012,71.58576,53.139319,17.36911600000002,21.46571399999999,18.06217700000002,21.38081599999998
009_Stamic_3,23.275509999999997,33.373515000000005,39.145805,28.951701,20.668706999999998,27.505532999999986,32.33922900000002,84.13156499999997,54.65931900000004,19.906575999999973,25.348253999999997,20.462176999999997,25.60081600000001
010_Martinu_3,21.33551,29.873514999999998,36.30580500000001,27.32517,18.835238000000004,24.705533000000003,26.405034,69.50575999999998,43.31931900000001,17.489116000000024,23.585713999999996,19.00217699999996,23.300815999999998
011_Emerson_3,22.200408,31.313515000000002,36.885805,28.725170000000006,20.159999999999997,25.10077100000001,26.699228999999974,69.591565,45.039319000000035,18.029115999999988,23.92571399999997,20.222177000000045,23.200815999999975
012_Cypress_3,21.944898000000002,29.833515,36.245805000000004,26.565169999999995,19.060000000000002,25.90077099999999,33.225033999999994,84.02575999999999,54.759319000000005,19.64657600000004,24.288253999999995,19.32217700000001,22.980815999999948
013_Wihan_3,24.220408,32.853515,42.245805000000004,31.651701000000003,20.968706999999995,27.16553300000001,32.82503399999999,85.30575999999999,54.539319000000035,20.946575999999993,26.448253999999963,20.482177000000036,25.88081599999998
014_Artemis_3,21.920408,30.473515,35.745805,26.84517000000001,19.215237999999985,25.145533,31.299228999999997,83.13156500000002,57.219318999999984,18.209115999999995,23.265714000000003,19.30217700000003,23.54081599999995
015_Guarneri_3,22.180408,32.173515,35.065805,27.831700999999995,20.208707000000018,25.40553299999999,24.92503400000001,65.58576,42.959318999999994,17.006575999999995,24.548253999999986,20.442177000000015,23.540816000000007
016_Weithaas_3,21.220408,30.533514999999998,35.025805000000005,26.151701000000003,19.293469,24.920771000000002,29.459228999999993,77.411565,48.85931900000003,19.146575999999982,23.86825399999998,19.522177,23.180815999999993
018_Pacifica_3,20.800407999999997,30.173515,36.82580500000001,27.171701,18.82870700000001,25.725532999999984,35.125034,90.40575999999999,56.97931900000003,19.58657599999998,22.44825400000002,19.102176999999983,23.640815999999973
020_Wister_3,22.260408,31.473515,35.62580500000001,27.771700999999993,20.788706999999988,26.44553300000001,32.725033999999994,88.60576000000003,58.09931899999998,20.92657600000001,23.908254,19.582177,23.38081599999998
021_Audubon_3,22.480408,31.533515,36.705805,27.40517,20.25523799999999,26.025533000000024,28.739228999999995,73.25156499999997,50.559319000000016,20.066575999999998,24.508254000000022,20.32217700000001,23.100815999999952
022_Vlach_3,22.580408000000002,31.373514999999998,42.685805,28.831700999999995,20.008707,26.205533000000003,33.44503399999999,86.42576,60.83931899999999,19.886576000000048,23.208253999999954,19.522177,23.840816000000018
023_Lindsay_3,19.540408,28.193515000000005,34.605805,25.265169999999998,17.715238,23.305532999999997,25.245034000000004,66.56576000000001,44.53931899999998,16.40657600000003,21.308253999999977,17.514286000000027,21.628706999999963
025_Vogler_3,22.880408,31.113515,36.465805,26.885170000000002,19.95523800000001,25.265532999999976,32.86503400000001,83.20576000000003,55.179318999999964,20.346576000000027,24.12825399999997,19.942177000000015,23.372109000000023
