,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10,motif11,motif12
001_AlbanBerg_4,65.4839,57.730703000000005,28.321178999999987,48.824218,42.62920600000001,89.22761899999998,76.67333400000001,70.069841,40.019048000000055,85.90947799999992,14.429932000000008,45.307030000000054
002_Ragazze_4,63.927392000000005,55.15070299999999,27.401179000000013,46.072789,41.420634999999976,91.107619,71.51333399999999,66.72027200000002,38.54861699999998,73.84947799999998,13.789932000000022,45.44703000000004
003_Prague_4,60.7239,59.610703,29.461178999999987,48.31278900000001,45.940635000000015,77.06761900000001,53.07333399999999,69.36027200000001,42.32861700000001,69.389478,14.589931999999976,45.96154200000001
004_Chilingirian_4,58.90389999999999,56.970703,28.821179000000015,47.75278899999998,42.640635,78.48761900000002,63.85333399999996,67.08984100000004,40.05904799999996,67.569478,14.369932000000063,44.44702999999993
005_Panocha_4,64.36389999999999,59.49070300000001,29.301179000000005,49.932788999999985,45.680634999999995,95.267619,72.17333400000001,70.20027199999998,40.36861699999997,64.16947800000003,15.569931999999994,45.987030000000004
006_PavelHass_4,65.5039,56.330703,27.66117899999999,47.292789,42.020635,83.47079399999998,68.930159,67.28027200000002,40.48861699999998,66.04947800000002,15.009932000000049,45.62702999999999
007_Bennewitz_4,64.027392,59.330703,29.401179000000013,48.53278899999998,45.38063500000001,90.90761899999998,69.79333400000002,70.82027199999999,41.688616999999965,69.12947800000006,14.609931999999958,47.92703000000006
008_Signum_4,58.627392,54.910703000000005,28.861178999999993,48.512789,43.60063500000001,81.80761899999999,71.13333399999999,67.60027200000002,38.86861699999997,64.54947800000008,14.12993199999994,45.34703000000002
009_Stamic_4,64.4839,65.99070300000001,32.50117899999998,54.732789,48.82063500000001,83.84761900000001,67.61333400000001,77.14027199999998,46.048617000000036,66.68947800000001,16.94993199999999,50.52702999999997
010_Martinu_4,60.5839,59.150703,30.16117899999999,51.644217999999995,44.469206000000014,82.56761900000001,63.59333399999997,74.60984100000002,41.659047999999984,72.34947799999998,16.049932000000013,46.92703000000006
011_Emerson_4,60.907392,59.090703,29.841178999999997,49.352789,43.76063500000001,79.08761900000002,67.51333399999999,69.08027199999998,41.088617,62.74947800000007,14.729931999999962,44.14702999999997
012_Cypress_4,61.9839,58.770703000000005,28.761179,47.81278900000001,45.960634999999996,88.767619,68.97333400000002,68.76027199999999,40.40861699999999,62.629478000000006,14.70993199999998,48.70703000000003
013_Wihan_4,65.86739200000001,63.29070300000001,30.52117899999999,52.132789,52.04063499999998,87.52761900000002,66.77333399999998,75.40027200000003,44.20861699999995,71.18947800000001,15.629932000000053,48.90702999999996
014_Artemis_4,63.207392000000006,55.95070299999999,28.761179000000013,47.572789,42.28063499999999,86.227619,73.47333400000002,69.72027199999997,38.82861700000001,67.04947799999997,13.52993200000003,46.96703000000002
016_Weithaas_4,64.247392,57.330703,27.221178999999992,46.664218000000005,41.80920599999999,84.02761900000002,70.53333400000002,67.500272,39.388616999999954,61.26947799999999,14.229932000000076,43.36703
018_Pacifica_4,64.6039,61.030703,28.501179000000008,49.152788999999984,46.860635,97.70761900000002,75.873334,69.98027199999996,42.008617000000015,73.54947800000002,14.369931999999949,44.70703000000003
020_Wister_4,57.0039,59.450703,30.681179,52.492789000000016,45.28063499999999,79.58761900000002,61.83333399999998,71.88027199999999,42.86861700000003,74.56947799999995,14.371474000000035,46.24548800000002
021_Audubon_4,62.8039,59.51070300000001,30.101178999999988,50.972789000000006,45.26063500000001,87.04761899999997,67.45333400000004,71.92027200000001,42.62861700000002,74.829478,15.249931999999944,46.40702999999996
022_Vlach_4,59.883900000000004,58.370703,30.601179000000002,50.972789000000006,45.06063499999999,95.64761900000002,78.03333399999997,74.32027199999999,40.10861699999998,74.38947800000005,14.749931999999944,46.067030000000045
023_Lindsay_4,64.5639,56.330703,28.141179000000008,47.172788999999995,41.200635000000005,89.06761899999998,73.813334,67.92027200000001,39.56861700000002,63.309477999999956,14.52993200000003,42.36703
024_Cecilia_4,60.787392,58.530702999999995,28.301179000000005,46.61278899999999,44.45142900000002,89.59682499999997,81.85333400000002,64.66027200000002,40.54861699999998,68.60947799999997,14.889932000000044,47.80702999999994
025_Vogler_4,67.64739200000001,61.930702999999994,31.121179000000012,52.452788999999996,46.84063500000002,95.72761899999995,68.91333400000002,74.72027200000002,44.52861699999994,81.66947800000003,15.649932000000035,48.827030000000036
