,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10,motif11
001_Takacs_1,97.592834,26.417324000000008,32.60381000000001,34.152198999999996,29.925579,35.41238099999998,40.93206300000003,35.87396799999999,37.401905,33.669160999999974,46.11351500000001
002_Prague_1,102.572834,28.731292999999994,34.269841000000014,38.612198999999976,29.905579000000017,36.05238099999997,43.88240300000001,37.46362800000003,38.781904999999995,36.84916099999998,57.593515000000025
003_Panocha_1,105.696644,27.177324,35.28380999999999,36.31219899999999,29.18557900000002,35.292381000000006,41.90240299999999,35.84965999999997,40.15587300000004,36.689160999999956,52.15351500000003
004_Janacek_1,120.132834,26.557323999999994,33.223810000000014,34.69219899999999,28.74557900000002,37.59238099999999,44.722402999999986,35.06966,37.05587300000002,37.044263,55.618412999999975
008_Martinu_1,103.052834,31.877323999999987,36.60381000000001,39.73219900000001,30.46557899999999,36.452380999999974,47.80240300000003,41.46362799999997,40.901905,36.56916100000001,56.853515000000016
010_Guarneri_1,98.47664400000001,25.937324000000004,32.04380999999999,32.332199,27.425579,30.332380999999998,40.56240300000002,32.94362799999999,36.16190499999999,31.649160999999992,54.053515000000004
011_Vogler_1,98.832834,26.925261000000006,32.955873,32.772199,28.765579000000002,34.31238099999999,40.47206299999999,34.69396800000004,37.06190499999997,32.74412699999999,44.458549000000005
012_Emerson_1,97.412834,27.997323999999992,35.30381,34.992199,29.885579000000007,35.93238100000002,43.442402999999956,34.58362800000003,38.68190499999997,32.009161000000006,50.29351500000001
013_Cleveland_1,102.592834,24.877324,30.703810000000004,31.75219899999999,28.145578999999998,31.892381,39.522403,34.643628000000035,34.241904999999974,33.549161000000026,50.493515
014_Stamitz_1,112.972834,28.565260999999992,37.195873000000006,35.23219900000001,31.425579,37.012380999999976,45.84240299999999,40.843628000000024,41.60190499999999,34.009161000000006,53.433515
015_Moyzes_1,114.11283399999999,28.07732399999999,35.88381000000001,39.212199,30.18557899999999,37.032381000000015,44.30240300000003,39.783627999999965,40.68190500000003,39.08916099999999,59.95206400000001
016_Psophos_1,105.372834,27.457324,33.34380999999999,36.35219900000001,28.025578999999993,34.13238100000001,42.522403,37.863628000000006,37.841905,37.449161000000004,58.533514999999966
017_Melos_1,100.572834,26.517324000000002,31.823809999999995,33.912199000000015,28.38557899999998,33.892381,38.90240300000002,35.449659999999994,35.31587300000001,34.62916100000001,52.773514999999975
018_Delme_1,118.692834,31.33732400000001,41.82380999999998,41.612199000000004,34.085579000000024,43.10825399999999,52.00653,45.40362799999997,47.44190500000002,41.68916100000001,62.71351500000003
019_Novak_1,98.312834,29.617323999999996,35.003810000000016,36.931882,30.865895999999992,37.252381000000014,42.262403000000006,38.563627999999994,39.021905000000004,37.949161000000004,52.91351499999996
020_Smetana_1,107.872834,26.917324000000008,36.203810000000004,40.632198999999986,28.885579000000007,37.19238099999998,44.702403000000004,36.863628000000006,40.88190500000002,35.229160999999976,54.79351500000001
021_FineArts_1,106.672834,26.357324000000006,32.703810000000004,35.26222199999998,27.595556000000016,35.292381000000006,44.13206300000002,34.77396799999997,36.80190499999998,33.389161,50.27351500000003
022_Prague_1,89.45283400000001,26.337323999999995,32.40381000000001,34.47219899999999,27.565579000000014,35.35238099999998,41.942402999999985,34.06362800000005,36.36190499999998,31.28916099999998,46.97351500000002
023_VanDingstee_1,102.692834,27.317324000000013,33.48380999999998,35.51179100000002,30.805986999999988,36.87238099999999,41.582403,36.803628,38.321905000000015,35.64916099999999,53.47351500000002
024_Wihan_1,105.31283400000001,29.397323999999983,37.42381,40.212199,31.885579000000007,38.43238100000002,42.54240299999998,41.26362799999998,40.841905,36.86916100000002,49.47351500000002
025_Carmina_1,100.152834,25.317324,30.303810000000013,29.45219899999998,26.805579000000023,32.15238099999999,37.14240299999997,33.863628000000006,33.781904999999995,30.56916100000001,43.553515000000004
026_Smetana_1,102.03283400000001,25.97732399999998,33.523810000000026,35.432199,29.705579,37.27238099999997,46.142403,34.883628000000044,37.56190499999997,32.52916099999999,52.53351500000002
