,motif1,motif2,motif3,motif4,motif5,motif6,motif7
001_Takacs_3,84.569002,59.338094999999996,78.85206400000001,68.550521,58.72036299999996,60.53990900000002,71.61877600000003
002_Prague_3,79.409002,55.99809499999999,72.45206400000001,54.47052099999999,57.20036299999998,59.91990900000002,72.39907099999999
003_Panocha_3,86.350363,57.596734,74.35206399999998,64.85052100000001,62.08036299999998,59.07990900000004,80.019071
004_Janacek_3,93.649274,67.517823,88.69206399999999,75.95147399999999,69.45940999999999,72.619909,88.99907099999996
008_Martinu_3,83.64900200000001,57.23809499999999,74.552064,56.370521,55.16036300000002,61.71990899999997,78.93907100000001
009_Takacs_3,79.729002,56.41809500000001,67.652064,66.03052100000002,56.20036299999998,57.859909000000016,72.459071
010_Guarneri_3,77.269002,53.738095,69.592064,55.830520999999976,51.46036300000003,54.499909,69.61907100000002
011_Vogler_3,95.669002,62.69809500000001,81.41206399999999,62.290520999999984,60.72036300000002,60.859909000000016,77.41907099999997
012_Emerson_3,78.429002,55.55809500000001,71.212064,57.850520999999986,50.78036300000002,56.25990899999999,74.958776
013_Cleveland_3,90.04900199999999,60.878095000000016,76.73206399999998,67.110521,54.70036299999998,63.21990900000003,84.81907100000001
014_Stamitz_3,97.05036299999999,67.036734,85.13206400000001,69.59052100000002,66.44036299999999,69.759909,79.43907100000001
015_Moyzes_3,88.109002,62.518095,74.832064,77.03052099999996,57.840363000000025,63.299909000000014,86.43907100000001
016_Psophos_3,85.80900199999999,60.19809500000001,81.63206399999999,78.45052100000004,60.120363,62.019908999999984,84.57907099999994
017_Melos_3,89.769002,64.338095,79.53206399999999,74.61052100000003,66.72036299999996,63.45990900000004,82.11907100000002
018_Delme_3,101.309002,68.378095,95.37206399999997,81.57052100000004,62.36036300000001,69.83990899999998,92.69907099999995
019_Novak_3,93.64900200000001,63.598095,72.75206399999999,66.61052099999998,61.740363,63.07990900000004,72.03907099999998
020_Smetana_3,76.889002,52.578095000000005,65.052064,60.650521,56.60036299999999,58.799909000000014,76.35907099999997
021_FineArts_3,88.189002,60.758095,80.992064,77.73052099999998,63.86036300000001,60.339909000000034,81.27907099999993
022_Prague_3,70.629002,49.018095,65.172064,45.550521,52.60036299999999,54.33990899999998,69.85907100000003
023_VanDingstee_3,84.669002,58.018095,73.63206399999999,68.53052100000002,56.680363,55.999909,72.33907099999999
024_Wihan_3,88.389002,59.53809500000001,74.45206399999998,65.95052100000004,59.44036299999999,58.59990899999997,72.519071
025_Carmina_3,75.129002,50.63809500000001,63.892064000000005,60.17052099999998,50.180363,50.67990900000001,62.37907100000001
026_Smetana_3,65.789002,48.838094999999996,63.87206400000001,67.95052100000001,54.240363,56.039908999999966,74.29907100000003
