,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10,motif11,motif12,motif13,motif14,motif15
001_Takacs_4,58.252108,29.762177,35.653334,55.930158000000006,43.98780099999999,29.365713999999997,31.628708000000017,38.95464799999996,36.65074800000002,42.345305999999994,29.765941999999995,53.74566800000002,20.859591999999964,46.97206399999999,38.78258500000004
002_Prague_4,61.272107999999996,29.762176999999994,36.653334,54.37015800000002,44.26780099999999,29.605713999999978,32.12870800000002,39.074648000000025,36.37074799999999,44.26530600000001,28.06594199999995,54.66566800000004,21.819591999999943,46.69206400000007,36.22258499999998
003_Panocha_4,64.03210800000001,29.722177000000002,33.93333399999999,55.110158,43.447801,29.16571400000001,30.66870799999998,39.43464800000004,36.59074799999996,44.30530600000003,29.425941999999964,53.18566800000002,20.699591999999996,45.13206399999996,31.86258500000008
004_Janacek_4,63.112108,29.402176999999995,33.773334000000006,54.71015799999999,44.08780100000001,29.285713999999984,33.288708000000014,38.494647999999984,36.33074800000003,37.92530599999998,28.505942000000005,54.32566800000001,21.01959199999999,47.812063999999964,34.222585000000095
008_Martinu_4,68.712108,31.202177000000006,40.153334,59.810158,51.54780099999999,32.40571400000002,32.62870799999996,42.23464800000005,38.27074799999997,46.945306000000016,33.465941999999984,62.445667999999955,23.019592000000102,47.89206399999989,37.04258500000003
009_Takacs_4,61.912108,29.602177000000005,33.91333399999999,52.32857100000001,41.40938799999998,28.065714000000014,30.728707999999983,37.51464800000002,36.71074799999997,39.145306000000005,29.385942,50.36566800000003,20.439592000000005,45.95206399999995,36.18258500000002
010_Guarneri_4,27.072108,26.782177000000004,32.033334,48.970157999999984,39.867801000000014,26.94571400000001,29.228707999999983,34.054648000000014,32.85074800000001,39.905305999999996,25.30594199999996,48.505668000000014,19.199591999999996,40.61206400000003,28.92258499999997
011_Vogler_4,66.612108,34.182176999999996,42.05333400000001,58.79015799999999,45.367801000000014,30.885714000000007,33.768708000000004,43.974648,40.87074799999999,46.98530599999998,31.385942,57.18566800000002,22.679591999999957,51.35206400000004,34.922585000000026
012_Emerson_4,59.312108,29.382177000000006,35.55333399999999,53.910157999999996,42.80780100000001,29.605714000000006,31.348708000000016,37.83464799999996,35.83074800000003,41.085306,28.36594199999996,52.705668,20.739592000000016,45.55206399999997,32.36258500000008
013_Cleveland_4,55.288298999999995,28.76217700000001,35.347618999999995,52.215873,42.627801000000005,28.865713999999997,31.128708000000017,36.214647999999954,34.89074800000003,42.085306,27.725941999999975,51.045668000000035,20.05959200000001,44.23206399999998,31.64258499999994
014_Stamitz_4,69.139863,35.17442199999999,42.81333400000001,67.130158,51.52780099999998,34.645714,36.768708000000004,45.11464799999999,42.95074800000003,49.105305999999985,36.08594199999999,62.725667999999985,24.65959200000009,55.17206399999998,39.202585
015_Moyzes_4,32.452107999999996,31.682177000000003,38.253333999999995,61.050157999999996,45.887800999999996,31.265714000000003,33.548708000000005,43.534648000000004,38.79074800000001,47.865305999999975,31.66594200000003,56.985667999999976,21.319592,46.73206400000004,35.86258499999997
016_Psophos_4,60.932108,30.262176999999994,35.013334,55.570158000000006,43.407801000000006,29.865713999999997,31.36870799999997,40.05464800000004,36.83074799999997,41.445306000000016,29.005942000000005,51.88566800000001,20.339591999999982,46.23206399999998,33.38258500000006
017_Melos_4,57.832108000000005,29.722176999999995,33.993334000000004,51.990157999999994,40.42780100000002,27.365713999999997,30.308707999999996,37.754647999999975,35.63074800000004,39.92530599999998,27.34594199999998,49.44566800000001,19.83959200000004,44.15206399999994,32.80258500000002
018_Delme_4,75.328027,36.26625799999999,44.71333399999999,66.99015800000001,53.68780099999998,38.265714,40.68870800000002,47.87464799999998,44.858367000000044,51.77768699999996,36.84594199999998,65.24566800000002,26.659591999999975,56.292064000000096,41.102584999999976
019_Novak_4,65.753061,31.642177000000004,36.113333999999995,58.23015800000002,46.387800999999996,30.705713999999972,34.42870800000003,40.95464799999996,38.65074800000002,42.26530600000001,30.08594199999999,54.725667999999985,21.459592000000043,48.71206399999994,36.242585000000076
021_FineArts_4,61.172108,29.982177,35.776191,56.66730100000001,46.447801,30.365713999999997,31.328708000000006,40.09464800000001,37.110748,43.145306000000005,29.965941999999984,56.205668,22.519592000000046,45.93206399999997,33.24258499999996
023_VanDingstee_4,65.75210799999999,31.022177,37.096191000000005,58.067300999999986,44.746576000000005,31.246938999999998,33.588708,39.69464800000003,38.25074799999999,43.80530599999997,30.985942000000023,55.305668000000026,21.899591999999984,48.25206400000002,34.602584999999976
024_Wihan_4,63.612108,32.62217699999999,36.933334000000016,56.21015799999998,44.127801000000005,31.18571399999999,32.268708000000004,40.974648,39.09074800000002,44.72530599999999,30.745942000000014,56.145668,21.879591999999946,48.272064,34.742585000000076
025_Carmina_4,55.792108,27.642177000000004,33.05333399999999,50.690158,39.867801000000014,26.925714,29.40870799999999,35.63464800000003,33.79074799999995,37.00530600000002,26.605942000000027,47.00566799999996,18.89959200000004,41.51206399999995,30.16258499999998
026_Smetana_4,30.512108,29.602176999999998,33.973334,53.770157999999995,41.847801000000004,29.485714,32.96870799999999,37.87464800000001,36.710748000000024,42.94530599999996,28.90594200000004,51.185667999999964,20.57959199999999,46.372063999999966,33.26258500000006
