,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8
001_Belcea_1,22.637596,22.631021,37.233242000000004,23.432199999999995,27.47618999999999,32.844172000000015,50.95514800000001,34.65455799999998
002_Tokyo_1,23.869840999999997,21.458776000000004,38.073242,22.172200000000004,22.576189999999997,27.804171999999994,46.915148000000016,31.054557999999986
003_Takacs_1,24.088889,22.298775999999997,40.133242,24.152199999999993,24.456190000000007,30.94417200000001,49.89514799999998,32.21455800000001
004_Schoenberg_1,27.409841,23.078775999999998,35.353241999999995,21.9722,25.096190000000007,31.40417199999999,52.51514800000001,29.82027199999999
005_Doric_1,28.797596,28.171021000000003,42.033242,23.392200000000003,24.97618999999999,29.104172000000005,62.73514800000001,32.65455799999998
006_Emerson_1,21.297596,22.171021,35.413242,20.9122,24.536190000000005,29.04417199999999,46.635148000000015,30.714557999999982
007_Hagen_1,22.829841,20.578775999999998,38.853242,23.352199999999996,29.916190000000014,33.94417199999998,55.95514800000001,34.334558000000015
008_Prazak_1,22.729841,20.118776,37.553242,23.312200000000004,24.976190000000003,32.344171999999986,50.75514800000002,32.754558
009_Belcea_1,25.237596,23.931020999999998,36.233242,22.532200000000003,25.67618999999999,35.28417200000001,51.33542,33.234286
010_AlbanBerg_1,20.809841,20.858776000000002,36.793242,22.232200000000006,20.376189999999994,27.464172000000005,51.715148,32.094558000000006
011_Jerusalem_1,24.377595999999997,21.531021,38.973242000000006,26.512199999999993,30.456190000000007,33.064171999999985,53.03514800000002,34.10027200000002
012_Panocha_1,23.869841,19.939999999999998,36.292018,20.672200000000004,24.216189999999997,30.244171999999992,51.155148,31.774558000000013
013_Wallinger_1,22.809841,20.438775999999997,41.273241999999996,23.21220000000001,25.836190000000002,29.419591999999994,54.05972800000001,34.634558
014_Excelsior_1,23.229841,21.838775999999996,38.153242,22.4722,22.19619,30.564172000000013,54.29514799999998,31.254558000000003
016_Wihan_1,23.189841,22.138776000000004,38.873242,23.372199999999992,23.756190000000018,32.264172,53.03514799999999,28.93455799999998
017_Lindsay_1,23.477596000000002,24.991020999999996,36.653242,20.6922,22.39618999999999,27.46417200000002,49.055148,25.45455799999999
018_NewHelsinki_1,24.949841,23.298775999999997,39.733242,24.312200000000004,24.47618999999999,35.02417200000002,52.73514799999998,33.67455799999999
020_Vlach_1,24.549841,24.278776,41.813241999999995,24.07220000000001,21.935782000000003,31.204579999999993,58.13514799999999,32.65455800000001
021_Navarra_1,22.617596,21.691021,38.733242,23.592200000000005,32.19618999999999,32.084172000000024,55.97514799999999,29.474557999999973
022_EnergieNove_1,25.697596,27.551021,42.853242,21.5522,21.11618999999999,34.624172000000016,57.615148000000005,28.194558
023_Hagen_1,23.709841,20.958776,40.953241999999996,23.772199999999998,26.376189999999994,31.984172,52.355148000000014,31.874558000000007
024_Acies_1,23.857596,23.791021,39.853241999999995,22.4722,19.936189999999996,33.72417200000001,56.575147999999984,33.054558000000014
025_Taurus_1,25.557595999999997,25.071021,39.553242000000004,21.512199999999993,21.296189999999996,32.68417200000002,53.69514799999999,26.89455799999999
026_Austrian_1,26.737596,27.631021,45.653242,24.852199999999996,26.79619000000001,40.544172,66.53514799999996,34.79455800000005
027_Calidore_1,24.557596,23.431021,36.733242000000004,22.492199999999997,22.67618999999999,30.904172000000017,51.81514799999999,31.17455799999999
028_Guarneri_1,21.976644,24.291021,38.773242,23.4122,23.316190000000006,30.324172000000004,44.935148,34.37455799999998
029_PavelHaas_1,21.92,22.278775999999997,39.805260000000004,23.940181999999993,28.51619000000001,35.544172,50.075147999999984,32.134558
