,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10,motif11,motif12,motif13,motif14
001_Belcea_2,9.719274,29.891745999999998,21.441633000000003,33.234421999999995,17.81805,14.187120000000007,23.007619000000005,42.17673399999998,13.915239000000014,14.178230999999982,8.724354000000005,9.051292000000018,25.168571999999983,26.902856999999983
002_Tokyo_2,9.459681999999999,26.411746,16.801633000000002,27.374421999999996,17.45805,11.927120000000002,21.72761899999999,34.35673400000002,13.435238999999996,13.738230999999985,8.130340000000018,8.425306000000006,20.008571999999987,21.12285700000001
003_Takacs_2,9.898866,26.971745999999996,17.041633000000004,28.194421999999996,21.31805,14.287120000000002,22.606530000000006,30.917823,17.275239,16.89823100000001,9.56435399999998,10.11129200000002,21.73469399999999,23.396735000000007
004_Schoenberg_2,8.979274,22.951746,16.601633,27.694422000000003,16.838049999999996,13.587119999999999,24.907618999999997,30.716734000000002,13.215238999999997,14.39823100000001,8.984353999999996,9.251292000000007,21.448571999999984,22.242857000000015
005_Doric_2,8.539273999999999,25.911746,18.041632999999997,26.314422000000008,17.23805,11.927119999999988,21.527619,34.95673400000001,14.115239000000003,13.098230999999998,8.124353999999983,8.151292000000012,20.228571999999986,25.12285700000001
006_Emerson_2,9.30009,24.491746,15.321633000000006,25.094422,17.498049999999992,11.395283000000006,19.319456000000002,30.976733999999993,13.57523900000001,14.058230999999978,8.550340000000006,8.685305999999997,18.074694000000022,20.67673499999998
007_Hagen_2,8.599274,26.051746,14.001632999999998,25.134422,16.218050000000005,13.48711999999999,27.187619000000012,32.716734,13.03523899999999,13.018231000000014,7.690339999999992,8.205306000000007,22.668571999999983,32.06285700000001
008_Prazak_2,9.739274,26.071746000000005,13.061632999999993,25.194422000000003,16.45805,12.387119999999996,22.28653,34.037823,13.275239,13.438231000000002,8.490340000000003,9.125305999999995,22.368572,23.242857000000015
009_Belcea_2,9.099274,29.411745999999997,18.421633,27.814422,18.19805000000001,13.36712,26.22761899999999,34.796734000000015,13.615239000000003,14.11823099999998,8.964354000000014,9.191292000000004,25.708571999999975,27.002857000000006
010_AlbanBerg_2,8.679274,24.631746,16.261633000000003,26.194421999999996,18.09805,13.887119999999996,27.007075000000015,32.93727799999999,13.995238999999998,13.918230999999992,9.424354000000022,9.491291999999987,24.16857200000001,21.442856999999975
011_Jerusalem_2,9.819274,30.691746,18.821633,29.374422000000003,17.838049999999996,13.047120000000007,25.067618999999993,40.17673400000001,13.195238999999987,13.718231000000003,8.204353999999995,8.711292000000014,24.668571999999983,28.242857000000015
012_Panocha_2,9.199273999999999,26.571746000000005,15.461632999999999,24.194421999999996,16.19805000000001,16.527119999999996,22.927619000000007,30.536733999999996,12.575238999999982,13.39823100000001,8.34435400000001,8.83129199999999,24.448572000000013,23.662857000000002
013_Wallinger_2,10.100816,25.810612000000006,15.801632999999995,24.694421999999996,15.95805,12.467120000000008,27.427619000000007,33.67673399999998,11.735239000000007,13.118231000000009,8.224354000000005,8.55129199999999,22.208572000000004,23.982856999999996
014_Excelsior_2,9.139274,26.851746,18.861632999999998,27.874421999999996,17.038050000000013,14.72712,24.967619,37.17673399999998,13.29523900000001,13.618231000000009,9.104354,9.33129199999999,23.068572000000017,22.506122000000005
