,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10,motif11,motif12,motif13,motif14,motif15,motif16
001_Belcea_4,37.673061999999994,33.774285000000006,38.946213,15.905624000000003,23.485940999999983,17.261950000000013,21.854150000000004,10.536734999999993,15.558049000000011,30.306303999999983,6.536100000000005,6.55632700000001,13.141768000000013,5.303310999999951,27.101406000000054,31.327482999999972
002_Tokyo_4,31.773062,28.494285,35.746213,15.222223,22.529342,16.101950000000016,18.914149999999978,9.416735000000017,13.078048999999993,33.46630400000001,6.336099999999988,6.336327000000011,13.061768,5.3833109999999635,19.081406000000015,25.267483000000027
003_Takacs_4,32.773062,30.394284999999996,35.866213,16.862223,21.009342000000004,18.481949999999983,21.094150000000013,10.536734999999993,12.638048999999995,28.886304000000024,7.796099999999996,7.616326999999984,15.581767999999983,6.5033109999999965,29.021406000000013,27.186530000000005
004_Schoenberg_4,37.073062,36.354285,38.346213000000006,16.882222999999996,27.169342,17.761950000000013,20.69414999999998,9.956735000000009,16.658049000000005,29.48630399999999,6.496099999999984,6.376327000000003,12.881768000000022,5.443310999999994,18.639364999999998,14.729524000000026
005_Doric_4,36.473062,33.754285,39.246213,15.542222999999993,24.089342000000002,16.12195,18.574150000000003,9.276735000000002,14.798048999999992,30.76630400000002,6.5560999999999865,6.6563270000000045,13.461768000000006,5.663310999999965,21.361406000000045,25.78748300000001
006_Emerson_4,32.433062,29.174284999999998,36.426213000000004,15.045624000000004,22.685940999999985,15.44195000000002,20.914149999999978,10.116735000000006,14.258049,27.566304000000002,6.456099999999992,6.496327000000008,13.161767999999995,5.343311,19.861405999999988,22.407483000000013
007_Hagen_4,37.133062,32.554285,42.466212999999996,14.462223000000009,21.069341999999992,15.481950000000012,17.25414999999998,8.496735000000001,16.838049000000012,33.20630399999999,6.156100000000009,6.236326999999989,12.221768000000026,5.163310999999965,14.93936500000001,32.429524000000015
008_Prazak_4,30.993062000000002,24.074284999999996,36.486213,15.002223,22.229342000000017,15.681949999999972,19.434150000000017,9.416734999999989,14.578049000000021,30.286304,6.656099999999981,6.496327000000008,13.201767999999987,5.343311,21.98140600000002,24.647482999999966
009_Belcea_4,36.953062,37.394284999999996,37.806213,15.045624000000004,23.705940999999996,16.241950000000003,21.77414999999999,9.956735000000009,17.478049,31.166303999999997,6.536100000000005,6.656326999999976,13.161768000000052,5.443310999999994,20.62140599999998,24.78748300000001
010_AlbanBerg_4,33.593062,25.874285,36.76621299999999,16.24222300000001,27.589342000000002,16.501949999999994,20.45415,10.256734999999992,14.838049000000012,27.426303999999988,6.276871,6.515556000000004,13.061768,5.583310999999981,20.90140600000001,21.267483000000027
011_Jerusalem_4,36.153062,30.974285000000002,34.886213,15.802222999999998,19.989342000000008,15.961950000000002,20.614149999999995,9.436734999999999,16.878049000000004,29.70630399999999,6.556100000000015,6.51632699999999,12.781768,5.543311000000017,21.781406000000004,26.347482999999954
012_Panocha_4,35.713062,24.634285,40.186213,16.54562399999999,25.025941000000017,15.601949999999988,18.594150000000013,10.376734999999996,14.698048999999997,28.726304,6.236099999999993,6.1163270000000125,12.721767999999997,5.123311000000001,18.161406,26.867482999999993
013_Wallinger_4,36.39306199999999,35.414285,38.700590000000005,16.227846,24.749342000000013,16.601949999999988,20.23415,9.216735,16.918048999999996,33.606303999999994,6.736100000000022,6.656326999999976,13.641768000000013,5.5033109999999965,19.45936499999999,21.949523999999997
014_Excelsior_4,32.933062,32.15428500000001,37.026213,15.282223000000002,24.40934199999998,17.001950000000022,20.094149999999985,10.996735000000001,14.938049000000007,31.886303999999996,7.39609999999999,7.316327000000001,14.701768000000015,6.023310999999978,23.981405999999993,25.467483000000016
016_Wihan_4,31.113062,28.254285000000003,36.62621299999999,16.342223000000004,23.669341999999986,16.301950000000005,20.134150000000005,11.216735,16.05804900000001,29.906304000000006,6.296099999999996,6.196326999999997,12.58444399999999,5.300635000000028,25.92140599999999,24.96748299999996
017_Lindsay_4,38.613062,33.754285,42.486213000000006,16.222222999999985,22.109341999999998,16.521950000000004,19.614149999999995,8.876735000000025,14.358048999999994,31.606303999999994,6.7561000000000035,6.976326999999998,13.961768000000006,5.723310999999967,23.90140600000001,22.06748300000004
018_NewHelsinki_4,36.553062,35.026937999999994,38.17356000000001,14.102222999999995,21.169342000000015,15.221949999999993,21.51415,10.436734999999999,14.938049000000007,31.726304,6.2561000000000035,6.136326999999994,13.041768000000019,5.403310999999974,20.501405999999974,23.147483000000022
020_Vlach_4,31.733062000000004,30.834284999999994,35.266213,16.562223000000003,29.189341999999996,16.90195,18.47415000000001,10.736734999999982,14.598049000000003,27.566304000000002,6.316100000000006,6.4163269999999955,13.10444400000003,5.560634999999991,25.201405999999963,26.08748300000002
