,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10,motif11,motif12,motif13,motif14,motif15
001_Belcea_3,57.330476999999995,27.826394,9.225964000000005,13.688140000000004,58.503629000000004,19.112878999999992,22.99088499999999,14.544579999999996,4.422359,6.103128999999996,28.925850000000025,12.225668999999982,17.78902499999998,27.65542000000005,2.6632189999999696
002_Tokyo_3,52.090477,25.746394000000002,11.22596399999999,17.528140000000008,67.178005,17.778503,23.890884999999997,13.64457999999999,4.922359,6.803129000000013,31.105850000000004,12.785668999999984,16.089432999999985,27.835012000000006,3.0832190000000423
003_Avalon_3,49.42898,24.267891000000006,10.025963999999988,14.308140000000009,58.803629,16.292879,21.75088500000001,13.64457999999999,4.542359000000005,6.283129000000002,30.685849999999988,12.485669000000001,14.609433000000024,24.33501199999995,2.623219000000006
004_Takacs_3,46.650477,24.626393999999998,9.992109,15.461995000000002,62.883628999999985,19.712879000000015,25.230885,15.88458,5.2223590000000115,7.423128999999989,29.145849999999996,14.265669000000003,11.909432999999979,26.415012000000047,2.803218999999956
005_Schoenberg_3,60.350477000000005,29.446393999999998,10.705963999999994,15.308140000000009,60.90362900000001,18.83287899999999,26.170885,15.38458,5.44235900000001,7.68312899999998,34.78585000000001,14.305669000000023,15.469432999999981,27.655012,2.7632189999999923
006_Doric_3,60.530477000000005,30.246394000000002,11.58596399999999,15.70814,67.38362900000001,21.072879,23.270884999999993,16.764579999999995,4.542359000000005,6.383128999999997,27.365850000000023,12.245668999999964,19.48943300000002,28.275012000000004,2.6632189999999696
009_Prazak_3,58.490477000000006,28.286394,11.065963999999994,16.728139999999996,69.10362900000001,19.732878999999997,23.21088499999999,14.704579999999993,4.462359000000021,5.643128999999988,31.345849999999984,12.665669000000037,17.66943299999997,30.375012000000027,2.6432189999999878
010_Janacek_3,62.190476999999994,31.346394000000004,14.325963999999999,20.848140000000015,85.303629,20.712878999999987,24.330884999999995,14.344580000000008,4.822359000000006,5.923129000000017,30.645849999999996,13.16566899999998,21.669433000000026,36.13501199999996,2.4832190000000196
011_Belcea_3,62.690477,31.62639399999999,9.465964,15.868140000000011,64.80362899999999,18.672878999999995,22.810885000000013,14.964580000000012,4.782358999999985,6.403129000000007,31.545849999999973,12.905669000000046,19.769432999999992,27.255011999999965,2.6832190000000082
012_AlbanBerg_3,54.050477,23.466394,9.025964000000002,14.228139999999996,62.123628999999994,16.792879,20.390884999999997,14.104579999999999,4.622359000000017,6.0425850000000025,29.926394000000016,12.245668999999964,18.809433000000013,26.595011999999997,2.5032190000000014
014_Panocha_3,53.68898,25.327890999999994,9.272109,18.081995000000006,73.32362900000001,22.352878999999973,27.150885000000017,13.66458,4.5623589999999865,6.503129000000001,31.72585000000001,11.525668999999994,18.369433000000015,30.275012000000004,2.723218999999972
015_PavelHass_3,55.430477,28.146394,10.425963999999993,14.988140000000001,64.123629,19.05287900000002,24.830884999999995,15.464579999999984,4.782359000000014,7.663128999999998,32.645850000000024,11.585668999999996,19.329432999999995,27.255011999999965,2.303219000000013
016_Wallinger_3,57.930477,28.046394000000006,9.912108999999987,18.64199500000001,70.82362900000001,21.472878999999978,27.27088500000002,14.824579999999997,4.702359000000001,6.023128999999983,33.90584999999999,12.405669000000046,16.46943299999998,28.155012,2.70321899999999
017_Excelsior_3,59.910477,29.126393999999998,9.985963999999996,18.56814,71.003629,21.152879000000013,24.97088499999998,18.104580000000027,5.422358999999972,7.183129000000008,34.925850000000025,12.805668999999966,18.769432999999992,32.47501199999999,2.8232190000000514
019_Lindsay_3,55.028980000000004,26.867891,11.112109000000004,13.799999999999997,53.045624000000004,18.252879000000007,23.41088499999998,14.124580000000009,5.2729710000000125,7.072516999999976,32.76585000000003,11.514693999999963,15.820408000000043,21.055011999999977,2.5232189999999832
020_Artemis_3,49.670477000000005,26.386394000000003,10.22596399999999,14.528140000000008,62.00362899999999,19.59287900000001,23.950885,14.844580000000008,4.1023589999999786,6.203129000000018,27.705849999999998,11.625669000000016,16.42943299999996,24.355012000000045,2.383218999999997
021_NewHelsinki_3,50.990477,26.186394,8.705964000000009,14.888139999999993,57.663629000000014,20.912878999999975,25.25088500000001,15.764579999999995,4.542359000000005,6.543128999999993,34.60585000000003,14.525668999999994,17.92943299999996,24.915012000000047,2.6432189999999878
022_Vlach_3,51.330477,24.586394,9.865963999999991,19.468140000000005,83.56362899999999,20.33287900000002,21.91088499999998,13.16458,5.402359000000018,7.3231289999999944,28.72584999999998,14.085668999999996,18.309433000000013,40.67501199999998,2.7432190000000105
023_Lyris_3,47.750477000000004,25.12639399999999,10.765964000000011,14.268139999999988,64.80362900000002,20.632879000000003,23.010885000000002,16.40457999999998,4.862358999999998,6.883128999999997,29.76585,12.025668999999994,16.70943299999999,27.115012000000036,2.443218999999999
024_Schumann_3,52.570477,25.74639400000001,9.405963999999997,14.68813999999999,58.823629,20.012878999999998,24.510885000000002,15.90458000000001,4.002359000000013,6.143672999999978,29.645306000000005,13.24566900000002,16.96943299999998,23.655012,2.383218999999997
