,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10,motif11,motif12,motif13,motif14,motif15,motif16,motif17,motif18,motif19,motif20,motif21,motif22,motif23,motif24
001_Belcea_4,9.770068,10.242674999999998,17.603402,35.370476000000004,7.243083999999996,27.586621000000008,27.435509999999994,20.167890999999997,18.99460400000001,6.913921999999985,17.85165600000002,36.662176999999986,42.95850300000001,14.196462999999994,14.359410000000025,49.03056699999996,90.25737000000004,5.23596299999997,6.151972999999998,16.08485300000001,8.142901999999992,9.162221999999986,11.58947900000004,9.527346999999963
002_Tokyo_4,8.890068,8.922675000000002,15.923401999999996,33.13047600000001,7.0830839999999995,19.346621,24.23550999999999,17.96789100000001,15.634603999999996,6.4339219999999955,15.538776000000013,29.13505699999999,38.45850300000001,11.426803000000007,15.469069999999988,38.29165499999999,77.376282,4.675963000000024,5.731972999999982,14.404853000000003,5.242902000000015,8.222221999999988,10.26947899999999,9.407347000000016
003_Avalon_4,9.090068,9.042675000000001,15.463402000000002,30.390476,6.823083999999994,21.36662100000001,24.015509999999992,17.295192999999998,15.567302000000012,6.253921999999989,13.798776000000004,27.515057000000013,34.91850299999999,10.156463000000002,13.159410000000008,40.67165499999999,76.47628200000003,4.3359629999999925,5.691972999999962,13.684853000000032,5.722901999999976,8.262222000000008,9.749479000000008,9.107347000000004
004_Takacs_4,8.780000000000001,9.045714,16.143402000000002,32.79047599999999,7.5430840000000074,26.586620999999994,27.27551000000001,20.047890999999993,18.23460399999999,7.033922000000018,14.578776000000005,33.995056999999974,38.158503000000024,11.416462999999965,14.919410000000028,42.21274399999999,92.49519300000003,5.402629999999988,6.0253060000000005,16.724852999999996,7.342901999999981,8.63750600000003,11.913242999999966,10.108299000000045
005_Schoenberg_4,8.450068,8.502675000000002,13.723402,34.710476,8.643084000000002,24.506620999999996,27.015509999999992,20.027890999999997,14.674604000000016,6.813921999999991,10.07165599999999,29.34217700000002,37.23850299999998,11.276463000000007,13.779409999999984,38.031655,86.33628200000004,5.035962999999981,5.411972999999989,18.284853,8.62290200000001,8.502222000000017,8.909478999999976,8.867346999999995
006_Doric_4,9.170068,9.362675,15.443402000000003,37.85047599999999,8.223084,29.526621000000006,26.75551,16.24789100000001,16.45460399999999,6.293922000000009,15.451655999999986,32.76217700000001,36.91850299999999,11.556463000000008,16.119410000000016,45.031655,97.41628199999997,5.415963000000033,5.911972999999989,14.444853000000023,6.08290199999999,8.302221999999972,14.289479000000028,9.24734699999999
007_Emerson_4,9.290068,9.162675000000002,15.643401999999998,33.470476,8.100408000000002,19.480000000000004,23.804806999999997,16.227891000000014,15.054603999999983,9.476371,11.596327000000002,25.875056999999998,34.938503,11.336463000000009,13.449977000000018,33.34108799999996,85.33628200000004,5.935962999999958,6.411973000000046,14.54485299999999,8.882902000000001,8.888072999999963,10.863628000000006,9.507347000000038
008_Hagen_4,8.970068,9.062674999999999,14.823402000000005,30.490475999999994,8.400407999999999,23.649297000000004,22.75551,17.927891000000002,18.49460400000001,5.753921999999989,20.311656,31.122176999999994,37.97850300000002,12.176462999999984,14.879410000000007,30.591655000000003,79.05628200000001,5.3359629999999925,6.311972999999966,14.204853000000014,7.05596300000002,8.509161000000006,8.349478999999974,8.007347000000038
009_Prazak_4,8.190068,8.742675,15.263402,33.150476000000005,7.84308399999999,23.026621000000006,24.915509999999998,18.73519300000001,19.767302,5.993921999999998,14.891655999999983,29.402177000000023,35.47850299999999,10.676462999999984,15.059410000000014,38.67165499999999,83.91628200000002,5.435963000000015,5.651972999999998,14.644852999999955,9.842902000000038,7.8422219999999925,10.109478999999965,9.52734700000002
010_Janacek_4,10.470068,9.982674999999999,15.983402000000002,38.810475999999994,5.803084000000013,23.346621,24.83551,17.627891000000005,19.854603999999995,7.193921999999986,16.33165600000001,32.50217699999999,40.178503000000035,10.996462999999949,11.879410000000007,49.691655000000026,81.97891199999998,5.033333000000027,6.391973000000007,13.924852999999985,7.282901999999979,9.182222000000024,9.389478999999994,7.547347000000002
011_Belcea_4,9.910067999999999,9.382674999999999,15.443402000000003,34.330476000000004,6.903083999999993,29.526621000000006,27.895509999999987,21.02789100000001,20.374604000000005,7.673922000000005,20.21877599999999,31.655057,39.23850300000001,13.30648500000001,15.509388000000001,39.45165499999996,98.376282,5.27596299999999,5.871973000000025,13.124852999999973,5.662902000000031,8.922221999999977,9.449478999999997,8.187347000000045
012_AlbanBerg_4,8.370068,8.402675,13.883402,32.250476000000006,8.263083999999992,25.526621000000006,20.715509999999995,15.955192999999994,14.347302000000013,5.173922000000005,13.371656000000002,29.822176999999982,37.23850300000001,11.346530999999999,14.229342000000003,37.55165499999998,89.35628200000002,5.162629999999979,5.485306000000037,14.124852999999973,6.08290199999999,7.922222000000033,10.609478999999965,9.427346999999997
013_Jerusalem_4,9.950068,9.802675,17.583402000000003,31.950476000000002,7.663083999999998,22.466621000000004,24.87550999999999,17.987891000000005,17.934604000000007,6.313921999999991,21.151656000000003,29.942176999999987,39.718503,12.596463000000028,14.649976999999978,49.02108800000002,87.01628199999999,5.875963000000013,6.1319729999999595,14.744853000000035,10.08290199999999,9.202222000000006,11.76947899999999,8.807346999999993
014_Panocha_4,8.223039,8.542675,15.623402000000002,34.990475999999994,7.843084000000005,22.046621000000002,23.295509999999993,18.827890999999994,15.154604000000006,7.013922000000008,15.751655999999997,28.302177,34.33342400000001,10.161541999999997,12.039410000000004,45.73165499999999,84.59628200000003,4.2559629999999515,5.531972999999994,16.504853000000026,8.882902000000001,7.962221999999997,12.02947899999998,8.127347000000043
015_PavelHass_4,8.170068,8.542675,15.763402000000003,36.130476,7.885758999999993,27.903946000000005,26.25551,23.667890999999997,16.614603999999986,7.493922000000026,20.451655999999986,26.182176999999996,33.83850300000003,10.956462999999985,13.899409999999989,31.811654999999973,69.51628200000005,4.555962999999963,5.711973,15.664852999999994,9.242902000000015,8.262222000000008,11.789479000000028,9.327346999999975
016_Wallinger_4,8.010068,8.076960999999999,13.009116000000002,28.050475999999996,6.5830839999999995,19.806621000000007,25.25551,20.027890999999997,16.554604000000012,6.773921999999999,16.911655999999994,30.362177000000003,39.29850299999998,10.456463000000014,10.63940999999997,39.25165500000003,80.376282,4.73596299999997,5.49197300000003,14.684852999999976,8.322902,8.002222000000017,10.069479000000001,9.127346999999986
017_Excelsior_4,10.750068,10.622675,17.923402,36.470476000000005,9.403083999999993,25.886621000000005,30.615509999999986,23.407891000000006,18.21460400000001,6.373921999999993,15.511656000000016,30.817459999999983,38.48321999999999,12.516463000000044,15.219409999999982,45.13165499999997,92.39628200000004,5.095962999999983,6.771973000000003,14.484852999999987,6.802902000000017,9.922221999999977,12.80471700000004,10.832109000000003
019_Lindsay_4,9.430068,9.462674999999999,14.823402000000002,30.930476,6.923084000000003,22.286620999999997,24.675510000000003,15.547890999999993,14.434604000000007,6.393922000000003,16.83165599999998,29.702177000000006,35.938503,10.546485000000018,13.349388000000005,46.151655000000005,87.41628199999997,5.362630000000024,6.305305999999973,17.12485300000003,8.04290199999997,8.862222000000031,9.22947899999997,7.687347000000045
020_Artemis_4,9.490068,9.322674999999998,16.843402000000005,32.570476,8.243083999999996,23.466621000000004,23.435509999999994,17.12789099999999,18.094604000000004,6.393922000000003,14.231656000000015,29.642177000000004,38.79850299999998,12.636462999999992,14.359410000000025,37.871654999999976,80.196282,5.1559630000000425,5.811972999999966,14.104852999999991,7.36290200000002,8.78222199999999,8.089478999999983,9.247347000000048
021_NewHelsinki_4,10.090068,9.882674999999999,17.923402000000003,31.710476,7.863084000000001,27.106621000000004,28.375510000000006,20.327890999999994,15.654604000000006,6.833922000000001,23.471655999999996,31.742176999999998,34.558503,11.256462999999997,16.19941,41.351654999999994,90.23628200000002,5.6759629999999675,6.271973000000003,14.04485299999999,8.482902000000024,9.982221999999979,9.389478999999994,8.867347000000052
022_Vlach_4,9.590067999999999,8.982674999999999,16.363402000000004,31.190476000000004,6.323083999999994,20.786620999999997,23.25551,15.507891,16.414603999999997,6.673922000000005,17.951655999999986,32.76217700000001,39.23850300000001,9.376463000000001,13.399410000000017,48.871654999999976,87.51628199999999,5.695963000000006,6.251973000000021,15.004852999999969,8.062902000000008,9.522222,12.649478999999985,9.727347000000009
023_Lyris_4,9.504127,9.402674999999999,15.543402,29.810476,8.363084,23.606621000000004,26.59550999999999,19.727891000000014,17.254604,7.673921999999976,18.471656000000024,31.48217699999998,38.19850299999999,13.456463000000042,16.039409999999975,40.891655000000014,78.47628199999997,5.255963000000008,6.191973000000019,14.58485300000001,8.24902499999996,8.89609900000005,9.809478999999953,9.227347000000009
024_Schumann_4,9.210068,8.98839,16.217687,31.870476000000004,8.543083999999993,24.346621,24.915509999999998,19.547890999999993,16.29460400000002,6.693921999999986,18.471655999999996,32.362177,36.75850300000002,10.55646299999998,12.959409999999991,42.691655000000026,88.49628200000001,4.935962999999958,6.03197300000005,16.124852999999973,9.902901999999983,8.803356000000008,11.328345000000013,10.20734699999997
025_EnergieNove_4,11.210068000000001,11.042675,19.663401999999998,34.99047600000001,13.043083999999993,23.346621,28.475510000000014,23.027890999999983,18.899047999999993,16.809478000000013,15.391656000000012,30.102176999999983,36.21850300000003,14.896462999999983,12.72997700000002,31.021087999999963,94.636282,7.135963000000004,6.871973000000025,19.924852999999985,10.282901999999979,10.042222000000038,13.48947899999996,10.935782000000017
