,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10,motif11,motif12
001_Janacek_1,44.595646,25.169115999999995,39.548979,39.253606000000005,37.885305999999986,47.987120000000004,18.673288000000014,27.840679999999992,54.60603200000003,45.742947999999956,45.62498900000003,47.163809000000015
002_Takacs_1,47.595645999999995,23.309116000000003,37.508979,36.61360599999999,30.48530600000001,38.62711999999999,17.893288000000013,28.220680000000016,49.80603199999996,38.74294800000001,34.824989000000016,36.32380899999998
003_Koeckert_1,45.335646000000004,24.969115999999993,37.328979000000004,37.633606000000015,32.965306,45.62711999999999,18.165396999999984,26.988571000000007,48.766031999999996,41.16294800000003,43.54498899999999,45.76380899999998
004_PavelHass_1,43.815646,22.809115999999996,41.548979,41.75360599999999,34.865306000000004,43.767120000000006,16.633287999999993,26.920680000000004,57.48603200000002,43.86294799999996,42.50498900000002,40.84380900000002
005_Travnicek_1,38.915645999999995,21.429116,39.48897900000001,39.413606,33.845305999999994,41.42712,15.733287999999988,25.58068000000003,53.64603199999999,41.64294799999999,41.44498900000002,40.20380899999998
006_Prazak_1,41.275646,21.989115999999996,40.548979,40.513605999999996,32.72530600000002,44.14712,16.153287999999975,25.720679999999987,55.02603200000004,41.20294799999999,45.244988999999975,39.72380900000002
007_Jerusalem_1,45.315645999999994,23.329116,33.848979,35.093605999999994,30.345306000000022,40.36712,16.55328799999998,26.740679999999998,46.266031999999996,37.62294800000001,37.24498900000003,36.54380899999995
008_Dante_1,46.315646,25.249115999999994,40.428979,38.15360600000001,32.145306000000005,44.10711999999998,18.513288000000017,29.360680000000002,52.446032,40.68294800000001,41.42498899999998,43.26380899999998
009_AlbanBerg_1,64.062177,23.809116000000003,36.708978999999985,35.613606000000004,32.22530600000002,41.36712,17.05328799999998,26.56067999999999,48.046032000000025,40.08294799999999,37.264989000000014,37.583808999999974
010_Skampa_1,41.715646,22.489116000000003,41.16897899999999,37.45360599999999,31.465305999999998,45.06712000000002,15.933288000000005,24.980680000000007,53.56603200000001,38.822948,43.18498899999997,40.26380899999998
011_MoyzesQuartet_1,46.275646,24.609116,41.248979000000006,40.473606000000004,33.94530599999999,48.60712000000001,17.433288000000005,26.220679999999987,56.90603199999998,44.942948,47.88498900000002,42.28380900000002
012_Talich_1,45.575646,24.148708,37.929387000000006,38.61360599999999,32.625305999999995,44.287120000000016,17.61328800000001,27.460679999999968,54.10603200000003,40.822948,41.984988999999985,42.34380900000002
013_EnergieNove_1,50.595645999999995,26.669116000000002,40.188979,40.31360599999999,35.26530600000001,48.30712,19.35328800000002,29.98067999999995,54.546032000000025,42.74294800000001,43.16498899999999,44.06380899999999
014_Hollywood_1,43.415645999999995,22.149116,36.16897900000001,36.113606000000004,29.945305999999988,41.787120000000016,16.54539699999998,24.82857100000001,47.966031999999984,37.90294800000004,40.242448999999965,41.006349
015_Vlach_1,43.195645999999996,23.069116,43.068979,44.67360600000001,38.185306,48.947119999999984,17.79328799999999,29.08068000000003,61.226031999999975,48.042948000000024,48.66498899999999,44.923809000000006
016_Guarneri_1,40.315645999999994,21.409116000000004,34.828979,36.913606000000016,29.105305999999985,39.70712,15.753287999999998,24.760680000000008,48.18603199999998,36.90294800000004,38.904988999999944,38.243809000000056
017_Amadeus_1,49.195645999999996,24.649116,37.768979,36.873605999999995,31.76530600000001,41.467119999999994,17.733287999999988,25.952109000000036,47.59460299999995,39.16294800000003,39.20498900000001,41.22380899999996
018_Excelsior_1,48.275645999999995,24.289116,41.268979,41.653605999999996,34.645306000000005,46.747119999999995,18.33328800000001,28.120679999999993,55.806032000000016,43.70294799999999,44.06498899999997,42.14380900000003
019_Lindsay_1,45.535646,22.129115999999996,35.248979000000006,35.59360600000001,28.72530599999999,42.70712,17.093288,25.260680000000008,47.92603199999999,35.782947999999976,39.14498900000001,39.923809000000006
020_Takacs_1,42.436599,22.268162999999994,36.888979000000006,37.25360599999999,28.445306000000016,38.36712,16.373288000000002,24.940679999999986,51.23523900000001,36.073740999999984,36.66498899999999,35.72380900000002
021_Tokyo_1,46.995645999999994,22.629116000000003,36.588978999999995,36.633606000000015,30.245306,42.54711999999998,16.673288000000014,26.62068000000002,47.56603199999995,37.562948000000006,39.464989,38.98380900000001
022_Talich_1,47.475646,24.529116000000002,38.548979,37.45360599999999,31.72530599999999,46.64712,17.913288000000023,27.957822999999962,52.908889000000045,39.92294799999996,42.12498900000003,41.683809
023_Talich_1,43.295646,22.709115999999995,39.02897900000001,38.473606000000004,31.645306000000005,43.34711999999999,16.673287999999985,25.82068000000004,54.62603199999995,39.72294800000003,43.524989000000005,41.60380900000001
024_Smetana_1,39.515646,22.069116,37.328979,38.17360599999999,33.025306,47.267120000000006,17.353287999999992,26.420680000000004,53.66603200000003,41.58294799999999,47.724988999999994,43.70380899999998
025_Emerson_1,37.915645999999995,19.949116000000004,34.42897899999999,36.61360600000002,29.48530599999998,37.38712000000001,14.905396999999994,23.54857100000001,47.20603200000002,37.20294799999999,36.224988999999994,36.117459999999994
