,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10
001_Janacek_3,92.677551,62.70154199999999,46.444173000000006,36.40557799999999,45.40417199999999,47.693651000000045,51.34358299999997,51.90240299999999,48.075511000000006,91.538004
002_Takacs_3,80.663265,56.24154200000001,40.58417299999999,34.265578000000005,36.12417199999999,42.31365100000002,45.023582999999974,40.78240299999999,36.095511000000045,80.27800400000001
003_Koeckert_3,88.32326499999999,65.14154200000002,44.78417299999998,33.145578,40.78417200000001,51.133650999999986,48.563582999999994,47.18240300000002,46.69551100000001,102.71800399999995
004_PavelHass_3,93.868571,60.124807000000004,43.28417299999998,36.400136,40.189614000000006,43.35365100000001,48.54358300000001,46.222402999999986,38.21551099999999,86.37800400000003
005_Travnicek_3,75.303265,54.82154200000001,37.96417299999999,30.445578000000012,40.22417200000001,41.833650999999975,43.52358300000003,38.80240299999997,37.035510999999985,83.89800400000001
006_Prazak_3,89.028979,59.64154199999999,38.684173000000015,31.825578000000007,38.984172,43.53365099999996,47.82358300000004,44.24240299999997,37.59551099999999,90.25800399999997
007_Jerusalem_3,84.297551,57.621542000000005,40.844172999999984,32.085578,40.90417199999999,48.433651,43.743583,43.32240300000001,44.15551099999999,70.63800400000002
008_Dante_3,82.05183600000001,53.161542,41.484173,31.965577999999994,38.544172,44.29365099999998,44.04358300000001,50.86240300000003,44.47551099999998,85.75800399999997
009_AlbanBerg_3,84.731836,63.141542,41.34417300000001,30.965577999999994,39.68417199999999,38.09365100000002,45.62725599999999,48.13873000000001,40.43551099999996,83.27800400000007
010_Skampa_3,93.528979,56.88154199999998,37.48417300000003,35.28557799999999,39.96417199999999,42.81841300000002,53.71882099999999,48.10240299999998,38.315511000000015,96.39800400000001
011_MoyzesQuartet_3,88.746122,57.58154200000001,40.764173,30.60557799999998,38.74417199999999,45.71365100000003,45.84358299999997,45.62240300000002,42.775510999999995,82.978004
012_Talich_3,90.783265,61.381541999999996,42.80417299999999,32.40557800000002,37.36417199999997,41.31365099999999,44.843583000000024,46.722402999999986,37.955511,85.31800400000003
013_EnergieNove_3,84.931836,52.40154199999999,38.28417300000001,35.12557799999999,37.94417200000001,49.89365099999998,50.78358300000002,45.47913799999998,42.118776000000025,80.31800399999997
014_Hollywood_3,89.611836,63.56154200000002,40.18417299999999,30.745577999999995,45.704172,46.21365100000003,47.823582999999985,44.36240299999997,44.37551100000002,82.69800399999997
015_Vlach_3,90.100408,60.301542,40.704173,32.765578000000005,43.924172,42.89365099999998,48.343583000000024,46.86240299999997,42.73551100000003,98.73800399999999
016_Guarneri_3,81.27183600000001,58.721542,41.144172999999995,29.205578000000003,36.364171999999996,43.773651,43.803583,41.88240300000001,39.15551099999999,83.89800400000001
017_Amadeus_3,88.25755099999999,53.641542000000015,37.204173,34.54557799999998,42.144172,45.67365100000001,47.22358300000002,46.78240299999999,40.535510999999985,83.45800400000002
018_Excelsior_3,83.91183600000001,59.16154199999998,38.00417300000001,34.66557800000001,42.324171999999976,45.67365100000001,47.22358300000002,46.78240299999999,40.535510999999985,83.858004
019_Lindsay_3,83.91183600000001,59.16154199999998,38.00417300000001,34.66557800000001,42.324171999999976,45.67365100000001,47.22358300000002,46.78240299999999,40.535510999999985,94.75800399999997
021_Tokyo_3,81.366122,52.621542000000005,37.58417299999999,30.085577999999998,34.704172,41.49365100000003,45.823582999999985,42.90240299999999,38.35551099999998,84.01800400000002
022_Talich_3,83.94326500000001,57.121542000000005,39.704173,30.32557799999998,38.124172000000016,38.95365099999998,41.683583,40.94240300000001,36.535510999999985,75.658004
023_Talich_3,89.63755099999999,62.301542,44.684173000000015,30.445577999999983,36.564171999999985,44.113651000000004,46.103583000000015,46.722402999999986,38.25551100000001,88.13800399999997
024_Smetana_3,83.91183600000001,59.16154199999998,38.00417300000001,34.66557800000001,42.324171999999976,45.67365100000001,47.22358300000002,46.78240299999999,40.535510999999985,83.45800400000002
025_Emerson_3,85.51755100000001,59.601541999999995,44.144172999999995,28.965577999999994,35.984172,41.35365100000001,44.70358299999998,48.002403000000015,40.743266000000006,80.37836699999997
026_Wihan_3,89.071836,60.421542,41.18417299999999,35.88557800000001,43.00417199999998,44.23365100000001,51.243583,48.28240299999999,41.615511000000026,87.73800400000005
027_Endellion_3,99.286122,57.92154199999999,42.62417300000001,31.645578,37.424172,45.27365099999997,49.343583000000024,47.762403000000006,40.85551099999998,88.31800399999997
028_Juilliard_3,88.388979,63.56154199999999,42.62417300000001,31.005577999999986,38.28417200000001,44.59365100000002,49.10358299999996,50.38240300000001,41.09551099999999,90.55800399999998
029_Panocha_3,80.56,53.62480699999999,35.484173,33.44557800000001,36.984172,42.373650999999995,45.843583000000024,49.54240299999998,36.63551100000001,80.49800399999998
030_Sevcik-Lhotsky_3,91.920408,60.20154199999999,39.86417300000002,34.705578,42.72417200000001,44.633650999999986,44.22358299999996,41.642403,39.73551100000003,67.45800400000002
031_Medici_3,79.451836,54.361542,39.96417299999999,32.68557800000002,40.12417199999999,48.093650999999994,42.603583000000015,47.262403000000006,46.85551099999998,84.05800400000004
032_Talich_3,80.23469399999999,56.58154200000001,38.364172999999994,32.985578000000004,37.764172,43.873650999999995,43.90358299999997,40.92240300000003,37.35551099999998,74.77800400000001
033_Sacconi_3,88.851836,59.70154199999999,43.424173000000025,32.28557799999999,39.66417200000001,45.45365099999998,45.50358299999999,45.395872999999995,42.122041000000024,84.45800400000002
