,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10,motif11,motif12,motif13,motif14,motif15,motif16,motif17,motif18
001_Janacek_4,15.875692,21.456235999999997,15.923083000000005,14.139139,11.199817999999993,15.631338,18.284807,13.949071000000004,15.655011000000002,23.77483000000001,15.571428999999995,13.072924999999998,14.250112999999999,13.242494999999991,52.72589499999998,48.94784600000003,27.962041,48.67027200000001
002_Takacs_4,15.155964,20.036236,15.303083,14.259139000000005,11.019818,15.573650999999998,17.722493999999998,13.569070999999994,13.875011,23.05483000000001,15.43142899999998,13.592925000000008,14.170113000000015,14.602495000000005,34.825894999999974,35.533559999999994,22.256327,47.990272000000004
003_Koeckert_4,15.575691999999998,19.336236000000003,14.983083,13.359138999999999,10.479817999999995,14.831338000000002,17.584806999999998,12.829070999999999,13.555010999999993,22.77483000000001,14.931429000000009,12.352924999999999,12.830112999999983,12.262495000000001,54.145894999999996,46.51641699999999,23.693470000000048,51.11027199999995
004_PavelHass_4,14.915692,19.236235999999998,15.283083000000005,13.879138999999995,10.679818000000004,15.091337999999993,17.604807000000008,13.389071000000001,13.21501099999999,22.874830000000003,15.271429000000012,12.772924999999987,13.750112999999999,13.702494999999999,34.645894999999996,36.39356000000001,21.436327000000006,57.11027200000001
005_Travnicek_4,14.695692000000001,19.736236,15.163083,13.679139,10.459817999999991,14.43133800000001,16.364807,12.509614999999997,14.074466999999999,22.154830000000004,15.031429000000003,12.632925,13.670112999999986,11.702494999999999,34.353741000000014,36.19999999999999,22.24204100000003,47.19027199999999
006_Prazak_4,14.235692,18.336235999999996,13.903083000000002,12.979139000000004,10.059818,14.231337999999994,16.704807000000002,12.669071000000002,12.815010999999998,21.714830000000006,13.911428999999998,11.952924999999993,12.150113000000005,11.782495000000011,37.845894999999985,41.907846000000006,23.282040999999992,50.490272000000004
007_Jerusalem_4,14.735692,18.976236,15.183083000000003,13.559138999999995,10.499818000000005,14.691338000000002,16.824806999999993,13.069071000000008,13.835010999999994,22.454830000000015,15.17142899999999,12.552924999999988,13.090113000000002,12.482495,31.125895000000014,30.050703,17.21714300000002,32.172312999999974
008_Dante_4,15.675692000000002,20.716236000000002,16.343083,14.819138999999993,11.199818000000008,14.991337999999999,17.484807000000004,13.249071,14.495010999999991,23.57482999999999,16.49142900000001,13.932925000000012,13.970112999999998,12.002494999999982,35.96589500000002,33.61927499999999,26.75061199999999,43.030272000000025
009_AlbanBerg_4,14.455691999999999,19.316236,15.263083000000002,13.679139,10.199817999999993,14.071338000000011,16.684806999999992,12.549070999999998,13.815011000000013,21.31483,14.651428999999979,12.572925000000026,12.99011299999998,12.056236000000013,32.23215400000001,36.739274999999964,18.34857100000005,59.05231299999997
010_Skampa_4,13.875964000000002,18.036236,15.603082999999998,14.099139000000001,10.385578000000002,14.305577999999997,16.764807000000005,12.629070999999996,12.815010999999998,21.29482999999999,15.691429,13.052925000000016,12.530113,12.302494999999993,34.053741,40.50857099999999,21.653470000000027,47.010271999999986
011_MoyzesQuartet_4,15.655691999999998,21.228435,15.690883999999997,14.299138999999997,10.979818000000009,15.671337999999992,17.704807000000002,13.62907100000001,16.155010999999988,23.914829999999995,15.853605000000016,13.530748999999986,14.350113000000022,13.44249499999998,33.865894999999995,40.87927500000001,23.930611999999996,44.61027200000001
012_Talich_4,14.495692,19.136235999999997,15.003083000000004,13.459139,10.779817999999999,15.031337999999991,17.52480700000001,13.269070999999997,13.97501100000001,22.354829999999993,15.271429000000012,12.412924999999973,13.170113000000015,12.382495000000006,32.765895,35.15927499999998,25.57061200000004,50.57027199999999
013_EnergieNove_4,16.155692000000002,21.496236,17.023083,15.519138999999996,11.75981800000001,16.191337999999988,19.104807000000008,14.309070999999989,15.875011,24.09483,16.71142900000001,14.352924999999999,14.890112999999985,14.962495000000018,46.865894999999995,43.93927500000001,25.45061199999998,40.21027200000003
014_Hollywood_4,15.255692,19.816236000000004,15.643082999999997,13.839139000000003,10.759817999999996,14.791337999999996,17.584807000000012,13.269070999999997,14.735011,22.414829999999995,15.111429000000015,12.352924999999999,13.250112999999999,13.242494999999991,45.50589500000001,42.279274999999984,25.388571000000013,41.35231299999998
