,mov3
001_Brodsky_3,216.294604
002_Duke_3,213.507302
003_Skampa_3,240.55460399999998
004_Prague_3,205.294604
005_AlbanBerg_3,230.274604
006_Panocha_3,229.274604
007_PavelHass_3,229.93460399999998
008_Emerson_3,213.79460400000002
009_Escher_3,223.796508
010_Talich_3,222.474604
011_Prazak_3,221.57460400000002
012_Modigliani_3,228.83460399999998
013_Janacek_3,229.83460399999998
014_Guarneri_3,215.654604
015_Tokyo_3,239.807937
016_Panocha_3,226.93460399999998
017_Endellion_3,220.120318
019_Sevcik-Lhotsky_3,193.45460400000002
020_Amadeus_3,220.61460399999999
021_Concord_3,231.314604
022_Griller_3,206.99460399999998
023_Moyzes_3,243.620318
024_Vlach_3,235.778413
025_Stamic_3,232.594604
026_Amadeus_3,228.794604
027_Albion_3,231.854604
028_Alexander_3,232.374604
030_CzechPhil_3,243.454604
031_Sacconi_3,257.174604
033_Cypress_3,218.634604
034_Excelsior_3,242.92920700000002
035_Jupiter_3,218.994604
036_ProArte_3,217.061905
037_Orlando_3,231.11460399999999
038_Takacs_3,219.941905
039_Jerusalem_3,231.914604
040_Keller_3,213.087302
041_Matangi_3,238.814604
042_Melos_3,232.414604
043_Tang_3,209.934604
044_Jade_3,246.07460400000002
046_Guarneri_3,222.589206
047_Miro_3,223.874604
048_Wihan_3,239.914604
049_Serafin_3,240.15460399999998
050_Bartok_3,201.147302
051_Hungarian_3,257.529524
052_Masin_3,239.554604
053_Hagen_3,222.37460399999998
054_Cavani_3,231.974604
055_KumhoAsiana_3,258.474604
056_Skampa_3,234.474604
058_Schidlof_3,232.45460400000002
059_Cleveland_3,223.254604
060_NewYork_3,225.634604
061_Smetana_3,203.214604
062_Kallaci_3,229.934604
063_Novus_3,230.674604
064_Crondes_3,220.574604
065_Lindsay_3,204.974604
067_Bowman_3,243.83460399999998
068_Smetana_3,215.63841299999999
069_NewRussian_3,229.514604
070_Australian_3,221.444127
071_Koeckert_3,217.27460399999998
072_Orion_3,226.634604
073_Montclaire_3,253.374604
074_Vogler_3,239.594604
075_FineArts_3,240.23460400000002
076_Panocha_3,229.754604
077_Carmina_3,209.67460400000002
078_Borromeo_3,244.614604
