CD,mov1,mov2,mov3,mov4
001_Brodsky_1,595.3676869999998,428.624898,216.294604,317.0546940000001
002_Duke_1,559.519524,420.10489800000005,213.507302,306.374694
003_Skampa_1,620.807687,470.88081600000004,240.554604,325.274694
004_Prague_1,559.208163,400.364898,205.294604,335.95714300000003
005_AlbanBerg_1,577.3627889999998,493.98489800000004,230.274604,298.954694
006_Panocha_1,535.04,432.14489800000007,229.274604,302.6746940000001
007_PavelHass_1,570.479524,460.14489800000007,229.934604,326.254694
008_Emerson_1,542.287687,432.84489800000006,213.794604,309.914694
009_Escher_1,546.467687,463.324898,223.79650800000002,293.594694
010_Talich_1,569.679524,457.02489800000006,222.474604,314.51755099999997
011_Prazak_1,531.4876869999998,467.16489800000005,221.574604,326.454694
012_Modigliani_1,575.927687,484.20489800000007,228.834604,295.13469399999997
014_Guarneri_1,554.287687,452.18489800000003,229.834604,347.454694
015_Tokyo_1,575.087687,425.824898,215.654604,297.874694
016_Panocha_1,543.919524,462.460816,239.807937,329.01714300000003
017_Endellion_1,582.799524,410.904898,226.934604,301.254694
024_Vlach_1,606.8595240000001,464.28489800000006,220.12031800000003,332.534694
027_Albion_1,572.287687,467.564898,193.454604,329.574694
028_Alexander_1,565.427687,561.044898,220.614604,304.0575510000001
029_Varese_1,572.439524,435.62489800000003,231.314604,291.014694
031_Sacconi_1,615.339524,452.72489800000005,206.994604,336.2546940000001
032_Lipkind_1,627.8595240000001,472.74489800000003,243.62031800000003,330.514694
033_Cypress_1,531.8476870000001,508.384898,235.778413,335.034694
035_Jupiter_1,566.099524,437.42489800000004,232.594604,341.094694
038_Takacs_1,551.487687,446.904898,228.794604,313.354694
039_Jerusalem_1,577.819524,381.924898,231.854604,310.474694
040_Keller_1,546.688163,419.244898,232.374604,311.9946940000001
041_Matangi_1,550.659524,502.424898,243.45460400000002,317.154694
042_Melos_1,603.839524,455.78489800000006,257.174604,338.16898
043_Tang_1,550.9995240000001,517.9248980000001,218.634604,353.8746940000001
044_Jade_1,607.587687,372.704898,242.929207,315.394694
047_Miro_1,581.8676869999998,464.86489800000004,218.994604,338.914694
049_Serafin_1,554.259524,447.86489800000004,217.06190499999997,311.494694
052_Masin_1,611.507687,432.34489800000006,231.114604,339.237551
053_Hagen_1,563.327687,453.324898,219.941905,311.91469400000005
054_Cavani_1,608.1076869999998,447.10489800000005,231.914604,313.474694
056_Skampa_1,563.319524,377.624898,213.087302,301.894694
057_Stamic_1,568.079524,410.904898,238.814604,307.394694
058_Schidlof_1,618.799524,448.64489800000007,232.414604,325.154694
059_Cleveland_1,540.9995240000002,460.14489800000007,209.934604,343.694694
060_NewYork_1,555.967687,371.844898,246.074604,307.59755099999995
062_Kallaci_1,550.827687,471.324898,222.58920600000002,339.834694
065_Lindsay_1,578.6999999999998,457.84489800000006,223.874604,307.2346940000001
067_Bowman_1,593.687687,481.96489800000006,239.914604,323.474694
069_NewRussian_1,551.247687,416.704898,240.154604,338.574694
070_Australian_1,565.8595240000001,360.704898,201.147302,318.657143
072_Orion_1,585.547687,525.164898,257.52952400000004,306.694694
074_Vogler_1,582.047687,433.384898,239.554604,312.854694
076_Panocha_1,575.1276869999998,423.92489800000004,222.374604,357.294694
077_Carmina_1,546.127687,412.244898,231.974604,306.2346940000001
078_Borromeo_1,581.507687,480.644898,258.474604,324.494694
