,mov2
001_Belcea_2,364.228708
002_Tokyo_2,339.128844
003_Avalon_2,335.000544
004_Takacs_2,337.626531
005_Schoenberg_2,371.24870799999997
006_Doric_2,371.388708
008_Hagen_2,368.608708
009_Prazak_2,335.688844
010_Janacek_2,407.588708
011_Belcea_2,365.428708
012_AlbanBerg_2,331.268844
013_Jerusalem_2,358.328708
014_Panocha_2,332.22884400000004
015_PavelHass_2,348.588708
016_Wallinger_2,323.328844
017_Excelsior_2,376.228708
019_Lindsay_2,371.648708
020_Artemis_2,376.328708
021_NewHelsinki_2,383.448708
022_Vlach_2,345.668708
023_Lyris_2,344.368708
024_Schumann_2,328.448708
026_Smetana_2,354.24870799999997
027_Dissonances_2,331.16870800000004
028_Taurus_2,332.908708
029_Acies_2,366.288708
030_Austrian_2,399.528708
031_Voce_2,348.308708
032_Heine_2,363.428708
033_Guarneri_2,324.748708
034_Melos_2,360.628708
036_Brodsky_2,347.528708
037_Janacek_2,362.008708
038_Mandelring_2,332.508708
039_Talich_2,353.70340100000004
040_Zaide_2,364.544082
041_Hermes_2,355.728708
042_Medici_2,358.348708
043_Juilliard_2,383.948708
044_Petersen_2,324.32870799999995
045_Janacek_2,372.628844
046_Gabrieli_2,371.18870799999996
047_Merel_2,364.80870799999997
048_Wihan_2,350.608708
049_Skampa_2,326.528844
050_NewZealand_2,346.36870799999997
051_Arianna_2,342.568844
052_Martinu_2,352.368844
053_Smetana_2,323.488708
054_Kubin_2,327.06870799999996
055_Mandelring_2,325.648708
057_Penny_2,380.808708
058_Vanbrugh_2,339.488844
059_Amati_2,371.188708
060_Alkyona_2,355.888708
061_Koeckert_2,370.648708
062_Petersen_2,353.566122
063_Janacek_2,348.80884399999997
064_Zagrebacki_2,368.24870799999997
065_Amphion_2,370.768708
066_Smetana_2,361.528708
067_Talich_2,356.788708
068_Vaghy_2,373.768708
069_Pacifica_2,326.18884399999996
070_Arcadia_2,344.488708
071_Janacek_2,365.448708
