,mov1
001_Janacek_1,474.091519
002_Takacs_1,419.95151899999996
003_Koeckert_1,448.251519
004_PavelHass_1,456.81151900000003
005_Travnicek_1,432.771519
006_Prazak_1,444.271519
007_Jerusalem_1,409.27151899999996
008_Dante_1,452.091519
009_AlbanBerg_1,440.37805
010_Skampa_1,436.111519
011_MoyzesQuartet_1,470.831519
012_Talich_1,447.511519
013_EnergieNove_1,475.19151899999997
014_Hollywood_1,418.07151899999997
015_Vlach_1,490.871519
016_Guarneri_1,405.031519
017_Amadeus_1,432.59151899999995
018_Excelsior_1,469.051519
019_Lindsay_1,415.07151899999997
020_Takacs_1,406.671519
021_Tokyo_1,422.51151899999996
022_Talich_1,448.891519
023_Talich_1,440.471519
024_Smetana_1,447.83151899999996
025_Emerson_1,390.98517
026_Wihan_1,488.411519
027_Endellion_1,432.551519
028_Juilliard_1,481.371519
029_Panocha_1,433.331519
030_Sevcik-Lhotsky_1,438.75151900000003
031_Medici_1,420.45151899999996
032_Talich_1,443.51151899999996
033_Sacconi_1,500.77151899999996
034_Prazak_1,450.831519
035_Czech_1,464.011519
036_Koeckert_1,416.551519
037_Talich_1,455.16517
038_Martinu_1,485.00516999999996
039_Janacek_1,486.12516999999997
040_Kocian_1,427.851519
041_Stamitz_1,485.931519
042_Wihan_1,477.39151899999996
043_Melos_1,444.08516999999995
044_Vlach_1,503.171519
045_Seoul_1,436.40517
046_PavelHaas_1,471.32516999999996
047_Zemlinsky_1,478.54517
048_Armida_1,413.26517
049_Haba_1,444.92517
050_Guarneri_1,403.86517
051_Helikon_1,415.76516999999996
052_Shoreline_1,496.50516999999996
053_VIVArdo_1,453.69151899999997
054_Smetana_1,441.52517
055_Smetana_1,476.84517
056_Avalon_1,435.031519
057_KarpFamily_1,516.711519
058_Dover_1,458.991519
059_Buffa_1,549.251519
062_Jasper_1,451.291519
