,mov4
001_Janacek_4,1.7626473373614537
002_Takacs_4,-0.14834071668267482
003_Koeckert_4,0.9876004633947907
004_PavelHass_4,-0.00038129096317765857
005_Travnicek_4,-0.6752765898305385
006_Prazak_4,-0.46414624232390617
007_Jerusalem_4,-1.965517602371084
008_Dante_4,-0.13301445798657618
009_AlbanBerg_4,-0.5083572979983733
010_Skampa_4,-0.6608280559295465
011_MoyzesQuartet_4,0.18638786260038306
012_Talich_4,-0.4027921242450545
013_EnergieNove_4,1.2474531987875739
014_Hollywood_4,0.24052384914054525
015_Vlach_4,0.73677039242537
016_Guarneri_4,-1.6677696764001906
017_Amadeus_4,-0.4442963805925133
018_Excelsior_4,0.2919530363537018
019_Lindsay_4,-1.0803942224394236
022_Talich_4,-0.7420443065634093
023_Talich_4,-0.8719706742597969
024_Smetana_4,-0.3721150652056312
025_Emerson_4,-1.5721294335125697
026_Wihan_4,0.7710565172341394
027_Endellion_4,0.7169205306939772
028_Juilliard_4,0.5319559100150895
029_Panocha_4,0.06187509355800668
030_Sevcik-Lhotsky_4,-0.6391859321370987
031_Medici_4,1.232114669267857
032_Talich_4,-0.44790544636185675
033_Sacconi_4,2.335586528244842
034_Prazak_4,-0.3215881444348125
035_Czech_4,2.0152082711605295
