Filename,Name,Origin,Year,Database,Note,Source,Filename_No,label_CZ,label_random
CD001,Brodsky Quartet,UK,2013,Stepan_FLAC,,CD,001,0,1
CD002,Duke Quartet,UK,1993,Stepan_FLAC,,CD,002,0,1
CD003,Škampa Quartet,CZ,2015,Stepan_FLAC,,CD,003,1,1
CD004,Prague Quartet,CZ,1973,Stepan_FLAC,,CD,004,1,1
CD005,Alban Berg Quartet,Austria,1991  (Released),Stepan_FLAC,,CD,005,0,1
CD006,Panocha Quartet,CZ,1994,Stepan_FLAC,,CD,006,1,1
CD007,Pavel Haas,CZ,2010,Stepan_FLAC,,CD,007,1,1
CD008,Emerson String Quartet,USA,1986 (Released),Stepan_FLAC,,CD,008,0,1
CD009,Escher Quartet,USA,2017,Stepan_FLAC,,CD,009,0,1
CD010,Talich Quartet,CZ,2002,Stepan_FLAC,,CD,010,1,1
CD011,Pražák Quartet,CZ,1998,Stepan_FLAC,,CD,011,1,1
CD012,Modigliani Quartet,France,2015,Stepan_FLAC,,CD,012,0,1
CD013,Janáček Quartet,CZ,1957,Stepan_FLAC,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=00028947401025,013,1,1
CD014,Guarneri Quartet,USA,1986,Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=00028947895800,014,0,1
CD015,Tokyo Quartet,International / Japan,2013,Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=HMU807429DI,015,0,1
CD016,Panocha Quartet,CZ,2009 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=SU4003-2,016,1,1
CD017,Endellion Quartet,Britain,2005,Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=0724356243750,017,0,1
CD019,Sevcik-Lhotsky Quartet,CZ,1929,Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=RCD70023,019,1,1
CD020,Amadeus Quartet,Britain,1978,Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=00028943725125,020,0,1
CD021,Concord Quartet,USA,1996,Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=CDX-5149,021,0,1
CD022,Griller Quartet,Britain,1948,Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=9.80784,022,0,1
CD023,Moyzes Quartet,Slovakia,1990,Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=8.550251,023,0,1
CD024,Vlach Quartet,CZ,1995,Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=8.553371,024,1,1
CD025,Stamic Quartet,CZ,2017 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=BC95498,025,1,1
CD026,Amadeus Quartet,Britain,~1960 (2018 remaster),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=Jube-NML1453,026,0,1
CD027,Albion Quartet,Britain,2019 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=SIGCD555,027,0,1
CD028,Alexander Quartet,USA,2019 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=FCL2020,028,0,1
CD029,Varese Quartet,French,2019,Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=NMM068D,029,0,1
CD030,Czech Philharmonic Quartet,CZ,2019,Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=WWCC-7914,030,1,1
CD031,Sacconi Quartet,Britain,2011,Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=SACC104,031,0,1
CD032,Lipkind Quartet,International,2012 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=LP018-C03-NE,032,0,1
CD033,Cypress Quartet,USA,2013 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=AV2304,033,0,1
CD034,Excelsior Quartet,Japan,2014 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=WWCC-7751,034,0,1
CD035,Jupiter Quartet,International (USA),2016 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=Azica71311,035,0,1
CD036,Pro Arte Quartet,Belgium,1947/48,Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=ARC-WU204,036,0,1
CD037,Orlando Quartet,Netherlands,1981,Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=00028948309085,037,0,1
CD038,Takacs Quartet,Hungary (/USA),1991,Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=00028948311712,038,0,1
CD039,Jerusalem Quartet,Israel,2006,Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=HMC901899,039,0,1
CD040,Keller Quartet,Hungary,2002 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=809274435569,040,0,0
CD041,Matangi Quartet,Netherlands,2006 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=CC72164,041,0,0
CD042,Melos Quartet,Germany,2006 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=HMX2901509.10,042,0,0
CD043,T'ang Quartet,Singapore,2006,Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=0094636721156,043,0,0
CD044,Jade Quartet,Singapore,2007 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=ANI-ACD6107,044,0,0
CD046,Guarneri Quartet,USA,2009 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=888880928801,046,0,0
CD047,Miro Quartet,International (USA),2009 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=LHM2010001,047,0,0
CD048,Wihan Quartet,CZ,2010 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=NI6114,048,1,0
CD049,Serafin Quartet,International,2010 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=CRC3050,049,0,0
CD050,Bartok Quartet,Hungary,?,Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=HRC122,050,0,0
CD051,Hungarian Quartet,Hungary,"2013 (release), (rec 1937--68)",Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=CD-1161,051,0,0
CD052,"Masin, Cantoreggi, Hoffman, Lipkind",International,2009 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=GAIA2009,052,0,0
CD053,Hagen Quartet,Austria,1987,Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=00028941960122,053,0,0
CD054,Cavani Quartet,USA,1995,Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=Azica71203,054,0,0
CD055,Kumho Asiana Quartet,South Korea,1996,Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=DE1036,055,0,0
CD056,Skampa Quartet,CZ,1998 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=SU3380-2,056,1,0
CD057,Stamic Quartet,CZ,1998 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=81-9004-2,057,1,0
CD058,Schidlof Quartet,?,1999 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=CKD096,058,0,0
CD059,Cleveland Quartet,USA,1991,Youtube,,https://www.youtube.com/watch?v=DxtAHpYIXdU&ab_channel=scrymgeour34,059,0,0
CD060,The New York Philharmonic String Quartet ,USA,2016,Youtube,,https://www.youtube.com/watch?v=HrqgMrwG4i0&ab_channel=MichaelParloff,060,0,0
CD061,Smetana Quartet,CZ,1967,Youtube,,https://www.youtube.com/watch?v=63S6NSEOBEY&ab_channel=MargoBeloved,061,1,0
CD062,Kallaci Quartet,Korea,2018,Youtube,live,https://www.youtube.com/watch?v=TtFj0O2evEo&ab_channel=NeoclassicTV,062,0,0
CD063,Novus Quartet,Korea,2014,Youtube,live,https://www.youtube.com/watch?v=wnUa3FvYZjo&ab_channel=MOCProduction,063,0,0
CD064,Crondes Quartet,Croatia,2016,Youtube,,https://www.youtube.com/watch?v=qzEvPcNpvL4&ab_channel=gulibaloo,064,0,0
CD065,Lindsay Quartet,Britain,1992,Youtube,,https://www.youtube.com/watch?v=D7L4ILNTFiM&list=OLAK5uy_kF-bzjM7Ynhl-TCNmfRobcH9_LIAMOfYA&ab_channel=TheLindsays-Topic,065,0,0
CD066,Kontras Quartet,USA,2009,Youtube,live,https://www.youtube.com/watch?v=IFE-5a1l1AU&ab_channel=KontrasQuartet,066,0,0
CD067,"Bowman, Simonen, Dann, Lester",International,2014 (release),Youtube,,https://www.youtube.com/watch?v=7TOagGoeoJs&ab_channel=MichelCamille,067,0,0
CD068,Smetana Quartet,CZ,1980,Youtube,,https://www.youtube.com/watch?v=ZQzAStev13Q&ab_channel=ClassicalMusicLover,068,1,0
CD069,New Russian Quartet,Russia,2012,Youtube,,https://www.youtube.com/watch?v=ELhg3ESUAu0&ab_channel=NewRussianQuartet,069,0,0
CD070,Australian Quartet,Australia,2005 (release),Youtube,,https://www.youtube.com/watch?v=4_icWBIwA7w&ab_channel=AustralianStringQuartet-Topic,070,0,0
CD071,Koeckert Quartet,Germany,1950,Youtube,,https://www.youtube.com/watch?v=n-WfFjfV7w4&ab_channel=SuperClassicChannel,071,0,0
CD072,Orion Quartet,USA,?,Youtube,live,https://www.youtube.com/watch?v=sH6nB0rWVP4&ab_channel=KirshbaumAssociates,072,0,0
CD073,Montclaire Quartet,USA,2017,Youtube,,https://www.youtube.com/watch?v=XvjKEFpAmP8&ab_channel=MontclaireStringQuartet,073,0,0
CD074,Vogler Quartet,Germany,2012 (release),Youtube,,https://www.youtube.com/watch?v=ewDgkstAwsQ&list=OLAK5uy_nKytmo0r8Js8b0pJKOlvzfLCNbtrBlr4E&ab_channel=VoglerQuartett%E2%80%93t%C3%A9maVoglerQuartett%E2%80%93t%C3%A9ma,074,0,0
CD075,Fine Arts Quartet,USA,1998,Youtube,,https://www.youtube.com/watch?v=jicHLDA4E0g&ab_channel=ronaldjevans,075,0,0
CD076,Panocha Quartet,CZ,1975 (release),Youtube,,https://www.youtube.com/watch?v=x1gg54Ytnz0&list=OLAK5uy_n3Xf5kDRHI_pGxugpeEw9wbHy5EAaBjgE&index=6&ab_channel=PanochaQuartet%E2%80%93t%C3%A9maPanochaQuartet%E2%80%93t%C3%A9ma,076,1,0
CD077,Carmina Quartet,Switzerland,2009 (release),Youtube,,https://www.youtube.com/watch?v=EIz6WBV0BPI&list=OLAK5uy_mPeLlv6kfKBhi5MGeM3RkuvTRG7YPGjs4&ab_channel=CarminaQuartet%E2%80%93t%C3%A9maCarminaQuartet%E2%80%93t%C3%A9ma,077,0,0
CD078,Borromeo Quartet,International / USA,?,IMSLP,live,https://imslp.org/wiki/String_Quartet_No.12%2C_Op.96_(Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn),078,0,0
