Filename,Name,Origin,Year,Database,Pozn.,Source,Filename_No,label_CZ,label_random
CD001,Belcea Quartet,UK,2018,Stepan_FLAC,,CD,001,0,1
CD002,Tokyo String Quartet,Japan,1996 (Released),Stepan_FLAC,,CD,002,0,1
CD003,Avalon String Quartet,USA,2000,Stepan_FLAC,,CD,003,0,1
CD004,Takacs Quartet,Hungary/now Canada,2014,Stepan_FLAC,,CD,004,0,1
CD005,Schoenberg Quartet,Netherlands,2005,Stepan_FLAC,,CD,005,0,1
CD006,Doric String Quartet,International,2014,Stepan_FLAC,,CD,006,0,1
CD007,Emerson String Quartet,USA,2008,Stepan_FLAC,,CD,007,0,1
CD008,Hagen Quartet,Austria,1988,Stepan_FLAC,,CD,008,0,1
CD009,Prazak Quartet,CZ,2013,Stepan_FLAC,,CD,009,1,1
CD010,Janáček Quartet,CZ,1956,Stepan_FLAC,,CD,010,1,1
CD011,Belcea Quartet,UK,2001?,Stepan_FLAC,,CD,011,0,1
CD012,Alban Berg Quartet,Austria,2007,Stepan_FLAC,CD,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=0094639762958,012,0,1
CD013,Jerusalem String Quartet,Israel,2013,Stepan_FLAC,,CD,013,0,1
CD014,Panocha Quartet,CZ,2007 (Released),Stepan_FLAC,,CD,014,1,1
CD015,Pavel Haas Quartet,CZ,2006,Stepan_FLAC,,CD,015,1,1
CD016,Wallinger Quartet,CZ,1992,CD_MUNI,,CD 935,016,1,1
CD017,Excelsior Quartet,Japan,2015?,Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=WWCC-7779,017,0,1
CD019,Lindsay Quartet,Britain,2015 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=00743625074925,019,0,1
CD020,Artemis Quartet,Germany,2006 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=0094635339956,020,0,1
CD021,New Helsinki Quartet,Finland?,1997,Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=809274060365,021,0,1
CD022,Vlach Quartet,CZ,1997 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=8.553895,022,1,1
CD023,Lyris Quartet,USA,2016 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=ARS38206,023,0,1
CD024,Schumann Quartet,Germany/Estonia,2014 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=885470012728,024,0,1
