,fscore,std
Dvorak_No.12_mov1,0.7608071428571429,0.1524659078468218
Dvorak_No.12_mov2,0.7797915084915086,0.13001115233406615
Dvorak_No.12_mov3,0.7703182780182781,0.13463030480781302
Dvorak_No.12_mov4,0.8092028638028639,0.11962298764340917
Dvorak_No.13_mov1,0.8681880952380954,0.13081019724808016
Dvorak_No.13_mov2,0.8646095238095238,0.1365902288315123
Dvorak_No.13_mov3,0.9906,0.049401709372134964
Dvorak_No.13_mov4,0.9874,0.056775542465239554
Dvorak_No.14_mov1,0.7824452380952381,0.1512654083341707
Dvorak_No.14_mov3,0.7447595238095238,0.1656899373019655
Dvorak_No.14_mov4,0.7885000000000001,0.1804869185779894
Janacek_No.1_mov1,0.8202897324897324,0.10471041947179421
Janacek_No.1_mov2,0.7625553002553003,0.12013574352141963
Janacek_No.1_mov3,0.7445221459912637,0.1187357672840156
Janacek_No.1_mov4,0.8560002109002108,0.10310786392072407
Janacek_No.2_mov1,0.966533621933622,0.05766074987835236
Janacek_No.2_mov2,0.9036383616383616,0.08980728322185387
Janacek_No.2_mov3,0.934708460983461,0.07636787935262404
Janacek_No.2_mov4,0.877787715062715,0.10331047998601062
Smetana_No.1_mov1,0.8352293656077324,0.08666268079610255
Smetana_No.1_mov2,0.9037425685425685,0.10421692494250398
Smetana_No.1_mov3,0.8601198412698413,0.11126423508575958
Smetana_No.1_mov4,0.8947409090909091,0.09938216374592265
Smetana_No.2_mov1,0.8609999999999999,0.20086230773011315
Smetana_No.2_mov2,0.987,0.06453164598345013
Smetana_No.2_mov3,0.8839999999999999,0.17666540880055348
