,fscore,std
Dvorak_No.12_mov1,0.7109066102112541,0.12572216530688599
Dvorak_No.12_mov2,0.6213246290668096,0.09870902915700248
Dvorak_No.12_mov3,0.6936708008238528,0.09354036022021964
Dvorak_No.12_mov4,0.6624045329241883,0.08531031815542661
Dvorak_No.13_mov1,0.8774666666666668,0.1264620775258504
Dvorak_No.13_mov2,0.8226500000000001,0.1335978632487281
Dvorak_No.13_mov3,0.9152023809523809,0.11895669801823419
Dvorak_No.13_mov4,0.8954738095238096,0.13003830760809768
Dvorak_No.14_mov1,0.48515714285714284,0.19097982144600115
Dvorak_No.14_mov3,0.7536309523809526,0.1663202671479707
Dvorak_No.14_mov4,0.7966690476190477,0.16040336412730255
Janacek_No.1_mov1,0.7604837058710123,0.09574305652789647
Janacek_No.1_mov2,0.680520872445408,0.09650977595405727
Janacek_No.1_mov3,0.6833726044856715,0.1035675532718835
Janacek_No.1_mov4,0.6686231417817162,0.11106573395889534
Janacek_No.2_mov1,0.6953481514772301,0.09120857856472184
Janacek_No.2_mov2,0.6042930078659619,0.10109366706538274
Janacek_No.2_mov3,0.7095547256278294,0.10862784565395753
Janacek_No.2_mov4,0.7234925136069267,0.0968993717036509
Smetana_No.1_mov1,0.6955926337207684,0.1064783864148617
Smetana_No.1_mov2,0.8183333333333332,0.2507710332377149
Smetana_No.1_mov3,0.586,0.30100498334745224
Smetana_No.1_mov4,0.8266666666666665,0.20428737928059418
Smetana_No.2_mov1,0.6894690476190476,0.17046089434901945
Smetana_No.2_mov2,0.7316666666666667,0.16605977941734135
Smetana_No.2_mov3,0.4845238095238096,0.19079867046984686
