,fscore,std
Dvorak_No.12_mov1,0.5755095238095239,0.20441468628318749
Dvorak_No.12_mov2,0.706529908979909,0.14273874277318235
Dvorak_No.12_mov3,0.550138407888408,0.15876912741468457
Dvorak_No.12_mov4,0.6070701798201797,0.15134694061707837
Dvorak_No.13_mov1,0.6440095238095237,0.1934037483778981
Dvorak_No.13_mov2,0.7450761904761906,0.18053695069678513
Dvorak_No.13_mov3,0.6584666666666666,0.2195031865119249
Dvorak_No.13_mov4,0.5202,0.2472308053441381
Dvorak_No.14_mov1,0.5938238095238094,0.1882251083301473
Dvorak_No.14_mov3,0.6364595238095238,0.21373637298594783
Dvorak_No.14_mov4,0.40680000000000005,0.2489140503154542
Janacek_No.1_mov1,0.5755686751157338,0.1432829733801537
Janacek_No.1_mov2,0.6174568931068932,0.13617612413947486
Janacek_No.1_mov3,0.5312454449145625,0.14149198233289725
Janacek_No.1_mov4,0.6359944792135969,0.13463037764754493
Janacek_No.2_mov1,0.8355537425537426,0.1207497570026138
Janacek_No.2_mov2,0.8942146853146854,0.09564042817443971
Janacek_No.2_mov3,0.7239342712842712,0.13263202378875721
Janacek_No.2_mov4,0.8921249250749251,0.09217270744875616
Smetana_No.1_mov1,0.7819934019970399,0.10494812363544714
Smetana_No.1_mov2,0.7727374458874459,0.14201441071007265
Smetana_No.1_mov3,0.6109022366522366,0.16043174818820052
Smetana_No.1_mov4,0.6376647186147186,0.14276348493686086
