,fscore,std
Dvorak_No.12_mov1,0.5640681868355243,0.12704373494574836
Dvorak_No.12_mov2,0.42545772635621804,0.10562556733018123
Dvorak_No.12_mov3,0.46081727205576606,0.10724804014392256
Dvorak_No.12_mov4,0.5665699056756796,0.09497389318501528
Dvorak_No.13_mov1,0.5143440476190476,0.1945618901023924
Dvorak_No.13_mov2,0.8398488095238097,0.14565979602388948
Dvorak_No.13_mov3,0.45558095238095236,0.20758474574656652
Dvorak_No.13_mov4,0.5720690476190475,0.2186022988755977
Dvorak_No.14_mov1,0.4303976190476191,0.20604579784760862
Dvorak_No.14_mov3,0.46087261904761906,0.18587854957290398
Dvorak_No.14_mov4,0.4896285714285714,0.2096295899644469
Janacek_No.1_mov1,0.45238297446260833,0.11349457407646055
Janacek_No.1_mov2,0.548168032451463,0.10983878057870276
Janacek_No.1_mov3,0.4773920585475606,0.11060728034232219
Janacek_No.1_mov4,0.5867661746395122,0.10598671996374982
Janacek_No.2_mov1,0.539245993842385,0.11087602652350519
Janacek_No.2_mov2,0.563888226828286,0.10951998029503372
Janacek_No.2_mov3,0.5153185908776465,0.12361450503635105
Janacek_No.2_mov4,0.4945697884719489,0.10685111053900925
Smetana_No.1_mov1,0.4769637681934508,0.12296362500663195
Smetana_No.1_mov2,0.7793333333333332,0.2611419367147129
Smetana_No.1_mov3,0.5206666666666667,0.3512131356693064
Smetana_No.1_mov4,0.583,0.3148189956149406
