,fscore,std
Dvorak_No.12_mov1,0.0,0.0
Dvorak_No.12_mov2,0.0,0.0
Dvorak_No.12_mov3,0.0,0.0
Dvorak_No.12_mov4,0.373,0.209
Dvorak_No.13_mov1,0.0,0.0
Dvorak_No.13_mov2,0.0,0.0
Dvorak_No.13_mov3,0.0,0.0
Dvorak_No.13_mov4,0.49,0.218
Janacek_No.1_mov1,0.0,0.0
Janacek_No.1_mov2,0.0,0.0
Janacek_No.1_mov3,0.0,0.0
Janacek_No.1_mov4,0.504,0.147
Janacek_No.2_mov1,0.0,0.0
Janacek_No.2_mov2,0.0,0.0
Janacek_No.2_mov3,0.0,0.0
Janacek_No.2_mov4,0.495,0.177
Smetana_No.1_mov1,0.0,0.0
Smetana_No.1_mov2,0.0,0.0
Smetana_No.1_mov3,0.0,0.0
Smetana_No.1_mov4,0.645,0.176
