Filename,Orig_filename
001,001_Belcea_4
002,002_Tokyo_4
003,003_Avalon_4
004,004_Takacs_4
005,005_Schoenberg_4
006,006_Doric_4
007,007_Emerson_4
008,008_Hagen_4
009,009_Prazak_4
010,010_Janacek_4
011,011_Belcea_4
012,012_AlbanBerg_4
013,013_Jerusalem_4
014,014_Panocha_4
015,015_PavelHass_4
016,016_Wallinger_4
017,017_Excelsior_4
019,019_Lindsay_4
020,020_Artemis_4
021,021_NewHelsinki_4
022,022_Vlach_4
023,023_Lyris_4
024,024_Schumann_4
025,025_EnergieNove_4
026,026_Smetana_4
027,027_Dissonances_4
028,028_Taurus_4
029,029_Acies_4
030,030_Austrian_4
031,031_Voce_4
032,032_Heine_4
033,033_Guarneri_4
034,034_Melos_4
035,035_Diotima_4
036,036_Brodsky_4
037,037_Janacek_4
038,038_Mandelring_4
039,039_Talich_4
040,040_Zaide_4
041,041_Hermes_4
042,042_Medici_4
043,043_Juilliard_4
044,044_Petersen_4
045,045_Janacek_4
046,046_Gabrieli_4
047,047_Merel_4
048,048_Wihan_4
050,050_NewZealand_4
051,051_Arianna_4
052,052_Martinu_4
053,053_Smetana_4
054,054_Kubin_4
055,055_Mandelring_4
056,056_Smetana_4
057,057_Penny_4
058,058_Vanbrugh_4
059,059_Amati_4
060,060_Alkyona_4
061,061_Koeckert_4
062,062_Petersen_4
063,063_Janacek_4
064,064_Zagrebacki_4
065,065_Amphion_4
066,066_Smetana_4
067,067_Talich_4
068,068_Vaghy_4
069,069_Pacifica_4
070,070_Arcadia_4
071,071_Janacek_4
